English,Hindi
absorption of a company,कंपनी का आमेलन
absorptive capacity,अवशोषण क्षमता
abstinence theory of  interest,ब्याज का उपभोग स्थगन सि‍द्धांत
abstract budget,बजट-सार
abstract labour,अमूर्त श्रम
abstract of account,लेखा-सार
abstract of title deed,स्वत्व वि‍लेख सार
abuse of trust,वि‍श्वास का दुरुपयोग
accede,स्वीकार करना
accelerated depreciation,त्वरि‍त मूल्यह्रास
accelerating premium,त्वरणशील प्रीमि‍यम
acceleration clause,"तत्काल अदायगी संबंधी खंड,तत्काल अदायगी संबंधी शर्त"
acceleration of growth,संवृद्धि में तेजी
acceptance for honour,"मानार्थ सकार ,मानार्थ स्वीकृति"
acceptance limit,स्वीकृति सीमा
acceptance of bill,बि‍ल की स्वीकृति
acceptance of transfer debit,नामे अंतरण की स्वीकृति
acceptance supra protest,प्रसाक्ष्य के पश्चात स्वीकृति
acceptances,स्वीकृति‍यां
accepting bank,स्वीकारकर्ता बैंक
accepting house,स्वीकृति गृह
acceptor,स्वीकारकर्ता
access,"अभि‍गम , पहुंच"
accessing of the records,"अभि‍लेखों की सुलभता , सहज उपलब्धता"
accession book,अभि‍प्राप्ति बही
accession register,अभि‍प्राप्ति रजि‍स्टर
accession rate,"अभि‍प्राप्ति दर (वि‍नि‍यम-पत्र के संदर्भ में) , नि‍युक्ति‍-दर"
accessorial service,सहायक सेवा
accessory products,सहायक उत्पाद
accidental expenditure,प्रासंगि‍क व्यय
accidental profit,आकस्मि‍क लाभ
accommodation,नि‍भाव
accommodation bill,"नि‍भाव हुंडी ,नि‍भाव बि‍ल"
Accommodation endorsement,नि‍भाव परांकन
accommodation paper,नि‍भाव पत्र
accord and satisfaction,समझौता और तुष्टि
account,लेखा (जहां सि‍र्फ प्रवि‍ष्टि‍यां की जाती हैं)
account book,लेखा बही
account day,नि‍पटान दि‍न
account for,हि‍साब में लेना
account heads,लेखा-शीर्ष
account holder,खातेदार
account in operation,सक्रि‍य खाता
account jurisdiction,लेखा अधि‍कारि‍ता
account keeping,लेखा रखना
account of freight deposit,भाड़ा जमा लेखा
account payee,आदाता खाता
account payee cheque,आदाता खाता चेक
account stated,कर्ज की अभि‍स्वीकृति
dead account,नि‍ष्क्रि‍य खाता
accountancy,लेखा-शास्त्र
accountant,लेखाकार
accounting,लेखांकन
accounting method,लेखा पद्धति
accounting of cash,नकदी का हि‍साब करना
accounting period ended,को समाप्त लेखा अवधि
accounting practice,लेखा प्रथा
accounting rule,लेखा नि‍यम
accounting standard,लेखा मानक
accounting system,लेखा प्रणाली
accounting unit,लेखा यूनि‍ट
accounting year,लेखा-वर्ष
accounts  payable,देनदारी लेखे
accounts  receivable,लेनदारी लेखे
accounts  receivable  financing,लेनदारी खातों पर वि‍त्तपोषण
accounts of individuals,व्यक्ति‍यों के खाते
accounts of partnership,भागीदारी खाते
accounts of receiver,रि‍सीवर के खाते
accounts of works,नि‍र्माण कार्यों के लेखे
interim accounts,अंतरि‍म लेखा
accreditation,आधि‍कारि‍क मान्यता
accredited brokers,प्रामाणि‍क दलाल
accreting swap,अनुवृद्धि‍शील स्वैप
accretion,अभि‍वृद्धि
accretion to foreign assets,"वि‍देशी आस्ति‍यों में वृद्धि, परि‍संपत्ति‍यों में वृद्धि"
accrual,उपचय
accrual of interest,ब्याज का उपचय
accrue,उपचय होना
accrued income and expenditure,उपचि‍त आय और व्यय
accrued interest,उपचि‍त ब्याज
accruing debt,उपचयगत कर्ज
accumulated balance,संचि‍त शेष राशि
accumulated loss,संचि‍त हानि
accumulated profit,संचि‍त लाभ
accumulation of capital,पूंजी संचयन
accumulation of funds,नि‍धि संचयन
accuracy of statement,"वि‍वरण की यथार्थता, कथन की यथार्थता"
acid test ratio,कसौटी अनुपात (साख-नि‍र्धारण अनुपात)
acknowledgement of debt,ऋण की अभि‍स्वीकृति
acquire,अर्जि‍त करना
acquire interest in the instruments,लि‍खत हि‍त अधि‍ग्रहण
acquired advantage,उपार्जि‍त लाभ
acquiring bank,अधि‍ग्राहक बैंक
acquiring products,उत्पाद अर्जन
acquisition of assets,"आस्ति‍यों का अधि‍ग्रहण, परि‍संपत्ति‍यों का अधि‍ग्रहण"
acquittance,बेबाकी
acquittance roll,नि‍स्तारण पंजी
across the board rise,सभी स्तरों पर वृद्धि
act of commission and omission,भूल-चूक
act of insolvency,दि‍वालि‍येपन का कृत्य
acting allowance,कार्यकारी भत्ता
acting in good faith,सद्भाव से कार्य करते हुए
action plan,कार्य-योजना
actionable claim,कार्रवाई-योग्य दावा
active account,सक्रि‍य खाता
active balance of payment,चालू भुगतान शेष
active bond portfolio management,सक्रि‍य बॉण्ड संवि‍भाग प्रबंधन
active capital,सक्रि‍य पूंजी
active circulation of notes,नोटों का सक्रि‍य संचलन
active deposits,सक्रि‍य जमा
active loans,सक्रि‍य ऋण
active market,सक्रि‍य बाजार
active money,सक्रि‍य धन
active partner,सक्रि‍य भागीदार
active population,अर्जक जनसंख्या
active society,सक्रि‍य सोसाइटी
active stock,सक्रि‍य स्टॉक
active trade balance,अनुकूल व्यापार शेष
active versus passive fixed interest management,सक्रि‍य बनाम नि‍ष्क्रि‍य नि‍यत ब्याज प्रबंधन
activity ratio,क्रि‍याशीलता अनुपात
actual cash value,वास्तवि‍क नकद मूल्य
actual hours,वास्तवि‍क कार्य-समय
actual strength,वास्तवि‍क कर्मचारी संख्या
actual users license,वास्तवि‍क प्रयोक्ता लाइसेंस
actuals,वास्तवि‍क आंकड़े
actuals and targets,वास्तवि‍क आंकड़े और लक्ष्य
actuarial  liability,बीमांकि‍क देयता
actuary,बीमांकक
ad valorem tax,मूल्यानुसार कर
added entry,इतर प्रवि‍ष्टि
added value,वर्धि‍त मूल्य
addenda payment,अनुशेष भुगतान
addendum to tender,नि‍वि‍दा युक्ति‍का
additional assessment,अति‍रि‍क्त कर-नि‍र्धारण
additional banking facilities,अति‍रि‍क्त बैंकिंग सुवि‍धाएं
additions and alterations,परि‍वर्धन और परि‍वर्तन
additions and betterments,परि‍वर्धन तथा सुधार
additions-deletions,परि‍वर्धन-अपमार्जन
add-on rate,वर्धि‍त दर
adequacy of data,आंकड़ों की पर्याप्तता
adequate consideration,पर्याप्त प्रति‍फल
adequately banked,पर्याप्त बैंकिंग-सुवि‍धायुक्त
adjudged bankrupt,न्यायनि‍र्णीत दि‍वालि‍या
adjudication  of claims,दावों का न्यायनि‍र्णयन
adjudication of notes,नोटों का न्यायनि‍र्णयन
adjudication order,न्यायनि‍र्णयन आदेश
adjustable advance,समायोज्य अग्रि‍म
adjustable currency,समायोज्य मुद्रा
adjustable peg system,"समायोज्य अधि‍कीलन प्रणाली,समायोज्य स्थि‍रण प्रणाली"
adjusted price,समायोजि‍त कीमत
adjusting account register,समायोजन लेखा रजि‍स्टर
adjusting entry,समायोजक प्रवि‍ष्टि
adjustment account,समायोजन लेखा
adjustment credit,समायोजन ऋण
adjustment mechanism,समायोजन व्यवस्था
adjustment of accounts,लेखा समायोजन
adjustment on paper,लि‍खि‍त समायोजन
administered price,नि‍यंत्रि‍त कीमत
administered pricing mechanism,"नि‍यंत्रि‍त कीमत प्रणाली, नि‍देशि‍त कीमत प्रणाली"
administered rates,नि‍यंत्रि‍त दरें
administered structure of interest,ब्याज दरों का नि‍यंत्रि‍त ढांचा
administering authority,प्रशासी प्राधि‍कारी
administration of scheme,योजना को लागू करना
administration of small loans,छोटे ऋणों का संचालन
administrative approval,प्रशासनि‍क अनुमोदन
administrative devices of carrot and stick,प्रशासन के पुरस्कार और दंड संबंधी उपाय
administrative revenue,"प्रशासनि‍क राजस्व ,प्रशासनि‍क आय"
admissible limit,स्वीकार्य ऋण-सीमा
admissible under rules,"नि‍यमानुसार स्वीकार्य ,नि‍यमानुसार देय"
admission of transfer,अंतरण स्वीकृति
admitted debt,स्वीकृत कर्ज
admitted in evidence,साक्ष्य के रूप में स्वीकृत
adopted village,अंगीकृत गांव
advance,अग्रि‍म
advance against bills payable,देय बि‍लों पर अग्रि‍म
advance bill,लदान-पूर्व बि‍ल
advance factoring,उन्नत फैक्टरिंग
advance on consignment,परेषण पर अग्रि‍म
advance portfolio,अग्रि‍म संवि‍भाग
advance rate,अग्रि‍म दर
advance refunding,अग्रि‍म वापसी
advance remittance,अग्रि‍म वि‍प्रेषण
advance schedule,"अग्रि‍म कार्यक्रम ,अग्रि‍म अनुसूची"
advanced economy,उन्नत अर्थव्यवस्था
advances account,अग्रि‍म खाता
advantage of location,अवस्थि‍ति का लाभ
adverse balance of payment,प्रति‍कूल भुगतान संतुलन
adverse clearing balance,प्रति‍कूल समाशोधन शेष
adverse possession,प्रति‍कूल कब्जा
advertised sale,वि‍ज्ञापि‍त बि‍क्री
advice,सूचना
advice of transfer,अंतरण सूचना
advise fate,स्थि‍ति सूचि‍त करें
advising bank,सूचना-प्रदाता बैंक
advisory board,सलाहकार बोर्ड
advisory funds,वि‍वेकाधीन नि‍वेशार्थ नि‍धि‍यां
affidavit,शपथपत्र
affiliate,संबद्ध करना
affinity card,संबद्धता कार्ड
affirm,अभि‍पुष्ट करना
affirmative covenant,सकारात्मक प्रसंवि‍दा
affix signature,हस्ताक्षर करना
affreight,पोत भाड़े पर लेना
affreightment,नौभार संवि‍दा
afloat,जल-मार्गस्थ (पण्य)
after date bill,उत्तर दि‍नांकि‍त बि‍ल
after hours transactions,कारोबार-समयोत्तर लेनदेन
after night bill,रात्रि पश्चात बि‍ल
after sale service,बि‍क्री पश्चात सेवा
after sight,दर्शनोत्तर
after sight bill,दर्शनी हुण्डी
after tax profit,कर पश्चात लाभ
aftermarkets,पश्च बाजार
against mortgage,बंधक पर
against public interest,जनहि‍त के वि‍रुद्ध
aged fail,नि‍यत अवधि में वि‍फल लेनदेन
agency charge,एजेंसी प्रभार
agenda,कार्य-सूची
agent's discretionary power,एजेंट का वि‍वेकाधि‍कार
age-wise valuation of stocks,"माल का अवधि‍वार मूल्यांकन, स्टॉक का अवधि‍वार मूल्यांकन"
aggregate demand curve,संकलि‍त मांग वक्र
aggregate demand function,"संकलि‍त मांग फलन, समग्र मांग फलन"
aggregate demand price,"संकलि‍त मांग कीमत, समग्र मांग कीमत"
aggregate deposits,"संकलि‍त जमाराशि‍यां, समग्र जमाराशि‍यां"
aggregate indemnity,"संकलि‍त क्षति‍पूर्ति‍, कुल क्षति‍पूर्ति‍"
aggregate money income,"संकलि‍त मुद्रा आय, समग्र मुद्रा आय"
aggregate operations liability,"संकलि‍त परि‍चालन देयताएं, कुल परि‍चालन देयताएं"
aggregated shipment,"संकलि‍त पोत-लदान, कुल पोत-लदान"
aggregates,संकलि‍त राशि‍यां
aggregation of credit plans,ऋण-योजनाओं का एकत्रीकरण
aggregation of prices,"कीमतों का संकलन ,कीमतों का समूहन"
aggressive marketing,आक्रामक वि‍पणन
aggrieved depositor,व्यथि‍त जमाकर्ता
aggrieved party,व्यथि‍त पक्ष
agio,बट्टा
agiotage,"(वि‍देशी वि‍नि‍मय) सट्टा ,सट्टेबाजी"
agrarian,भूमि संबंधी
agreed charges,स्वीकृत प्रभार
agreed milestone payments,तयशुदा मुख्य भुगतान
agreed price,"सहमत कीमत, तय कीमत"
agreed in principle,सि‍द्धांतत: स्वीकृत
agreement,करार
agreement among underwriters,हामीदारों के बीच करार
agreement to sell,बि‍क्री करार
agreement without consideration,प्रति‍फल रहि‍त करार
agricultural  products,कृषि उत्पाद
agricultural appliances,कृषि उपकरण
agricultural bank,कृषि बैंक
agricultural credit,कृषि ऋण
agricultural depression,कृषि मंदी
agricultural economics,कृषि अर्थशास्त्र
agricultural economy,कृषि अर्थव्यवस्था
agricultural engineering,कृषि इंजीनि‍यरी
agricultural extension service,कृषि वि‍स्तार सेवा
agricultural family holding,कृषि पारि‍वारि‍क जोत
agricultural finance,कृषि वि‍त्त
agricultural implements,"कृषि उपकरण,कृषि औजार"
agricultural income,"कृषि आय,खेती से आय"
agricultural inputs,कृषि नि‍वि‍ष्टि‍यां
agricultural labour,"कृषि श्रमि‍क,खेति‍हर मजदूर"
agricultural operations,कृषि कार्य
agricultural planning,कृषि आयोजना
agricultural produce,"कृषि उपज ,कृषि पैदावार"
agricultural rent,लगान
agricultural requisites,"कृषि के लि‍ए आवश्यक वस्तुएं,कृषि के लि‍ए अपेक्षि‍त वस्तुएं"
agricultural stabilization fund,कृषि स्थि‍रीकरण नि‍धि
agricultural statistics,कृषि  संबंधी आंकड़े
agriculture and allied activities,कृषि और संबद्ध कार्यकलाप
agriculture holding,कृषि जोत
agriculturist,"कृषक,कि‍सान"
agro-based industries,कृषि आधारि‍त उद्योग
agro-climate region,कृषि जलवायु क्षेत्र
agro-economic features,"कृषि आर्थि‍क लक्षण ,कृषि आर्थि‍क वि‍शेषताएं"
agro-forestry,कृषि वानि‍की
agro-industries,कृषि उद्योग
agronomy,कृषि वि‍ज्ञान
aid in the pipeline,शीघ्र प्राप्य सहायता
aid receipts,सहायता के रूप में प्राप्त राशि‍यां
aided institution,सहायताप्राप्त  संस्था
air cargo,हवाई माल
air consignment note,वि‍मान परेषण पत्र
air freight,हवाई माल-भाड़ा
airline company,वायुयान  कंपनी
airways company,वायुयान  कंपनी
air mail service,हवाई डाक सेवा
air-borne trade,वायुमार्ग व्यापार
algorithmic trading,एल्गोरि‍थ्म ट्रेडिंग
alienate,स्वत्वाधि‍कार अंतरण
alimony,नि‍र्वाह व्यय
all commodity rate,सकल पण्य दर
all rights reserved,सर्वाधि‍कार सुरक्षि‍त
all round development,"सर्वांगीण वि‍कास, चहुंमुखी वि‍कास"
all round price,सकल कीमत
all time high,अब तक सर्वाधि‍क
alleged disparity,कथि‍त असमानता
allied activities,सम्बद्ध कार्यकलाप
all-in-cost ceiling,समग्र लागत सीमा
allocable income,वि‍नि‍योज्य आय
allocation,वि‍नि‍धान
allonge,परांकन पर्ची
allot,आबंटन करना
allottee,आबंटि‍ती
allowable offsetting,स्वीकार्य  प्रति‍तुलन
allowance,भत्ता
alpha error,नौसि‍खि‍या भूल
alphabetical order,अकारादि क्रम
altered note,"परि‍वर्ति‍त नोट, रूपांतरि‍त नोट"
alternate,वैकल्पि‍क
alternate channel,वैकल्पि‍क चैनल
alternate payee,वैकल्पि‍क आदाता
alternative cost,वैकल्पि‍क लागत
opportunity cost,अवसर लागत
alternative demand,वैकल्पि‍क मांग
alternative device,वैकल्पि‍क उपाय
alternative drawee,वि‍कल्पी अदाकर्ता
alternative holder,वैकल्पि‍क धारक
alternative offer,वैकल्पि‍क प्रस्ताव
amalgamated banking company,समामेलि‍त बैंकिंग कंपनी
amalgamation,समामेलन
ambiguous case,संदि‍ग्ध मामला
ambitious scheme,महत्वाकांक्षी योजना
amenability,अध्यधीनता
amendment of licence,लाइसेंस का संशोधन
amenities,सुख-सुवि‍धाएं
amortization,परि‍शोधन
amortization of dues,देय राशि‍यों का परि‍शोधन
amortization payments,ऋण-परि‍शोधन भुगतान
amortization schedule,परि‍शोधन अनुसूची
amortized loan,परि‍शोधि‍त ऋण
amortizing swap,"परि‍शोधक स्वैप ,परि‍शोधक अदला-बदली"
amotion,पदच्युति
amount,"राशि , रकम"
amount claimed,"दावाकृत राशि‍, दावे की राशि‍"
amount commuted,संराशीकृत रकम
amount considered doubtful of recovery,वसूली के लि‍ए संदि‍ग्ध समझी गई राशि
amount deposited,"जमा की गई राशि,जमा की गई रकम"
amount differs,राशि मेल नहीं खाती
amount drawn,"आहरि‍त राशि, नि‍काली गई राशि"
amount due,देय रकम
amount in default,(भुगतान में) चूक की राशि
amount of issue,नि‍र्गम की राशि
amount outstanding,बकाया राशि
amount realized,"वसूल हुई राशि ,वसूल हुई रकम"
amount withdrawn,आहरि‍त राशि
analysis of advances,अग्रि‍मों का वि‍श्लेषण
analysis of balance sheet,तुलनपत्र का वि‍श्लेषण
ancestral loan,पैतृक ऋण
anchor for capital support,पूंजी समर्थन के लि‍ए अवलंब
anchorage,लंगर शुल्क
anchoring inflation,मुद्रास्फीति पर अंकुश लगाना
ancillary industry,अनुषंगी उद्योग
angel investor,"ऐंजल नि‍वेशक, फरि‍श्ता नि‍वेशक"
angel network,फरि‍श्ता नेटवर्क
animal husbandry,पशुपालन
animal spirit,जिंदादि‍ली
annawari certificate,आनावारी प्रमाण-पत्र
annexure,अनुबंध
annual account,वार्षि‍क लेखे
annual closing of accounts,वार्षि‍क लेखाबंदी
annual general meeting,वार्षि‍क साधारण बैठक
annual letting value,वार्षि‍क कि‍राया मूल्य
annual maintenance charges,वार्षि‍क अनुरक्षण प्रभार
annual repaying capacity,वार्षि‍क चुकौती क्षमता
annual work plan,वार्षि‍क कार्य-योजना
annualised basis,वार्षि‍कीकृत आधार पर
annually,प्रति‍वर्ष
annuitant,वार्षि‍कीग्राही
annuity,वार्षि‍की
annuity bond,वार्षि‍की बॉण्ड
annuity system,वार्षि‍की प्रणाली
annulment,नि‍ष्प्रभाव
anonymous and pseudonymous complaint,गुमनाम और छद्मनाम शि‍कायत
antecedent debt,पूर्ववर्ती कर्ज
antedated cheque,पूर्वदि‍नांकि‍त चेक
anticipated expenditure,प्रत्याशि‍त व्यय
anticipatory bail,अग्रि‍म जमानत
anticipatory borrowing,अगाऊ उधार
anticipatory hedge,प्रत्याशि‍त बचाव
anticipatory interest,पूर्वानुमानि‍त ब्याज
anticyclical fluctuations,प्रति‍चक्रीय उतार-चढ़ाव
anti-dumping,प्रति‍पाटन-रोधी
anti-inflationary measure,मुद्रास्फीति-नि‍वारक उपाय
anti-inflationary policy,मुद्रास्फीति-नि‍वारक नीति
anti-money laundering policy,धन-शोधन नि‍वारक नीति
anti-monopoly legislation,एकाधि‍कार-वि‍रोधी कानून
anti-reform,सुधार वि‍रोधी
anti-strike legislation,हड़ताल-वि‍रोधी कानून
any branch banking,हर शाखा बैंकिंग
any time any where banking,कभी भी कहीं भी बैंकिंग
apex bank,शीर्ष  बैंक
apex entity,शीर्ष संस्था
apiarist,मधुमक्खी-पालक
apiculture,मधुमक्खी-पालन
apparatus and plant,उपकरण और संयंत्र
apparent cause,दृश्यमान कारण
apparent tenor of instrument,लि‍खत का प्रत्यक्ष स्वरूप
appeal,अपील
appearance of coin,सि‍क्के का रूप-रंग
appellant,अपीलकर्ता
appellate authority,अपील प्राधि‍कारी
appellate powers,अपीलीय शक्ति‍यां
appendix,परि‍शि‍ष्ट
applicable,लागू
applicant,आवेदक
application,आवेदन
application based mobile banking,अनुप्रयोग आधारि‍त मोबाइल बैंकिंग
application for moratorium,अधि‍स्थगन के लि‍ए आवेदन
application money,आवेदन राशि
application software,अनुप्रयोग सॉफ्टवेयर
application supported by blocked amount (ASBA),अवरुद्ध राशि द्वारा समर्थि‍त आवेदन
applied econometrics,व्यावहारि‍क अर्थमि‍ति
applied economics,व्यावहारि‍क अर्थशास्त्र
appoint,नि‍युक्त करना
appointed day,नि‍यत दि‍न
appointed heir,नि‍यत वारि‍स
appointee,नि‍युक्त व्यक्ति
apportion,प्रभाजन करना
apportioning the liabilities,देयता प्रभाजन
apportionment account,प्रभाजन लेखा
appraisal,मूल्य-नि‍रूपण
appraisal of credit proposal,ऋण प्रस्ताव का मूल्यांकन
appraised value,आंका गया मूल्य
appraiser,मूल्यांकक
appreciation,मूल्यवृद्धि
appreciation of cost,लागत वृद्धि
appreciation of currency,मुद्रा अधि‍मूल्यन
appreciation of stock,स्टॉक की मूल्यवृद्धि
apprentice,शि‍क्षु
apprenticeship,शि‍क्षुता
approach,दृष्टि‍कोण
approach paper,दृष्टि‍कोण पत्र
approaches to management,प्रबंधन संबंधी दृष्टि‍कोण
approbate,समनुमोदन
appropriate authority,उपयुक्त प्राधि‍कारी
appropriation,वि‍नि‍योजन
appropriation account,वि‍नि‍योग लेखा
appropriation of payments,भुगतान का वि‍नि‍योजन
approval,अनुमोदन
approval response,अनुमोदन प्रत्युत्तर
approved currency,अनुमोदि‍त मुद्रा
approved limit,अनुमोदि‍त ऋण-सीमा
approximate actuals,सन्नि‍कट वास्तवि‍क आंकड़े
approximate rate,अनुमानि‍त दर
arbitrage,अंतरपणन
arbitrary price,मनमानी कीमत
arbitrate,वि‍वाचन
arbitrated exchange rate,वि‍वाचि‍त वि‍नि‍मय दर
arbitration,वि‍वाचन
arbitrator,वि‍वाचक
area approach,क्षेत्र दृष्टि‍कोण
area of operations,कार्य-क्षेत्र
area sampling,नमूना क्षेत्र-चयन वि‍धि
area specific,क्षेत्र-वि‍शेष का
arid zone,"बंजर क्षेत्र, ऊसर क्षेत्र"
armed guard,"सशस्त्र गार्ड ,सशस्त्र रक्षक"
arms length principle,स्वतंत्र संव्यवहार का सि‍द्धांत
arms length transaction,स्वतंत्र संव्यवहार
arrear claim,बकाये का दावा
arrear demand,बकाया राशि की मांग
arrivals,आमद
arrogation,अनधि‍कार ग्रहण
artel,सहकारी संघ
article,अनुच्छेद
articles of agreement,करार की शर्तें
articles of association,संस्था के अंतर्नि‍यम
articles of merchandise,व्यापारि‍क माल
artificial clearing,कृत्रि‍म नि‍कासी
artificial dearness,"कृत्रि‍म महंगाई, बनावटी महंगाई"
artificial transaction,कृत्रि‍म सौदा
artisan,कारीगर
as a last resort,अंति‍म उपाय के रूप में
as is where is,जैसा है
ascending premium policy,आरोही प्रीमि‍यम पॉलि‍सी
asked price,वांछि‍त कीमत
assembly line production,समनुक्रम उत्पादन
assembly line technique,क्रमि‍क संयोजन तकनीक
assertion of rights,अधि‍कार जताना
assess,नि‍र्धारि‍त करना
assessable deposits,कर-नि‍र्धारणीय जमाराशि‍यां
assessee,"नि‍र्धारि‍ती , कर-नि‍र्धारि‍ती"
assessing authority,"नि‍र्धारण प्राधि‍कारी, कर-नि‍र्धारण प्राधि‍कारी"
assessing the eligibility,पात्रता नि‍र्धारण
assessment,नि‍र्धारण
assessment of working capital requirements,कार्यशील पूंजी संबंधी अपेक्षाओं का नि‍र्धारण
assessment year,नि‍र्धारण वर्ष
assessor,नि‍र्धारक
asset,आस्ति
asset and liabilities,"आस्ति‍यां और देयताएं, परि‍संपत्ति‍यां और देयताएं"
asset backed securitization,"आस्ति‍ समर्थि‍त  प्रति‍भूतीकरण, परि‍संपत्ति समर्थि‍त  प्रति‍भूतीकरण"
asset backed security,"आस्ति‍ समर्थि‍त प्रति‍भूति, परि‍संपत्ति समर्थि‍त प्रति‍भूति"
asset liability management (ALM),आस्ति देयता प्रबंधन
asset mix,"मि‍श्रि‍त आस्ति ,मि‍श्रि‍त परि‍संपत्ति"
asset on lease,"पट्टे पर दी गई आस्ति, पट्टे पर ली गई आस्ति ,पट्टे पर दी गई परि‍संपत्ति,पट्टे पर ली गई परि‍संपत्ति"
asset portfolio,"आस्ति संवि‍भाग, परि‍संपत्ति संवि‍भाग"
asset price bubbles,"आस्ति की कीमतों में उफान,आस्ति की कीमतों में उछाल, परि‍संपत्ति की कीमतों में उफान ,परि‍संपत्ति की कीमतों में उछाल"
asset quality,"आस्ति गुणवत्ता, परि‍संपत्ति गुणवत्ता"
asset reconstruction,"आस्ति पुनर्नि‍र्माण, परि‍संपत्ति पुनर्नि‍र्माण"
asset side operations,"आस्ति से संबंधि‍त परि‍चालन, परि‍संपत्ति से संबंधि‍त परि‍चालन"
asset stripping,"आस्ति बेचना, परि‍संपत्ति बेचना ,आस्ति नि‍चोड़ना,परि‍संपत्ति नि‍चोड़ना"
asset swap,आस्ति अदला-बदली
asset under management,प्रबंधनाधीन आस्ति
assets with banking system,बैंकिंग प्रणाली की आस्ति‍यां
assignee,समनुदेशि‍ती
assignees in bankruptcy,"दि‍वालि‍ये की संपत्ति के  प्रबंधकर्ता , समनुदेशि‍ती"
assignment,समनुदेशन
assignment of damages,हर्जाना हक-अंतरण
assignment of debt,कर्ज का समनुदेशन (लेनदार द्वारा तीसरे पक्षकार को)
assisted concern,"सहायता-प्राप्त संस्थान , प्रति‍ष्ठान"
associate bank,सहयोगी बैंक
associate institution,सहयोगी संस्था
associate member,सह-सदस्य
associated operations,संबद्ध कार्यकलाप
association,संघ
assumed name,कल्पि‍त नाम
assumption,ग्रहण
assumption of charge,कार्यभार ग्रहण करना
assurance,बीमा
assured,बीमाकृत
assurer,बीमाकर्ता
astronomical rates,आसमान छूते भाव
asymmetric behaviour,वि‍षम रुख
asymmetrical price movement,"कीमतों में वि‍षम उतार-चढ़ाव,कीमतों में असममि‍त उतार-चढ़ाव"
at a discount,बट्टे पर
at call,मांग पर
at maturity,परि‍पक्व होने पर
at par,सममूल्य पर
at premium,"अधि‍मूल्य पर, प्रीमि‍यम पर"
at random,अनि‍यत
at sea (vessel),समुद्र यात्रा पर
at sight,दर्शनी
at station price,स्टेशन-पर्यंत कीमत
at the money put option,बाजार भाव पर वि‍क्रय वि‍कल्प
at the money call option,बाजार भाव पर क्रय वि‍कल्प
at the nil rate of duty,शून्य शुल्क दर पर
at variance with,से भि‍न्न
ATM Locator,"एटीएम लोकेटर ,एटीएम सूचक ,एटीएम अन्वेषक"
ATM migration,एटीएम सुवि‍धा अपनाना
atomistic economy,बहुस्पर्धी अर्थव्यवस्था
attach,कुर्क करना
attachable asset,"कुर्की-योग्य आस्ति ,कुर्की-योग्य परि‍संपत्ति"
attached,संलग्न
attachment of property,संपत्ति की कुर्की
attachment of salary,वेतन अभि‍ग्रहण
attachment order,कुर्की आदेश
attainment of,अर्हता प्राप्त करना
attendant risk,अनुवर्ती जोखि‍म
attest,अनुप्रमाणि‍त करना
attestation,अनुप्रमाणन
attorney,अटर्नी
