English,Hindi
Addressee,"पाने वाला, प्रेषिती"
Address of welcome,अभिनंदन पत्र
Adequate,पर्याप्‍त
Adhere to,"पर दृढ़ रहना, पर जमे रहना"
Ad hoc,तदर्थ
Ad hoc claim,तदर्थ दावा
Ad hoc committee,तदर्थ समिति
Ad hoc increase,तदर्थ वृद्‌धि
Ad hoc payment,तदर्थ भुगतान
Adjacent,‍पार्श्‍वस्थ
Adjoining (=contiguous),"लगा होना, सटा होना"
Adjournment,स्थगन
Adjournment motion,"स्थगन प्रस्ताव, काम रोको प्रस्ताव"
Adjudge,न्यायनिर्णीत करना 
Adjudicate,न्यायनिर्णय करना
Adjudication,न्यायनिर्णयन
Adjudicator,न्यायनिर्णायक
Adjustment,समायोजन
Administer," प्रशासन करना, देना,दिलाना , व्यवस्था करना"
Administer oath,शपथ दिलाना
Administration,प्रशासन
Administration of justice,न्याय-प्रशासन
Administrative,प्रशासनिक
Administrative action,प्रशासनिक कार्रवाई
Administrative appraisal,प्रशासनिक मूल्यांकन
Administrative approval,प्रशासनिक अनुमोदन
Administrative authority,प्रशासनिक प्राधिकारी
Administrative control,प्रशासनिक नियंत्रण
Administrative decision,प्रशासनिक निर्णय
Administrative department,प्रशासकीय विभाग
Administrative head,प्रशासनिक प्रधान
Administrative headquarters,प्रशासनिक मुख्यालय
Administrative measures,प्रशासनिक उपाय
Administrative power,"प्रशासी शक्‍ति, प्रशासनिक शक्ति"
Administrative sanction,प्रशासनिक मंजूरी
Administrative technique,"प्रशासन तकनीक, प्रशासनिक प्रविधि"
Administrative tribunal,प्रशासनिक अधिकरण
Admissibility,ग्राह्‌यता: स्वीकार्यता
Admissible expenditure,ग्राह्‌य व्यय
Admit," प्रवेश करने देना, अंदर आने देना , स्वीकार करना, प्रविष्‍ट करना, दाखिल करना, दाखिला देना"
Admit card,"प्रवेश पत्र, प्रवेश पत्रक"
Admitted," प्रविष्‍ट दाखिल ,स्वीकृत"
Admonish,भर्त्‍सना करना
Adoptee,दत्‍तक
Adoptor,दत्‍तकगृहीता
Adoption," अंगीकरण , दत्‍तक-ग्रहण"
Adult,"प्रौढ, वयस्क"
Adulteration,"अपमिश्रण, मिलावट"
Adultery,जारकर्म
Adult franchise,वयस्क मताधिकार
Ad valorem duty,यथामूल्य शुल्क
Advance,"अग्रिम, पेशगी"
Advance booking,अग्रिम बुकिंग
Advance copy,अग्रिम प्रति
Advance increment,अग्रिम  वृद्‌धि
Advance payment,"अग्रिम अदायगी, अग्रिम भुगतान"
Adverse entry,"प्रतिकूल इंदराज, प्रतिकूल प्रविष्‍टि"
Adverse remarks,प्रतिकूल अभ्युक्‍ति
Adverse report,प्रतिकूल रिपोर्ट
Advertisement,विज्ञापन
Advice," सलाह , सूचना, संज्ञापन"
Advice of payment,"भुगतान सूचना, भुगतान-संज्ञापन"
Advisory committee,सलाहकार समिति
Advisory council,सलाहकार परिषद्
Advocate," अधिवक्‍ता, एडवोकेट , पक्ष-समर्थक"
Affairs,"कार्य, मामले"
Affidavit,"शपथपत्र, हलफ़नामा"
Affiliation,संबंधन
Affirmation," अभिपुष्‍टि ,प्रतिज्ञान "
Affirmative,सकारात्मक
Afford," समर्थ होना ,  प्रदान करना, दे सकना"
Aforesaid,पूर्वोक्‍त
Afresh,नए सिरे से
Against," विरुद्‌ध, के प्रति, के सामने, के सम्मुख , की तुलना में"
Age," आयु,उम्र , युग"
Age certificate,आयु प्रमाणपत्र
Age for suffrage,मताधिकार आयु
Age limit,आयु सीमा
Agency,"अभिकरण, एजेंसी"
Agenda,कार्यसूची
Age of retirement,सेवानिवृत्‍ति आयु
Age of superannuation,अधिवर्षिता आयु
Aggregation,"समुच्चय, समूह"
Aggrieved,व्यथित
Agitation,आंदोलन
AGM ," वार्षिक महासभा , वार्षिक आमसभा"
Agreement," क़रार, अनुबंध ,सहमति, रजामंदी"
Agreement form,"क़रारनामा, अनुबंध पत्र"
Agriculture,कृषि
Agro-industry,कृषि-उद्‌योग
Aid,"सहायता, मदद"
Alarm," आपद संकेत, खतरे का संकेत, अलार्म"
Alertness,सजगता
Alias," उपनाम , उर्फ़ (क्रि.वि.)"
Allegation,अभिकथन
Allegiance,निष्ठा
Alliance,मैत्री
Allied services,सम्बद्‌ध सेवाएं
All inclusive cost,सर्वसमावेशी लागत
All India Services,अखिल भारतीय सेवा
Allocation,नियतन
Allotment,आबंटन
Allotment letter,आबंटन-पत्र
Allottee,आबंटिति
Allowable,"अनुज्ञेय, अनुमतियोग्य"
Allowable expenses,"अनुज्ञेय व्यय, अनुमतियोग्य व्यय"
Allow an appeal,अपील मंजूर करना
Allowance," भत्‍ता ,छूट"
All rights reserved,सर्वाधिकार सुरक्षित
Alphabetic order,"वर्णक्रम, अकारादिक्रम"
Altercation,कहासुनी
Alternate," एकांतर , विकल्पी"
Alternative,"विकल्प,वैकल्पिक"
Amalgamation,समामेलन
Amended draft,"संशोधित मसौदा, संशोधित प्रारूप"
Amendment,संशोधन
Amenity,सुख-सुविधा
Amicable,"सौहार्दपूर्ण, मैत्रीपूर्ण"
Ammunition,गोला-बारूद
Amortization of debt,"ऋण परिशोधन, ऋण मुक्‍ति"
Amount," राशि, रक़म, मात्रा"
Amount of pension,पेन्शन राशि
Analogous post,अनुरूप पद
Analysis,विश्‍लेषण
Analytical study,विश्‍लेषणात्मक अध्ययन
Ancestor,पूर्वज
Ancillary industry,अनुषंगी उद्‌योग
Animosity,बैर
Annexure,संलग्नक
Anniversary,वर्षगांठ
Announcement,"उद्‌घोषण, ऐलान, आख्यापन"
Annoyance,"खिन्‍नता, चिढ, खीज"
Annual financial statement,वार्षिक वित्‍तीय विवरण
Annual report,वार्षिक रिपोर्ट
Annuity,वार्षिकी
Anonymous,"अनाम, गुमनाम"
Anonymous complaint,गुमनाम शिकायत
Answerability,जवाबदेही
Answer sheet,उत्‍तर पत्रक
Antagonist,विरोधी
Antecedents,पूर्ववृत्‍त
Anticipated expenditure,प्रत्याशित व्यय
Anticipated income,प्रत्याशित आय
Anticipation," प्रत्याशा , पूर्वानुमान"
Anticipatory bail,अग्रिम ज़मानत
Anti-corruption measure,भ्रष्‍टाचार-निरोधक उपाय
Anti-dumping,"प्रति-पाटन, पाटन-निरोधी"
Antique,पुरावस्तु
Apartheid,रंगभेद
Apathy,उदासीनता
Apex body,शीर्ष निकाय
Apology,क्षमायाचना
Appeal,"अपील,अपील करना"
Appearance," हाजि़री , उपसंजाति  , रूप"
Appeasement,तुष्‍टीकरण
Appellate tribunal,अपील अधिकरण
Appendix,परिशिष्‍ट
Appliance,उपयंत्र
Applicable,"अनुप्रयोज्य, लागू"
Applicant,आवेदक
Application," आवेदन, अर्ज़ी , अनुप्रयोग, लागू होना"
Application form,"आवेदन पत्र, अर्ज़ी"
Applied,अनुप्रयुक्‍त
Apply," आवेदन करना, अर्जी देना , लागू करना, लागू होना , अनप्रयुक्‍त होना"
Appointee,नियुक्‍त व्यक्‍ति
Appointing authority,नियुक्‍ति प्राधिकारी
Appointment,नियुक्‍ति
Appointment letter,नियुक्‍ति पत्र
Appointments Committee of the Cabinet,मंत्रीमंडलीय नियुक्‍ति समिति
Apportionment of wages,मजदूरी प्रभाजन
Appraisal,"मूल्यनिरूपण, आंकना"
Appraiser,मूल्यांक
Appreciation," सराहना , वृद्‌धि"
Apprehension," पकड़ा जाना, गिरफ़्तारी ,बोध, समझ , आशंका"
Apprentice,शिक्षु
Approach," पहुंच,उपगम , उपमार्ग ,दृष्‍टिकोण"
Appropriate," उपयुक्‍त, उचित , विनियोजन करना"
Appropriate action,उचित कार्रवाई
Appropriate head,उपयुक्‍त शीर्ष
Appropriation,विनियोजन
Approval,अनुमोदन
Approximate,"लगभग, सन्‍निकट"
Aptitude test,"अभिक्षमता परीक्षा, रुझान परीक्षण"
Arbitrary,मनमाना
Arbitrate,मध्यस्थता करना
Arbitration,"विवाचन, माध्यस्थम् "
Arbitration tribunal,माध्यस्थम् अधिकरण
Arbitrator,"विवाचक, मध्यस्थ"
Architecture,वास्तुकला
Archives,अभिलेखागार
Area," क्षेत्र , क्षेत्रफल"
Area headquarter,"क्षेत्र मुख्यालय, क्षेत्रीय मुख्यालय"
Argument,"तर्क, बहस"
Arise,"उठना, उद्‌भूत होना, पैदा होना"
Armed forces," सशस्त्र बल , सशस्त्र सेनाएं"
Arrangement," व्यवस्था ,विन्यास , प्रबंध"
Arrear,बक़ाया
Arrear statement,बक़ाया विवरण
Arrival report,आगमन रिपोर्ट
Arrogance,"दंभ,अक्खड़पन"
Arsenal,"आयुधागार, शास्त्रागार"
Article," अनुच्छेद , वस्तु , लेख"
Articles of association,संस्था के अंतर्नियम
Articles,नियमावली
Ascending order,आरोही क्रम
Ascertain,अभिनिश्‍चित करना
As is where is,जैसा है जहाँ है
Aspect," पहलू, पक्ष , दृष्‍टि"
Aspersion,लांछन
Assassination,"हत्या,हनन"
Assault,हमला
Assemble," जुटना, एकत्र होना, इकट्ठा होना ,जोड़ना , सम्मिलित करना, एकत्र करना"
Assembly," सभा , जमाव"
Assent,अनुमति
Assert,"दृढ़ता से कहना,जोर देकर कहना"
Assessee,निर्धारिती
Assessment,निर्धारण
Assessment year,निर्धारण वर्ष
Assessor," कर-निर्धारक , असेसर"
Assets,परिसंपत्‍ति
Assignee,समनुदेशिती
Assignment," समनुदेशन ,सुपुर्द काम"
Assignor,समनुदेशक
Assistance,"सहायता, मदद"
Associate," सह , सहयुक्‍त , सम्मिलित करना, सहयुक्‍त करना"
Association," संघ , संगम  , संबंध,साहचर्य"
Assumption of charge,कार्यभार-ग्रहण
Assurance," आश्‍वासन , बीमा , हस्तांतरण पत्र"
Assurance company,बीमा कंपनी
Assure,आश्‍वस्त करना
At discount,बट्टे पर
Atomic power,परमाणु शक्‍ति
At par,सममूल्य पर
At premium,"बढ़े मूल्य पर,अधिमूल्य पर,प्रीमियम पर"
Attach," साथ लगाना,संलग्न करना , कुर्की करना"
Attached office,संलग्न कार्यालय
Attachment," संलग्नक ,कुर्की"
Attachment order,कुर्की आदेश
Attainment,"लब्धि,प्राप्‍ति"
Attempt,"प्रयत्‍न करना,प्रयत्‍न"
Attendance,"उपस्थिति,हाजि़री"
Attendance register,"उपस्थिति पंजी,हाजि़री रजिस्टर"
Attendance slip,उपस्थिति पर्ची
Attention," ध्यान ,सावधान"
Attestation,"अनुप्रमाणन,तसदीक़"
Attested copy,"अनुप्रमाणित प्रति, साक्ष्यांकित प्रति"
Attitude,अभिवृत्‍ति
Attractive salary,आकर्षक वेतन
Auction,नीलामी
Auctioneer,नीलामकर्ता
Auction sale,नीलामी बिक्री
Audience," श्रोता , दर्शक , सुनवाई , दर्शन"
Audio-visual display,दृश्य-श्रव्य प्रदर्श
Audio-visual publicity,दृश्य-श्रव्य प्रचार
Audit,"  लेखापरीक्षा , संपरीक्षा"
Audited accounts,"परीक्षित लेखा, संपरीक्षित लेखा"
Audited balance sheet,समपरीक्षित तुलनपत्र
Auditing,लेखा परीक्षण
Audit objection,लेखापरीक्षा आपत्‍ति
Auditor's report,लेखापरीक्षक की रिपोर्ट
Auditorium,प्रेक्षागृह
Audit paragraph,लेखापरीक्षा पैरा
Audit report,लेखापरीक्षा रिपोर्ट
Austerity,मितोपभोग
Austerity measures,मितोपभोग उपाय
Authentic,प्रामाणिक
Authorised representative,प्राधिकृत प्रतिनिधि
Authoritative," प्राधिकृत , प्राधिकारिक"
Authority," (व्यक्‍ति) प्राधिकारी , प्राधिकार , प्राधिकरण ,अधिकारी विद्‌वान"
Authority letter,प्राधिकार पत्र
Authorized,प्राधिकृत
Authorized capital,प्राधिकृत पूंजी
Automatic,स्वचालित
Autonomous,स्वायत्‍त
Autonomous body,स्वायत्‍त निकाय
Autonomy,स्वायत्‍तता
Auxiliary,सहायक
Available,"प्राप्य,उपलब्ध"
Average," औसत ,  सामान्य"
Average leave,औसत छुट्टी
Aversion,विरुचि
Avert,बचा लेना
Avoid,"परिहार करना,परिवर्जन करना, से बचना"
Avoidance of tax,कर देने से बचना
Awaited,प्रतीक्षित
Award," पंचाट , अधिनिर्णय , पुरस्कार , प्रदान करना"
Awarding authority,अधिनिर्णयन प्राधिकारी
Awareness,जागरूकता
Backdated,पूर्व-दिनांकित
Background,पृष्‍ठभूमि
Back log,पिछला बक़ाया
Back out,"मुकर जाना, से हटना"
Back reference,पिछला संदर्भ
Back up,पूर्तिकर
Backward classes,पिछड़ा वर्ग
Backward tribe,पिछड़ी जनजाति
Bad bargain,"अलाभकर सौदा, घाटे का सौदा"
Bad behaviour,बुरा व्यवहार
Bad character," दुश्‍चरित्र , दु:शील"
Bad climate allowance,विषम जलवायु भत्‍ता
Bad conduct,दुराचरण
Bad debt,अशोध्य ऋण
Baggage,असबाब
Bail,ज़मानत
Balance," शेष,बाक़ी ,संतुलन"
Balance brought down,अधोनीत शेष
Balance brought forward,अग्रेनीत शेष
Balanced budget,संतुलित बजट
Balance sheet,तुलन पत्र
Ballot," मतपत्र , मतदान"
Ballot box,मतपेटी
Ballot paper,मतपत्र
Ban,"प्रतिबंध,रोक,पाबंदी"
Bank," बैंक , साहूकारी करना"
Bank account,बैंक खाता
Bank balance,बैंक शेष
Bank charges,बैंक प्रभार
Bank guarantee,"बैंक गारंटी,बैंक प्रत्याभूति"
Bank holiday,बैंक अवकाश
Banking facility,बैंकिंग सुविधाबैंककारी सुविधा
Banking hours,बैंकिंग कार्य-समय
Banking transaction,"बैंक कार्य-व्यवहार,बैंक लेन-देन"
Bank rate,बैंक दर
Bank reconciliation,बैंक समाधान
Bankrupt,दिवालिया
Bank security,"बैंक प्रतिभूति,बैंक ज़मानत"
Bank statement,बैंक विवरण
Banquet,"प्रीतिभोज, भोज"
Bar council,"विधिज्ञ परिषद्,बार काउंसिल"
Bargain,"सौदा,सौदा करना"
Bargaining,"सौदेबाजी, सौदाकारी"
Barren land,बंजर भूमि
Barter,वस्तु विनिमय
Base,आधार
Baseless,"निराधार, बेबुनियाद"
Basement,तहख़ाना
Base year,आधार वर्ष
Basic,"मूल,बुनियादी"
Basically,मूलतः बुनियादी तौर पर
Basic intelligence,आधारिक आसूचना
Basic pay,मूल वेतन
Basic scale of pay,मूल वेतनमान
Basic training,बुनियादी प्रशिक्षण
Basis,आधार
Batch," बैच, टोली , खेप, घान"
Batch number,"बैच नंबर, खेप नंबर"
Bearer cheque,धारक चैक
Before cited,पूर्व-कथित
Behaviour,व्यवहार
Belief,विश्‍वास
Below par,अवमूल्य पर
Bench," न्यायपीठ,बेंच"
Benchmark," तल चिह्‌न , मानक"
Beneficial,"लाभप्रद, हितकारी"
Beneficiary,"हितभागी,लाभार्थी"
Benefit,"हितलाभ, हित, लाभ"
Benefit of doubt,संदेह लाभ
Benevolence,हितकारिता
Benevolent fund,हितकारी निधि
Bequeath," वसीयत करना , वसीयत द्‌वारा देना"
Bequest,वसीयत
Bereaved,शोकसंतप्त
Best endeavours,भरसक प्रयत्‍न
Betterment," सुमुन्नति , बेहतरी, खुशहाली"
Bias," अभिनति, झुकाव , पूर्वाग्रह"
Biased opinion,पूर्वाग्रही मत
Bibliography,ग्रंथसूची
Biennial,द्‌विवार्षिक
Bifurcate,दो भागों में बांटना/बंटना
Bigamy, द्‌विविवाह
Bilateral,द्‌विपक्षीय
Bilingual,द्‌विभाषी
Bicameral,"द्‍‌विसदन, द्‌विसदनी"
Bill," विधेयक ,बिल"
Bill of exchange,विनिमय पत्र
Bimonthly report," द्‌विमासिक रिपोर्ट , अर्धमासिक रिपोर्ट"
Binding," जिल्दसाजी , बाध्यकारी"
Biodata,जीवनवृत्‍त
Bipartite,"द्‌विदक्षीय, द्‌विदलीय"
Bipartite agreement,द्‌विपक्षीय करार
Birth anniversary,जन्म वर्षगाँठ
Birth certificate,जन्म प्रमाणपत्र
Birth control,संतति निरोध
Birth date,"जन्म तिथि,जन्म की तारीख"
Birth place,जन्म स्थान
Birth rate,जन्मदर
Biweekly," पाक्षिक ,अर्ध-साप्ताहिक"
Black economy,काली अर्थव्यवस्था
Black list,"काली सूची, काली सूची में नाम डालना"
Blackmail,भयादोहन
Black market,"चोर बाजार,काला बाजार"
Blame,दोष लगाना
Blank cheque,कोरा चेक
Blanket deal,व्यापक सौदा
Blanket order,व्यापक आदेश
Blast,धमाका
Blending,सम्मिश्रण
Block,"खंड,ब्लॉक"
Blockade,"नाकाबंदी, अवरोध"
Blocked capital,अवरूद्‌ध पूंजी
Block letter,"बड़ा अक्षर, साफ़ अक्षर"
Blood donation,रक्‍तदान
Blood relations,रक्‍त-संबंधी
Blue collar job,कायिक कार्य
Blueprint,"ब्लूप्रिंट,खाका"
Bluff,झांसा
Board," बोर्ड, मंडल , गत्‍ता"
Boarding and lodging,भोजन तथा आवास 
Board of directors,निदेशक मंडल
Board of revenue,राजस्व मंडल
Body,निकाय
Bodyguard,अंगरक्षक
Bogus voucher,जाली वाउचर
Bonafides,"सद्‍भाव, सदाशयता"
Bond,"बंधपत्र,बांड"
Bonded labour,बंधुआ मज़दूर
Bonus,बोनस
Booking office," टिकटघर ,बुकिंग कार्यालय"
Book-keeper,"बही लेखक,मुनीम"
Book-keeping,"बहीखाता पद्‌धति,बहीखाता-लेखन"
Booklet,पुस्तिका
Book of reference,संदर्भ पुस्तक
Book value,"खाता मूल्य, अंकित मूल्य"
Booth," बूथ, कोष्‍ठ , मतदान कोष्‍ठ"
Booth capturing,"बूथ कब्ज़ा करना, बूथ कब्जाना, बूथ लूटना, मतदान कोष्‍ठ पर कब्जा करना"
Border allowance,सीमा भत्‍ता
Border line," सीमारेखा , सीमावर्ती (वि.)"
Borrower,उधारकर्ता
Borrowing power,"उधार लेने की शक्‍ति, ऋणादान शक्‍ति"
Boss,बॉस
Bottleneck,गत्यवरोध
Bracket,कोष्‍ठक
Boundary,सीमा
Boycott,"बहिष्कार,बॉयकाट"
Brain drain,प्रतिभा पलायन
Branch office,शाखा कार्यालय
Breach,"भंग, तोड़ना"
Breach of agreement,क़रार-भंग
Breach of confidence,विश्‍वास भंग
Breach of contract,संविदा भंग
Breach of discipline,अनुशासन भंग
Breach of law,"विधिभंग,क़ानून तोड़ना"
Breach of peace,शांति भंग
Breach of privilege,विशेषाधिकार भंग
Breach of promise,वचन भंग
Breach of rule,नियम भंग
Breach of trust,"विश्‍वास भंग,अमानत में खयानत"
Breakage,"टूट-फूट, टूट-फूट प्रभार"
Break down,ठप
Break in service,सेवा में व्यवधान
Break-up,ब्योरा
Breed,नस्ल
Bribe,"घूस,रिश्‍वत"
Brief,"संक्षिप्त,पक्षसार, ब्रीफ़"
Briefing,"सार बताना, पक्षसार बताना"
Brief resume,संक्षिप्त वृत्‍त
Brilliant record,"शानदार कीर्तिमान, शानदार रिकार्ड"
Bring into notice,ध्यान में लाना
Broadcast,प्रसारण
Broadsheet,बड़ा चिट्ठा
Brochure,विवरणिका
Brokerage,दलाली
Brought forward (b/f),अग्रानीत
Budget allocation,बजट नियतन
Bugetary control,बजट नियंत्रण
Budget estimate,"बजट प्राक्कलन,बजट अनुमान"
Budget provision,बजट प्रावधान
Building,"भवन,इमारत"
Bulk," थोक,अंबार,ढेर ,अधिकांश ,परिमाण"
Bulk purchase,थोक खारीद
Bulletin,बुलेटिन
Bumper crop,भरपूर पैदावार
Bunching of vacancies,रिक्‍तियों का गुच्छन
Bungling," गोलमाल ,गोलमाल करना"
Bureaucracy," अधिकारी तंत्र , नौकरशाही, दफ्तरशाही"
Bureaucrat,दफ्तरशाह
Business class,व्यवसाय वर्ग
Business hours (= hours of business),कारोबार का समय
Businessman,"व्यवसायी, कारोबारी"
Buy-back,"वापसी खरीद, प्रतिक्रय"
Buyer,"क्रेता, खरीदार"
Bye election (=by election),"उप-निर्वाचन,उपचुनाव"
By hand,दस्ती
By post,"डाक से,डाक द्‌वारा"
Cabin baggage,केबिन असबाब
Cabinet," मंत्रिमंडल , कैबिनेट ,पेटिका"
Cadre,"संवर्ग,काडर"
Calamity,विपत्‍ति
Calculation,परिकलन
Calendar year,कैलेंडर वर्ष
Campaign," अभियान ,प्रचार"
Campus,परिसर
Campus interview,परिसर साक्षात्कार
Cancel,रद्‌द करना
Cancellation,रद्‌दकरण
Candidate,"अभ्यर्थी,उम्मीदवार"
Candidature,"अभ्यर्थिता,उम्मीदवारी"
Canvassing," प्रचार , संयाचना (विधि.)"
Capability,सामर्थ्य
Capable,समर्थ
Capacity," हैसियत ,क्षमता , सामर्थ्य , धारिता"
Capital," पूंजी,मूलधन,राजधानी , स्तंभशीर्ष ,दीर्घाक्षर"
Capital expenditure,पूंजी व्यय
Capital punishment,मृत्युदंड़
Capitation fee,प्रति व्यक्‍ति शुल्क
Capture," पकड़ना , बंदी बनाना"
Care," सावधानी ,देखभाल, रखवाली , परवाह"
Career,"वृत्‍ति,जीविका"
Career development,"वृत्‍ति विकास, जीविका विकास"
Caretaker government,कामचलाऊ सरकार
Carried forward (c/f),अग्रनीत
Carry forward,"अग्रनयन, आगे ले जाना"
Carrying cost,रखाव लागत
Carry over," अग्रनयन , अवशिष्‍ट"
Cartage,"गाड़ी भाड़ा,ढुलाई"
Case," मामला , विषय ,स्थिति , मुकदमा"
Case study,केस अध्ययन
Cash," रोकड,नकदी,भुनाना"
Cash balance,"नकदी शेष, रोकड़ बाकी"
Cash book,रोकड़ बही
Cash card,कैश कार्ड
Cash certificate,"नक़दी, नकदी कार्ड, प्रमाणपत्र"
Cash counter,रोकड़ पटल
Cash crop,नक़दी फ़सल
Cash discount,नक़दी बट्टा
Cash down,एकमुश्त नक़द
Cash in hand,हाथ रोकड़
Cash memo,"नकद पर्ची, कैश मेमो"
Cash payment,नक़द भुगतान
Caste,जाति
Caste certificate,जाति प्रमाणपत्र
Casting vote,निर्णायक मत
Casual," आकस्मिक ,अनियत"
Casual labour,अनियत मज़दूर
Casual leave,आकस्मिक छुट्टी
Casualty,"दुर्घटना ,हताहत ,आपात ,आकस्मिकी"
Casual vacancy,आकस्मिक रिक्‍ति
Catalogue,"सूची,सूचीपत्र"
Categorical,"सुनिश्‍चित,सुस्पष्‍ट"
Category,"कोटि, वर्ग, श्रेणी"
Catering service,खानपान सेवा
Caution," सावधान, खबरदार , सावधानी , चेतावनी , अवधान"
Caution money,"अवधान-राशि , जमानत राशि"
Cease fire,अस्त्रविराम युद्‌ध विराम
"Ceiling (as of ""price"")",अधिकतम सीमा
Celebration,समारोह
Cell phone,सैल फ़ोन
Censor,सेंसर
Censure,"निंदा,परिनिन्दा"
Censure motion,परिनिंदा प्रस्ताव
Census,जनगणना
Central cess,केंद्रीय उपकर
Central civil service  rules,केंद्रीय सिविल सेवा नियमावली
Central excise,केंद्रीय उत्पाद-शुल्क
Central government,"केंद्र सरकार,केंद्रीय सरकार"
Centralization,"केंद्रीयकरण,केंद्रीकरण"
Centralized service,केंद्रीयकृत सेवा
Centrally funded scheme,केंद्र-पोषित योजना
Centrally sponsored scheme,केंद्र-प्रायोजित योजना
Central office,केंद्रीय कार्यालय
Central revenues,केंद्रीय राजस्व
Central sales tax,केंद्रीय बिक्री कर
Centre,केंद्र
Century," शताब्दी,शती,सदी ,शतक"
Cereal,"धान्य,अनाज"
Cerealist,धान्यविद्
Ceremonial parade,समारोह परेड
Ceremony," समारोह , संस्कार , अनुष्ठान"
Certificate,प्रमाणपत्र
Certificate of fitness," स्वस्थता प्रमाणपत्र , दुरस्ती प्रमाणपत्र "
Certificate of posting,डाक प्रमाणपत्र
Certificate of service,सेवा प्रमाणपत्र
Certification,"प्रमाणन,प्रमाणीकरण"
Certified copy,प्रमाणित प्रति
Certify,प्रमाणित करना
Cess,उपकर
Cessation," समाप्‍ति , प्रविरति "
Chain," जंज़ीर,जरीब , श्रृंखला, कड़ी"
Chairman/chairperson," अध्यक्ष ,सभापति"
Challan,चालान
Challenge," चुनौती , आक्षेप "
Chamber," चेम्बर,कक्ष , सदन"
Chamber of commerce,वाणिज्य मंडल
Change," परिवर्तन, बदलाव , बदलना"
Chaos,अव्यवस्था
Chapter," अध्याय,शाखा,चैप्टर"
Character assassination,चरित्र हनन
