English,Hindi
acidolyse,अम्ल-जलापघटन
acidophile,"अम्लरागी, एसिडरोधी"
acidosis,"अम्लरक्तता, अम्लमयता"
acidotic,अम्लरक्तक
aciduria,अम्लमेह
acinus,"कोष्ठक, एसिनस"
aciasis (=aclasia),विरूपान्तरण
acme,दारूणावस्था
acne,"पनसिका, ऐक्नी"
aconite,"ऐकोनाइट, वत्सनाभ"
acoria (=akoria),भोजन अतृप्तता
acormus (=trunkless monster),एकॉरमस (धड़हीन राक्षस)
acorn,"ऐकॉर्न, बांजफल"
acoustics,"श्रवण विज्ञान, ध्वनि विज्ञान, ध्वानिकी"
acquired,उपार्जित
acquired immuno-deficiency syndrome,उपार्जित प्रतिरक्षा हीनता संलक्षण
acrania,"ऐक्रेनिया, अकपालता"
acrid,तीक्ष्ण
acrocentric," अपकेन्द्रिक , अक्षांत केन्द्रिक"
acrocephalosyndactyly,शंकुशीर्षीयुक्तांगुलिता
acrocephaly (=acrocephalia),"शंकुशीर्षता, एक्रोसिफेली"
acrocyanosis,शाखाश्यावता
acrodermatitis,शाखात्वक्शोथ
acrodontism," अग्रदंतता , दंतुरता"
acrodynia,शांखावेदना
acromegaly,"अग्र अतिकायता, ऐक्रोमेगेली, शाखावृहत्ता, महांगता"
acromion,"अंसकूट, ऐक्रोमिऑन"
acro-osteolysis,शाखास्थिलयन
acropachy,"शाखास्थूलता, ऐक्रोपैकी"
acropachyderma,शाखागजचर्मता
acroparaesthesia,शाखा-अपसंवेदन
acropodian,"पादाग्र बिंदु, एक्रोपोडियन"
acrosclerosis,शाखाकाठिन्य
acrosome,"ऐक्रोसोम, अग्रपिण्डक"
actinodermatitis,किरणत्वक्शोथ
actinometer,"किरण क्रियामापी, एक्टिनोमीटर"
actinotherapy,किरण-चिकित्सा
activation,"सक्रियकरण, सक्रियण"
actuated,"चालित, प्रेरित"
acuity,तीक्ष्णता
acupuncture,सूचीवेघ
acute,तीव्र
acyanotic,अश्याव
adamantinoma,"ऐडैमेण्टिनोमा, दन्तवल्क अर्बुद"
adaptability,अनुकूलनशीलता
adaxial,अभ्यक्ष
adduction,अभिवर्तन
adenitis,"ग्रन्थिशोथ, लसीकापर्बशोथ"
adenocarcinoma,"ग्रन्थिकार्सिनोमा, ऐडिनोकार्सिनोमा"
adenocystoma,ऐडिनोसिस्टोमा ग्रंथि-पुटी अर्बुद
adenochondroma,ग्रन्थि-उपास्थि अर्बुद
adenohypophysis,"एडिनोहाइपाफिसिस, अग्रपीयूषिकाग्रन्थि"
adenoid," एडिनॉयड, कंठशालूक , ग्रन्थ्याथ"
adenolymphoma,"ग्रंथ-लसीकार्बुद, ऐडिनोलिम्फोमा"
adenoma,"ग्रन्थ्यर्बुद, ऐडिनोमा"
adenomyoma,ग्रंथि-पेशीअर्बुद
adenomyomatosis,ग्रंथिपेशी-अर्बुदता
adenomyosis,"ऐडिनोमायोसिस, ग्रंथिपेशीअर्बुदता"
adenopathy,ग्रंथिविकृति
adenosis," ग्रंथिरोग , ग्र॑थिलता"
adhatoda,वसाका
adherent,"अभिलग्न, अंतरचेतक"
adhesion,आसंजन
adipocere,वसा सिक्थ
adipose," वसा , वसामय"
adiposis,"मेदुरता, वसामयता"
"adipositas cordis (=fatty heart, liposis cordis)",हृद्‌ वसामयता (=वसामयहद्‌)
adiposus,वसास्तर
adipsia,अपिपासा
aditus,प्रवेशिका
adjunct,अनुषंगी
adjuvant," सहयोगी , सहऔषध"
"ad lbium (ad, lib.)",यथेच्छ
"admixture, complex",जटिल अधिमिश्रण
adnexa (appendage),उपांग
adrenal (=suprarenal),"ऐड्रिनल, अधिवृक्क"
adrenergic (=adrenergic agent),एडङ्गिनलिनधर्मेतेजक
adrenocorticotrophic,"अधिवृक्क-प्रान्तस्था प्रेरक,ऐड्किनोकॉर्टिकोट्रोपिफक"
adrenomimetic,एड्रिनलीन-अनुकारी
adrenotropic (=adrenotrophic),अधिवृक्क-प्रेरक
adsorbent,अधिशोषक
adstringent,प्रवाहिकारोधक
adult,वयस्क
adultery,"जारकर्म, व्यभिचार"
adventitial,"बाह्यस्थ, बाह्य"
adynamia,"अगतिकता, एडाइनेमिआ"
aegophony,अनुनासिक ध्वनि
aerated spray,वायु मिश्रित फुहार
aeration,वातन
aerenchyma,"वायूतक, एयरेन्काइमा"
aerobe,वायुजीवी
aerobic," वायुजीवी , ऑक्सीजनी"
aerocele,वातपुटी
aerodontalgia,वातज दरन्तार्ति
aerophagia (=aerophagy),"वायुभक्षण, वायुनिगरण"
aesthesiometer,"स्पर्शसंज्ञामापी, ऐस्थीसियोमीटर"
aestivation,ग्रीष्म निष्क्रियता
aetiopathology,हेतु-विकृति
affect," अनुभाव , भाववृत्ति"
affection,"रोग, विकृत अवस्था"
afferentia (=afferent),अभिवाही
affinity,बंधुता
after-birth,अपरा-कला
after-glow,उत्तरदीप्ति
after-image,अनुबिम्ब
after-pains,प्रसवोत्तर वेदना
after-potential,अनुविभव
after taste (=off.taste),"अनुस्वाद, अनुरस"
agalactia,अस्तन्यता
aganglionosis,सहज अगण्डिकता
agenesis (=agenesia),"अजनन, विकास"
agenitalism,अजननेंद्रियता
ageusia,अस्वाद
agglomeration,पुंजन
agglutination,समूहन
aggregation," समुच्चय , समुच्चयन"
aggressive,आक्रामी
agitation,विलोडन
aglossia,(सहज) अजिहता
aglycosuric,अग्लुकोजमेही
agrathia (=agnatha),अहनुता
agnosia,"अभिज्ञान-अक्षमता, अनभिज्ञान"
agonadism,अगोनद्रता
agonist,प्रचालक
agoraphobia,"विवृतिभीति, एगोराफोबिया"
agrammatism,अशुद्धवाचिता
agranulocyte,"अकणीश्वेतकोशिका, अकणीश्वेताणु"
agranulocytosis,"कणीश्‍्वेतकोशिकाहीनता, कणीश्वेताणुहीनता"
agraphia,लेखन-अक्षमता
ague,"ज्वर, शीतज्वर"
AIDS,एड्स (उपार्जित प्रतिरक्षाहीनता संलक्षण)
akinesia (=akinesis),अगति
ala,पक्षक
albinism,"रंजकहीनता, धवलता"
albino,धवल
albuginea,श्वेत
albuminuria,ऐल्बुमिनमेह
albumosura,ऐल्बुमोसमेह
alcoholism,मदात्यय
alcoholometer (=alcometer),ऐल्कोहॉलमापी
aldosteronoma,"ऐल्डोस्टेरोनार्बुद, ऐल्डोस्टेरोनोमा"
ale,"यवसुरा, एल"
alecithal,लेसिथिन रहित
aleukaemia (=aleukaemia leukaemia),अश्वेतकोशिकारक्तता
aleukia," अश्वेतकोशिकारक्तता , बिम्बाणुहीनता"
alexia (word blindness),लेख अन्धता शब्द
algae,"शैवाल, काई"
algesia (hyperaesthesia),आर्तिसंवेदिता
algesimeter,आर्तिमापी
algia,"आर्ति, वेदना"
algid,"ऐल्जिड, शीत"
algoscopy (=cryocopy),हिमांकमापन
alignment,संरेखण
aliment,खाद्य
alimentation,पोषण
alkalaemi,क्षाररक्तता
alkalinuria,क्षारमेह
alkaliser,क्षारकर
alkalosis,"क्षारमयता, क्षाररक्तता"
allantoic,"अपरापोषिकी, एलेन्टॉँइनी"
allantois,"ऐलेन्टॉइस, अपरापोषिका"
allele (=allelomorph),"एलील, युग्मविकल्पी"
allelism,"युग्मविकल्पता, एलीलता"
allelomorph,युग्मविकल्पी
allelotype,एलील प्ररूप
allergen,"ऐलर्जन, प्रत्यूर्जतानजक"
allergy,"प्रत्यूर्जता, ऐलर्जी"
allocortex,इतरप्रान्तस्था
allogamy,परनिषेचन
allogenic,"इतरजीनी, अन्यजीनी"
allomorph,उप-रूप
allomorphosis,विशिष्ट विकास
allopolyploid,बहुगुणसूत्री
allopsychosis,परमनोविक्षिप्ति
allorhythmia,नियमित अतालता
allosome (=heterochromosome),"एलोसोम, लिंग गुणसूत्र"
allotropic form,अपर रूप
allotropy,अपररूपता
alopecia,"खालित्य, खल्वाटता"
alternis horis (alt. hor.),हर दूसरे घंटे
altitudinal,तुंगीय
alveolar," दन्त-उलूखल , कोष्ठिक , वायुकोश"
allveolon,"दंतउलूखल बिंदु, ऐल्योलॉन"
alveolus," अन्तउलूखल , कोष्ठक , वायुकोश, ऐल्वियोलस , कूपिका"
"alymphocytogenesis, primary",प्राथमिक-अलसीकाकोशिकाजनन
alymphocytosis,"लसकोशिकाहीनता, अलसकोशिकारक्तता"
amalgam,पारदमिश्र
amalgamation,समामेलन
amanous,हस्तहीनता
amastia (=amazia),अस्तनता
amaurosis,अंधता
amaurotic,अंधतामय
ambidextrous,"उभयहस्त, सव्यसाचील"
ambivalence,अभयवृत्तिता
amblyopia,मंददृष्टिता
amentia,"अमानसता, अमनस्कता"
ametropia,अपसामान्य-दृष्टिता
amino-acidemia,ऐमिनो-अम्लरक्तता
amifosis,असूत्री विभाजन
amnesia,स्मृतिलोप
amniocentesis,उल्ववेधन
aminochorion,"ऐम्नियोकोरियॉन, उल्वजरायु"
amniogram,"उल्चवित्र, उल्व एक्स-रे-चित्र"
amnion,"उल्व, ऐम्नियॉन"
amnionitis,उल्व-शोथ
amniotomy,उल्वछेदन
amoebiasis,अमीबता
amoebicide,अमीबानाशी
amoke (=amuck),उम्मत्त
amorphous,"अनाकार, अक्रिस्टलीय, रवाहीन"
amortization,परिशोधन
amperometer,"धारामापी, ऐम्पीरोमीटर"
amphiarthrosis,अल्पचलसन्धि
amphibiosis,उभयजीविता
amphicone,"उभयशंकु, ऐम्फिकोन"
amphidiarthrosis,"एम्फीडाइआरथ्रोसिस, अल्प-मुक्तचलसन्धि"
amphiphilic (~amphiphile),उभयरागी
amphodiplopia,उभय-दिवदृष्टिता
ampholyte,उभय-विश्लेष्य
amphoric,प्रणादी
amphoteric,उभयधघर्मी
amplexicaul,स्तंभालिंगी
amplication,"विवर्धन, प्रवर्धन"
amplitu ude,आयाम
ampulla,"तुम्बिका, कलशिका"
amputation,"विच्छेदन, अंगोच्छेदन"
amyelia,"(सहज) अमेरुरज्जता, सुषुम्नाहीनता"
amyelotrophy,मेरुरज्जुशोष
amylaceous,मण्डीय
amylolytic,"मंडलायी, ऐमिलमलायी"
amyoplasia,पेशी-अविकसन
amyotonia,पेशी-अतानता
amyotrophy,पेशी शोष
ana (aa),प्रत्येक का
anabolism,उपचय
anacidity,अनम्लत्ता
anadicrotism,विषमद्विस्पंदिता
anaemia,अरक्तता
hyperchromic a.,"अतिअयस अरक्तता, अतिवर्णी अरक्तता"
hypochormic microcytic a.,"अल्पवर्णी, लघुकोशिकी अरक्तता,"
iron deficiency a.,अयसहीन लघुकोशिकी अरक्तता
nutritional a.,लौह अल्पताजन्य अरक्तता
pernicious a.,अपोषणज अरक्तता
sickle cell a. (drepanocytosis),प्रणाशी अरक्तता दात्रलोहितकोशिका अरक्तता
analgiphoric,वेदनाहारीमूलक
analogue,"समधर्मी, समवृत्ति"
analpha-lipoproteinaemia,ऐल्फा-लाइपोप्रोटीनहीनरक्तता
analyser,विश्लेषक
analyst,विश्लेषक
analyzer,विश्लेषक प्रिज्म
anamnesis,पूर्ववृत्त
anaphase,"पश्चावस्था, ऐनाफेज"
anaphrodisiac,अवाजीकर
anaphylactic,तीव्रग्राही
anaplasia,अविकसन
anaplasmosis,"ऐनाप्लाज्मता, एनाप्लाज्मोसिस"
anarthria,अस्पष्ट उच्चारण
anasarca,सर्वांग शोफ
anastomosis,"शाखामिलन, सम्मिलन"
anatomicoclinical,शारीर-नैदानिक
anatomy," शारीर, शरीर रचना विज्ञान , शरीर रचना"
anatropous,प्रतीप
androblastoma testis,"वृषण एण्ड्रोब्लास्टोमा, स्त्रीकारी-वृषणार्बुद"
androgyny,"ऐन्ड्रोजिनी, द्विलिंगता"
android (man like),पुरूषाभ
andromorphous,पुरूष रूपी
androphilic,"मानवरागी, ऐण्ड्रोफिली"
anelectrotonus,धनविद्युत्‌-तान
anemometer,"वायुवेगमापी, ऐनीमोमीटर"
anemophilous,वायुपरागित
anencephaly,अमस्तिष्कता
anergasia,अक्रिया प्रवृत्ति
anergy,"प्रतिक्रियाहीनता, अनर्जी, अनूर्जता"
anesthetizer,संवेदनाहारी
anestrus,स्त्रीमदकालहीन
aneuploidy,कुगुणितता
angiectasia,रक्तवाहिका विस्फार
angiitis,वाहिकाशोथ
angina pectoris," ऐन्जाइना , हृद्शूल , मुखपाक , गलार्ति हद्शूल, ऐन्जाइना पैक्टोरिस"
anginoid,हद्शूलाभ
angioblast,वाहिकाप्रसू
angioblastoma,"वाहिकाप्रसू अर्बुद, ऐन्जिओब्लास्टोमा"
angiocardiography,"ऐन्जियोकार्डियोग्राफी, वाहिकाहद्ग्राफी"
angio-endothelioma,वाहिका-अन्तः कलार्बुद
angiofibroma,"वाहिकातंतुअर्बुद, एन्जिओफाइब्रोमा"
angiogram,"वाहिकाचित्र, ऐन्जिओग्राम"
angiokermatoma corporis diffusion,विसरित शारीरिक वाहिका-केरेटोमो
angiolipoma,वाहिकावसार्बुद
angiology,वाहिकाप्रकरण
angioma,"वाहिकार्बुद, ऐन्जियोमा"
angioneurosis,"वाहिकातन्त्रिकता, ऐन्जिओन्यूरोसिस"
angio-oedema,वाहिका-शोफ
angiopneumography,फुफफुस-वाहिकाचित्रण
angiosarcoma,"वाहिकासार्कोमा, ऐन्जिओसार्कोमा"
angioses (diabetic),(मधुमेहजनित) वाहिकाविकृति
angiospasm,वाहिका-आकार्ष
angiosus,"ऐन्जियोसस, वाहिका विकृति"
angor animi," मरणआतंक , आसन्नमृत्यु आंतक"
anhidrosis (=anidrosis),अस्वेदलता
anhydraemia,अजल-रक्तता
anhydrous,अजल
anilism,ऐनिलीन अत्यय
animalcule,जन्तुक
annealing,"अनीलीकरण, तापानुशीतन, अनीलन"
anionics (=anionic active agents),"ऋणायन सक्रिय कारकवर्ग,ऐनायनिक्स"
aniridia,अपरितारकता
aniseikonia,असमप्रतिबिम्बता
anisochromasia,असमवर्णता
anisochromia,विषमवर्णता
anisocoria,असमतारा
anisocyte,असमकोशिका
anisometropia,"एनआइसोमैट्रोपिआ, असमदृष्टिता"
anisophoria,"एनआइसोफोरिया, विषम-संवर्तनता"
anisopia,असमदृष्टिता
anisorrhythmia,असमतालता
anisotonic,असमतानी
anisotropy,"विषमदैशिकता, असमदिक्ता"
ankle,गुल्फ
ankyloblepharon,बद्धवर्त्म
ankylodactylia,बद्ध अंगुलिता
ankyloglossia,बद्ध जिह्वा
ankylosing,संधिसायुज्यक
ankylosis,संधिग्रह
ankylostomiasis,अंकुशकृमि रोग
annulation,वलयन
annulment,अभिशून्यन
annulus,वलय
anodontia,अदन्तता
anodyne,वेदनाहर
anomalopia,"विषमवर्णदृष्टिता, एनोमेलोपिआ"
anomaloscope,"विषमवर्जदर्शी, एनोमेलोस्कोप"
anomaly,असंगति
anonychia," अनखता , नखाभाव"
anophthalmia,अनेत्रता
"anorchidism (anorchia, anorchism)",(सहज) अवृषणता
anorectal,"एनोरेक्टल, गुद-मलाशय"
anorexia,अरुचि अरोचक
anosmia,अघ्राणता
anosognesia,स्वरोगज्ञानाभाव
anosteoplasia,"दुरस्थिविकसन, ऐनोस्टियोप्लेसिया"
anovulatory (=anovular),डिम्बाक्षरणी
anoxaemia,अनॉक्सीरक्तता
ansiform,पाशाकार
antacid,प्रत्यम्ल
antagonism,विरोध
antalgic,"प्रत्यार्ति, अर्तिहर"
antalkaline,प्रतिक्षार
antanalgesia,"ऐन्टेनल्जीसिया, प्रतिवेदनाहरण, वेदनादेहलीह्वास"
antarthrtic,"संधिशोथहर, प्रतिसंधिशोथ"
antasthmatic,"दमाहर, प्रतिश्वास"
ante cibum (=ante cibos = a.c.),भोजन पूर्व (= a.c.)
anteflexion,अग्रकुन्चन
antejentaculum,"प्रातराशपूर्व, नाश्ते से पहले"
ante meridiem (a.m.),पूर्वाहृ
antimortem,मरण पूर्व
antenatal,जन्मपूर्व
antenna,"(स्पर्श) शृंगिका, ऐन्टेना"
antepartum,प्रसवपूर्व
ante prandium,"रात्रि भोजन पूर्व, ब्यालू पूर्व"
anterior,अग्र
antero-inferior,अग्र-निम्न
anterointernal,अग्रान्तर
anterolateral,अग्र-पार्श्व
anteromedian,अग्र-मध्यस्थ
anteroposterior,अग्र-पश्च
anterosuperior,अग्रऊर्ध्व
anteroventral,अग्राभ्युदर
anteversion,अग्रनति
anthelmintics,"कृमिघृन, कृमिनाशक"
anthropology,नृविज्ञान
anthropometer,"मानव देह मापी, नृमापी"
anthropomorphism,नृरूपता
anti-,"प्रति, रोधी"
antiadhesive,प्रत्यासंजी
antianabolic,प्रतिचयी
antianemics,"प्रतअरक्तताकर, अरक्तारोधी"
antianaphylaxis,प्रतितीव्रगहिता
antiarrhythmic,"अतालतारोधी, प्रतिअताली"
antibiosis,प्रतिजीविता
antibody,"प्रतिपिण्ड, ऐन्टिबॉडी"
antibonding,"प्रतिबन्धक, विपरीत बंधी"
anticatalyst,प्रतिउत्प्रेरक
anticholinergic,कोलीनधर्मरोधी
anticlinal,अपनत
"antidepressant, (biochemical)",(जीवरासायनिक) प्रत्यवसादक
antidiabetic,मधुमेहरोधी
antidinic,भ्रमिरोधी
antidote,प्रतिकारक
antidromic,प्रतिदिक
antigen,"प्रतिजन, एंटिजन"
antiglomerular,प्रतिकेशिकास्तवक
antigoitrigenic,प्रतिगलगंडजनक
antihidrotic (=antiperspirant),प्रतिस्वेदी
antihypnotic,निद्राहर
antilithic,अश्मरीरोधी
antiluesis,"प्रतिसिफिलिस, फिरंगरोधी"
antimetabolism,प्रतिचयापचय
antimicrobial,"प्रतिरोगाणु, प्रतिसूक्ष्मजीवी"
antineoplastic,अर्बुदरोधी
antineuritic,तांत्रिकाशोथरोधी
antiperistalsis,प्रतिपुरःसरण
antiphlogistic,शोथरोधी
antiplatelet,प्रतिबिम्बाणु
antipodal,प्रतिमुख
antirabic,"प्रत्यलक, ऐन्टिरेबिक"
antirelaxant,शिथिलनरोधी
antiseptic,"प्रतिरोधी, एण्टिसेप्टिक"
antiserum,"प्रतिसीरम, ऐन्टिसीरम"
antisterility,प्रतिबन्ध्यता
antitoxic,"प्रतिटॉक्सिक, प्रतिजीवविष"
antrostomy,"कोटर छिद्रीकरण, ऐंँट्रोस्टोमी"
antrum,"कोटर, गहृर"
anuclear,अकेन्द्रकीय
anulus,वलय
anuria,अमूत्रता
anus,गुद
anxietas presenilis,जरापूर्व चिन्ता
anxiety neurosis,चिन्ता विक्षिप्ति
aorta,महाधमनी
apathy,भावहीनता
aperient,"मृदुविरेचक, मृदुविरेचन"
aperiodic," अनियतकालिक , अनवधिक, अनावर्ती"
aperistalsis,अपुरःसरण
aperture,द्वार
apex,"शिखर, शिखाग्र"
apexcardiogram,हृद्शिखरलेख
aphagia,"निगरण अक्षमता, निगरणघात"
aphakia,लेंसहींनता
aphalangia,अनंगुलिता
aphasia (=dysphasia),वाचाघात
aphonia,"स्वरहानि, अस्वरता"
aphrodisiac,बाजीकर
aplasia,अविकसन
apneusis,प्रश्‍वास दीर्घता
apnoea,अशवसन
apocrine," शिखर उत्सर्गी , अंश स्रावी"
apodia,अपादता
apomixis,असंग जनन
aponeurosis,कण्डराकला
apophysis,"विवर्धख, एपोफिसिस"
apoplexy," रक्ताघात , अपसंन्यास"
‘appendage,उपांग
appendicostomy,उण्डुकपुच्छ छिद्रीकरण
appendix,उण्डुकपुच्छ
appetite,"क्षुधा, बुभुक्षा"
appliance," साधन , साधित्र"
application,अनुप्रयोग
applicator,साधित्र
apprehension,आशंका
appressed,संकुलित
approach,"अभिगम, उपगमन"
approximation,सन्निकटन
apraxia,"एप्रैक्सिया, चेष्टा अक्षमता"
aprosexia,एकाग्रहीनता
aquaeduct,कुल्या
aqueous humour,नेत्रोद
arachnicide,ऐरक्निडानाशी
arachnodactyly (=arachnodactylia),"दीर्घागुलिता, लूतांगुलिता"
arachnoid,जालतानिका
arch,चाप
archenteron,आद्य आन्त्र
archicerebellum,आद्य अनुमस्तिष्क
archipallium,"आदृय प्रमस्तिष्क प्रावारक, आद्य प्रावार, आर्कीपेलियम"
archiplasm,आद्य जीवद्रव्य
archistriatum,रेखित पिण्ड
area," क्षेत्र , क्षेत्रफल"
areflexia,अप्रतिवर्तता
areola,"परिवेश, मंडल"
areometer (=hydrometer),द्रवघनतवमापी
argentaffinn (=argyrophil),रजतरागी
argyrosis,रजत कालिमा
aristogenesis," समविकास , समोद्भवी विकास"
arm,"भुजा, बाहु"
armsling,"बाहुस्लिंग, बाहुगोफन"
aroma,"बास, सुबास"
aromorphosis,स्थूल विकास
arousal," उत्प्रेरण , उत्प्रेरक"
arrest," रोध, संरोध , गिरफ्तारी , ग्रह"
arrhenoblastoma,"पुंसकारी अर्बुद, ऐरेनोब्लास्टोमा"
arrhinencephaly (=arrhinencephalia),अघ्राणमस्तिष्कता
arrhythmia,"अतालता, वितालता"
artefact (=artifact),कृतक
arteriogram,धमनीलेख
arteriography,धमनीचित्रण
arteriole,धमनिका
arteriosinus,धमनी-शिरानाल
artery,धमनी
arthralgia,सन्धि शुल
arthrectomy,सन्धि उच्छेदन
arthritis,सन्धिशोथ
arthrochalasis,"सन्धिशिथिलता, आर्थथोकेलेसिस"
arthrodesis,सन्धि स्थिरीकरण
arthrogram,"सन्धि चित्र, आर्थ्वोग्राम"
arthrogryposis,सन्धिवक्रता
arthrology,संधि प्रकरण
arthropathy,सन्धिविकृति
arthroplasty,संधि संधान
arthrotomy,संधिच्छेदन
articular,सन्धायक
articularis,सन्धिका
articulation," सन्धि, जोड़ , उच्चारण"
articulatory," संधायी , उच्चारण सम्बन्धी"
aryepiglottic,दर्वी कठच्छद
ascites,जलोदर
asepsis,अपूति
asexual,"अलैंगिक, अलिंगी"
asperities,रूक्ष उद्र्वर्ध
aspermatogenesis,अशुक्राणुजनन
aspermia,अशुक्रता
asphyxia,"श्वासारोध, अनॉक्सीश्वसन"
aspiration,चूषण
asplenia,प्लीहाभाव
assaultiveness,आक्रमणशीलता
assay,आमापन
assembly,समुच्चय
assimilation,स्वांगीकरण
astasia,"स्थिति-असमर्थता, ऐसदटेसिया"
aster,तारक
astereognosis (tactile agnosia),"विन्यास ज्ञान हीनता, ऐस्टीरियोग्नोसिस"
asthenia," दुर्बलता , अवसन्नता"
asthenobiosis,दुर्बल जीवन दशा
asthenopia (ophthalmocopia),नेत्रावसाद
asthenozoospermia,"ऐस्थीनोजूस्पर्मिआ, दुर्बल-शुक्राणुता"
asthma,"दमा, ऐस्थमा, श्वास"
astigmatism (eye),"अबिंदुकता, ऐस्टिग्मेटिज्म, दृष्टि वैषम्य"
astragalectomy (=talectomy),धुटिकास्थि-उच्छेदन (=टेलस-उच्छेदन)
astragalus (talus),"एस्ट्रेगेलस, घुटिकास्थि"
astringent," स्तम्भक (औषध) , कषाय- (स्वाद)"
astroblast,"ऐस्ट्रोब्लास्ट, तारकाणुप्रसू"
astrocyte,तारिका कोशिका
astroglia (=astrocyte),"तारिकातन्त्रिका बन्‌ध, ऐस्ट्रॉग्लिया"
asymbolia (for pain),"(वेदना) मानसिक अप्रतिक्रिया, (वेदना) ऐसिम्बोलिया"
asymptomatic,अलक्षणी
asymptote,अनंतस्पर्शी
asynchronism,अतुल्यकालत्व
asymmetry,असममिति
"asynchronization, (endocrinal)",(अन्तःस्रावी) अतुल्यकालन
asynclitism,"(गर्भशीर्ष) तिर्यक्ता, (गर्भशीर्ष)   असमानान्तरता"
asynergy (=asynergia),असहक्रिया
asystole,अप्रकुंचन (हृद्‌)
ataractic,"प्रशामक, ऐटेरेक्टिक"
atavism,पूर्वजता
ataxia (ataxy),"गतिविभ्रम, ऐटेक्सिया"
atelectasis," फुप्फुस अनुन्मीलन , फुप्फुसपात"
ateleiosis," पीयूषी वामनता , पीयूषी शिशुता"
atelencephalia,अपूर्ण मस्तिष्कता
ateliotism,सुडौल वामनता
atelocardia,अपूर्णहृदयता
atelomyelia,अपूर्ण सुषुम्नता
athelia,अचूचुकता
athetosis,"वलन, ऐथिटोसिस"
athyroidism,अनवदटुता
atlas,"एटलस, शीर्षधर"
atomisator,कणित्र
atomizer,"कणित्र, एटोमाइजर"
atony (=atonia),अतानता
atresia,"अछिद्रता, अविवरता"
atriopexy,अलिन्दस्थिरीकरण
atriotomy,"एट्रियोटोमी, अलिन्दछेदन"
