Word ,Meaning 
balanced fertilizer,संतुलित उर्वरक
bacteiria,जीवाणु
bad land,अकृष्य भूमि
biogas,बायोगैस
binary name,द्वितीय नामपद
biologic (biological),जैविक (जैविकीय)
balance of nature,प्रकृतिस्थ संतुलन
barren land,ऊसर भूमि
bioclimatology,जैवजलवायुविज्ञान
biocontrol,जैवनियंत्रण
biodegradable,जैव-निम्नीकरणीय
biodiversity,जैवविविधता
biodegradation,जैवनिम्नीकरण
biofilter,जैवनिस्यंदक
biological control,जैविक नियंत्रण
biofuel,जैवईंधन
biological efficiency,जैविक दक्षता
biological contaminant,जैविक संदूषक
biological equilibrium,जैविक संतुलन
biological evolution,जैविक विकास
biological factor,जैविक कारक
bed load,संस्तर भार
bench scale test,बेंच स्केल परीक्षण
biological half-life,जैविक अर्ध-आयु
biological immobilization,जैविक निश्चलीकरण
biological indicator,जैविक सूचक
biological monitoring,जैविक मॉनीटरन
biological oxidation,जैविक ऑक्सीकरण
biological oxygen demand (BOD),जैविक आक्सीजन (मांग) आवश्यकता
biological pesticide,जैविक पीड़कनाशी
biological species,जैविक जाति
biological sewage purification,जैविक वाहितमल शोधन
biological slime,जैविक अवपंक
biological sludge,जैविक आपंक
biological spectrum,जैविक स्पेक्ट्रम
biological treatment,जैविक उपचार
biology                        ,"जैविकी, जीवविज्ञान"
biological weathering,जैविक अपक्षयन
bioluminesence,जीवसंदीप्ति
biolysis,जैवअपघटन
biomagnification,जैवआवर्धन
biomass,"जीवभार, जैवमात्रा"
biome,"जीवोम, बायोम"
biometry,जैवमिति
biomonitoring,जैव-मॉनीटरन
bionomics,जैव-पारिस्थितिकी
biorealm,जैव-परिमंडल
bioremediation,जैवउपचारीकरण
bioresource,जैवसंसाधन
biosociology,जैवसामाजिकी
biosorption,जैवशोषण
biosphere,जैवमंडल
biosphere reserve,जैवमंडल निचय
biospheric,जैवमंडलीय
biostabilizer,जैव स्थायीकारित्र
biosynthesis,जैवसंश्लेषण
biota,जीवजात
biotechnology,जैवप्रौद्योगिकी
biotic adaptation,जीवीय अनुकूलन
biotic barrier,जीवीय रोधिका
biotic climax,चरम
biotic component,जीवीय घटक
biotic factor,जीवीय कारक
biotic potential,जीवीय क्षमता
biotic succession,जीवीय अनुक्रमण
biotype,जैवप्ररूप
biopolar distribution,द्विध्रुवी वितरण
birth rate,जन्म दर
Bischoff process,बिशॉफ प्रक्रम
bisexual,द्विलिंगी
black frost,कृष्ण तुषार
black lung disease,कृष्ण फुप्फुस रोग
black smoke,कृष्ण धूम
blank,1. रिक्त क्षेत्र 2. नया टुकड़ा
bleaching,विरंजन
bleeding,स्रवण
blight,1. अंगमारी 2. शीर्णन
blister,फफोला
blue baby syndrome (methemoglobinemia),नीलवर्ण शिशु संलक्षण
BOD,जैविक आक्सीजन मांग (आवश्यकता)
bog,दलदल
boiling point,क्वथनांक
biotic balance,जीवीय संतुलन
Bordeaux mixture,बोर्दो मिश्रण
boreal forest,बोरियल वन
botany,वनस्पतिविज्ञान
bottom ash,अधस्तल भस्म
botulism,बॉटुलिनता
boulder,गोलाश्म
bound water,बद्ध जल
brackish water,खारा जल
break point,विच्छेद बिंदु
breeder reactor,प्रजनन रिऐक्टर
breeze,1. समीर 2. क्षोद
bronchial disease,श्वसनी रोग
bronchitis,श्वसनीशोथ
Brownian motion,ब्राउनी गति
brush pasture,गुल्म चरागाह
bryology,ब्रायोविज्ञान
budding,मुकुलन
buffer,"उभयप्रतिरोधी, बफर"
buffer zone,बफर मंडल
Burgundy mixture,बर्गन्डी मिश्रण
burning late,विलंबित दहन
by pass channel,उपपथ चैनल
by-product,उपोत्पाद
calcareous soil,कैल्सियमी मृदा
calciferous,कैल्सियममय
calcification,कैल्सीयन
calcifuge,कैल्सियम-भीरु
calciphile,"कैल्सियम-रागी, चूनारागी"
calciphobe,कैल्सियम-विरागी
calcium bicarbonate,कैल्शियम बाइकार्बोनेट
calibration,अंशांकन
callus,कैलस
calorie,कैलोरी
calorific value,कैलोरी मान
caloritropism,तापानुवर्तन
cambium,"एधा, कैम्बियम"
cannery waste,डिब्बाबंदी (का) अपशिष्ट
cannibalistic,स्वजातिभक्षी
canopy,वितान
canopy cover,वितान आवरण
capillary action,केशिका क्रिया
capillary water,केशिका जल
capsule,संपुट
carbon absorber,कार्बन अवशोषित्र
carbon adsorption,कार्बन अधिशोषण
carbon cycle,कार्बन चक्र
carbon dating,कार्बन काल-निर्धारण
carbon filter,"कार्बन निस्यंदक, कार्बन फिल्टर"
carbonaceous BOD,"कार्बनमय बी.ओ.डी, कार्बनमय जैविक आक्सीजन आवश्यकता"
carcinogen,कैंसरजन
carcinogenic,कैंसरजनी
carnivorous,मांसाहारी
carnivorophyte,मांसाहारी पादप
carpostrote,फलप्रवासी
carriage water,वाही जल
carrier,वाहक
carrying capacity,वहन क्षमता
cartography,मानचित्रण
catalyst,उत्प्रेरक
catabolism,अपचय
catalysis,उत्प्रेरण
catalytic converter,उत्प्रेकी परिवर्तक
catalytic reaction,उत्प्रेकी अभिक्रिया
catastrophe,प्रलय
catch crop,अंतवर्ती फसल
catchment,जलग्रहण
catchment area,जलग्रहण क्षेत्र
catchment basin,जलग्रहण बेसिन
cation exchange capacity,धनायन विनिमय क्षमता
cavity,"कोटर, गुहिका, गुहा"
cell,1. कोशिका 2. कोष्ठिका 3. सेल
cell wall,कोशिका भित्ति
cellulose,सेलूलोस
cement pollution,सीमेन्ट प्रदूषण
cement soil,सीमेन्ट मृदा
cenospecies,पारिस्थितिक जाति
cenosphere,"सीनोमंडल, सीनोस्फेयर"
cenozoic,नूतनजीव
center of origin,उत्पत्ति केंद्र
center of diversity,विविधता केंद्र
centrifugal scrubber,अपकेंद्री मार्जक
centrifuge,अपकेंद्रित
chain reaction             ,  श्रृंखला अभिक्रिया
channel                ,1. चैनल 2. वाहिका 3. जलमार्ग
channelization,चैनलन
characteristic plants,अभिलाक्षणिक वनस्पति
charcoal,चारकोल
check dam,"रोधी बांध, चेक डैम"
chelate,कोलेट
chelation,"कोलेटन, कीलेटीकरण"
chelaton,कोलेटॉन
chemical,"रसायन, रासायनिक"
chemical energy,रासायनिक ऊर्जा
chemical fertilizer,रासायनिक उर्वरक
chemical manure,रासायनिक खाद
chemical mutagen,रासायनिक उत्परिवर्तजन
chemical oxygen demand (COD),रासायनिक ऑक्सीजन आवश्यकता (मांग)
chemical waste,रासायनिक अपशिष्ट
chemosphere,रसोमंडल
chemotherapy,रसोचिकित्सा
chemotropism,रसो-अनुवर्तन
Chernobyl accident,चर्नोबिल दुर्घटना
chernozemic soil,चेर्नोजेमीय मृदा
chersick,चर्सिक (व्यर्थ भूमि)
chianophile,"हिम सह, हिमरागी"
chianophobe,हिमविरागी
chilling,द्रुतशीतन
chilling injury,द्रुतशीतन क्षति
chimney (stack),चिमनी (स्टैक)
chimney effect,चिमनी प्रभाव
chipko movement,चिपको आंदोलन
chlorinaiton,क्लोरीनन
chlorofluorocarbon,क्लोरोफ्लोरो कार्बन
chlorophyll,पर्णहरित
chlorosis,1. हरिमाहीनता 2. हरित रोग
chresard,प्राप्य मृदाजल
chromatography,वर्णलेखिकी
chronic,"चिरकाली, दीर्घकालिक"
cladode,"पर्णाभ पर्व, क्लैडोड"
clarifier,निर्मलक
class,"1. वर्ग, क्लास 2. संवर्ग"
classification,वर्गीकरण
clay,मृत्तिका
clay loam,मृत्तिका दुमट
clearing,1. निर्वृक्षीकरण 2. निर्मलन
cleavage,विदलन
cleistogamy,अनुन्मील्य परागण
climagraph,जलवायु-आरेख
climate,जलवायु
climate change,जलवायु परिवर्तन
climatic change,जलवायवी परिवर्तन
climatic factor,जलवायवी कारक
climatic region,जलवायवी प्रदेश
climatological station,जलवायु केंद्र
climatic variability,"जलवायवी परिवर्तता, जलवायवी    परिवर्तनशीलता"
climatology,जलवायु विज्ञान
climax,चरम अवस्था
climax community,चरम समुदाय
climber,आरोही (लता)
climber cutting,आरोही कर्तन
cline,"प्रवण, प्रवणता"
clisere,जलवायु-क्रमक
clone,क्लोन
closed canopy forest,बंद वितान वन
closed community,संवृत समुदाय
closed ecological system,संवृत पारिस्थितिकीय प्रणाली
clotting,स्कंदन
cloud burst,वृष्टि प्रस्फोट
co-operative,सहकारी
coadaptation,सहानुकूलन
coagulation,स्कंदन
coal tar,कोलतार
coarse sand,"मोटी रेत, स्थूल बालू"
coast,तट
coast zone,तटीय क्षेत्र
coeffcient of discharge,विसर्जन गुणांक
coefficient of association,साहचर्य गुणांक
coefficient of variation,विचरण गुणांक
coenobiology,संजैविकी
coenosis,सीनोसिस
coevolution,सहविकास
coexistence,सहअस्तित्व
cofactor,सहकारक
cold blooded,"अनियततापी, असमतापी"
coliform,कोलिफॉर्म
coliform bacteria,कोलिफॉर्म जीवाणु
coliform faecal,कोलिफॉर्म विष्ठा
collector,संग्राहक
collector filter,संग्राही निस्यंदक
colloid,कोलॉइड
colony,1. निवह 2. कॉलोनी
colouration,रंजन
combined sewage,संयुक्त वाहितमल
combined sewer,संयुक्त सीवर
combustion,दहन
combustion chamber,दहन कक्ष
combustion gas,दहन गैस
commensal,सहभोजी
commensalism,सहभोजिता
common land,सार्व भूमि
community,समुदाय
community ecology,सामुदायिक पारिस्थितिकी
community stability,समुदाय स्थिरता
community type,समुदाय प्रकार
compensation,"क्षतिपूर्ति, प्रतिकर"
compensation point,संतुलन-प्रकाश तीव्रता
competition,"प्रतियोगिता, स्पर्धा"
competitive plant,स्पर्धी पादप
competitive species,स्पर्धी जाति
complementary resource,पूरक संसाधन
composition,"संघटन, संयोजन"
compost,कम्पोस्ट
composting,कम्पोस्टीकरण
compound,1. यौगिक 2. सम्मिश्र
compression,संपीडन
condensation,संघनन
conduction,चालन
conductivity,चालकता
conduit,"वाहिका, नलिका"
conifers,"शंकुवृक्ष, कोनिफर"
conjugation,संयुग्मन
conservation,संरक्षण
conservation storage,संरक्षित भंडारण
conservative properties of air,वायु संरक्षी गुणधर्म
conservatory,संरक्षणशाला
consistency,संगति
consortism,सहजीवन
constancy,स्थिरता
constant,"1. सतत, अविरत, अचर, अपरिवर्ती 2. स्थिरांक"
constant species,अपरिवर्ती जाति
consumer,उपभोक्ता
consumptive water,उपभोगी जल
contact pesticide,संस्पर्श पीड़कनाशी
contaminant,संदूषक
contamination,संदूषण
continent,महाद्वीप
continental climate,महाद्वीपीय जलवायु
continental drift,महाद्वीपीय विस्थापन
continuum,सांतत्यक
contour,1. समोच्च-रेखा 2. कन्टूर 3. परिरेखा
contour farming,परिरेखा कृषि
contour terracing,समोच्च-रेखीय वेदिकाकरण
contraceptive,गर्भनिरोधक
controlled burning,नियंत्रित ज्वलन
convection,संवहन
conventional energy,पारंपरिक ऊर्जा
convergent evolution,अभिसारी विकास
coolant,शीतलक
coppice forest,अंकुरी गुल्मवन
coprophagous,शमलभोजी
coral reef,प्रवाल भित्ति
corrosion,संक्षारण
cortex,वल्कुट
cosere,कल्पक्रमक
cost-benefit analysis,लागत-लाभ विश्लेषण
cotyledon,बीजपत्र
cover,"आवरण, आच्छादन"
covert,"अवछद, कवर्ट"
cracking,भंजन
crag and tail,श्रृंगपुच्छ
creek,"संकरी खाड़ी, निवेशिका"
creeper,1. विसर्पी लता 2. सर्पी (प्राणी)
crevice,विदरिका
critical concentration range,क्रांतिक सांद्रण परास
critical mass,क्रांतिक द्रव्यमान
critical point,क्रांतिक बिंदु
crop husbandry,सस्य पालन
crop rotation,सस्य आवर्तन
crop yield,सस्य उत्पाद
cross fertilization,पर-निषेचन
cross pollination,पर-परागण
crude oil,अपरिष्कृत तेल
crust,"पपड़ी, पर्पटी"
cryogenic system,निम्नतापी तंत्र
cryoplankton,हिमप्लवक
cryptogam,क्रिप्टोगैम
cultivar,"कृषिजोपजाति, कृषिज उपजाति"
cultural practice,संवर्धन कार्य
culture,"1. संवर्ध, संवर्धन 2. संस्कृति 3. पालन"
culture medium,संवर्धन माध्यम
cursorial,धावी
cuticle,क्यूटिकल
cyanide,सायनाइड
cycle,"चक्र, आवर्तन"
cyclone,चक्रवात
cytogenetics,कोशिकानुवंशिको
cytology                  ,      कोशिकाविज्ञान
cytoyemph,"कोशिकारस, साइटोलिम्फ"
cytolysis,कोशिकालयन
cytoplasm,कोशिकाद्रव्य
cytotaxonomy,कोशिका-वर्गिकी
damping off,आर्द्र पतन
damsel fly,डेमसल पतंग
day degree,दिन अंशांक
dead storage,व्यर्थ भंडार
death rate,मृत्यु दर
debris,मलवा
decibel (db),डेसिबेल
deciduous forest,पर्णपाती वन
declining growth,ह्रासमान वृद्धि
decomposer,अपघटक
decomposition,अपघटन
decontamination,विसंदूषण
dedusting,विधूलन
deep well disposal,गभीर कूप निपटान
defertilization,1. विनिषेचन 2. अनुर्वरीकरण
deficiency disease,हीनताजन्य रोग
defoliator,पर्णनाशी
degeneration,अपह्रासन
degradation,1. तलावचन 2. निम्नीकरण
degradation of soil,मृत्तिका तलावचन
degree of hardness,कठोरता-क्रमांक
dehiscent,स्फुटक
dehumidifier,निरार्द्रीकारक
dehydration,निर्जलीकरण
deicing salt,विहिमन लवण
delignification,विकाष्ठन
delta,डेल्टा
demersal,तलमज्जी (जीव)
demineralization,विखनिजीयन
demographic process,जनसांख्यिकीय प्रक्रिया
demography,जनसांख्यिकी
denatured,विकृतीकृत
dendrochronology,द्रुमकालानुक्रमण
dendrology,द्रुमविज्ञान
denitrification,विनाइट्रीकरण
denitrifying bacteria,विनाइट्रीकारक जीवाणु
dense,"सघन, घना"
density,1. घनत्व 2. सघनता
denudation,अनाच्छादन
deodorant,गंधहारक
deoxyribonucleic acid (DNA),डिऑक्सीराइबोन्यूक्लिक अम्ल (डी.एन.ए )
depleted soil,अवक्षयित मृदा
deposited matter,निक्षेपित द्रव्य
deposition,निक्षेपण
depression,अवनमन
desalinization,विलवणीकरण
desert,मरुस्थल
desert grassland,मरु घासस्थल
desiccant,जल-शुष्कक
desilting,विगादन
desliming,वि-अवपंकन
desorption,विशोषण
dessicator,जलशोषित्र
detector,संसूचक
detergent,अपमार्जक
deterioration,"ह्रास, निम्नीकरण"
detoxication,निराविषीकरण
detritus,अपरद
detrivorous,अपरदाहारी
developed country,विकसित देश
developing country,विकासशील देश
developmental rate,परिवर्धनीय दर
developmental response,परिवर्धनीय अनुक्रिया
development of vegetation,वनस्पति परिवर्धन
dew point,ओसांक
dewatering,विजलन
dialysis,अपोहन
dichloro diphenyl trichloroethane (DDT),डाइक्लोरो डाइफेनिल ट्राइक्लोरोएथेन (डी.डी.टी.)
dichogamy,विभेदी तापन
dichotomous,द्विभाजी
differential cooling,विभेदी शीतलन
differential heating,विभेदी तापन
differentiation,विभेदन
diffraction,विवर्तन
diffused air,विसरित वायु
diffused run-off,विसरित अपवाह
diffuser,विसारक
diffusion,विसरण
digested sludge,पाचित आपंक
digester,1. पाचक 2. संपाचित्र
dilute sewage,तनु वाहितमल
dilution,तनूकरण
dimorphism,द्विरूपता
dioecious,एकलिंगाश्रयी
diploid,द्विगुणित
disaster management,विपदा प्रबंधन
discharge,विसर्जन
disinfection,विसंक्रमण
disintegrator scrubber,विघटन मार्जक
disjunctive symbiosis,वियोजी सहजीविता
dispersal,1. परिक्षेपण 2. प्रकीर्णन
dispersant,परिक्षेपक
dispersion,1. परिक्षेपण 2. प्रकीर्णन
disphotic zone,मंदप्रकाशी क्षेत्र
displacement activity,विस्थापन सक्रियता
dissemination,1. प्रचार-प्रसार 2. प्रकीर्णन
dissolved oxygen,विलीन ऑक्सीजन
distillation,आसवन
distilled water,आसुत जल
distillery waste,आसवनी अपशिष्ट
distribution,1. वितरण 2. बंटन
disturbance,विक्षोभ
diurnal,"दिनाचर, दैनिक"
divergence,अपसरण
diversification,विविधीकरण; विविधरूपण
diversion,1. विपथन 2. दिक्परिवर्तन
diversity,विविधता
diversity index,विविधता सूचकांक
division,"1. भाग, प्रभाग 2. विभाजन"
Dobson unit,डॉबसन मात्रक
doldrum,डोलड्रम
domestic sewage,घरेलू वाहितमल
domestic waste,घरेलू अपशिष्ट
dominance,प्रमुखता
dominant,"प्रमुख, प्रभावी"
dominant percentage,1. प्रमुख प्रतिशत 2. प्रभावी प्रतिशत
dominant species,प्रमुख जाति
dormancy,प्रसुप्ति
dose,मात्रा
dose response,मात्रा अनुक्रिया
double cross,"द्विप्रसंकर, दूविप्रसंकरण"
double fertilization,द्विनिषेचन
draft (draught),प्रवात
drain,अपवाहिका
drainage,1. अपवाह 2. अपवाह-तंत्र
