English,Hindi,Definition
Actual efficiency of Pump,वास्तविक दक्षता (पंप),"इसकी परिभाषा इस प्रकार है ।
= वास्तविक उत्थान (जल) / पम्प शेफ्ट पर प्रति किलो जल के लिए प्रदत्त ऊर्जा ।"
Actuator,प्रवर्तक,एक पूर्ण स्वतः समर्थ सर्वो-यंत्रावली जो सीमित निर्गत-गति पैदा करती है ।
Adapter,अनुकूलक,एक प्रकार की युक्ति जिस पर भिन्न-भिन्न साइज की वस्तुओं की अदला बदली की जा सकती है । जैसे तर्कु आदि पर ।
Addendum,एडेन्डम,"गरारी में, निर्देश-सिलिंडर या अंतराल-सिलिंडर (कार्यकारी एडेन्डम) से शिखर-सिलिंडर तक को त्रिज्य दूरी ।"
Addendum (screw thread,एडेण्डम (पेंच चूड़ी),"बाहरी पेंच चूड़ी के अंतराल सिलिंडर और वृहूत सिलिंडर के मध्य
त्रिज्य दूरी ।"
Addendum Angle,एडेण्डम कोण,बेवल गियर के शिखर कोण एवं अंतराल कोण के बीच की दूरी
Addendum circle,एडेन्डम वृत,"गियर-दंत की शिखर से गुजरता हुआ वृत । यह ब्लैंक या डिस्क, जिससे 'गरारी काटी जाती है, के ब्यास के बराबर होता है ।"
Adhasion,आसंजन,"दो सम्पर्कित पृष्ठों के मध्य घर्षण-पकड, उदाहरण के तौर पर लोकोमोटिब चालक पहिये तथा पटरी के मध्य, जहां पर यह, पहिये पर भार तथा घर्षण-गुणांक के गुणन के बराबर होता है । घर्षण गुणांक 0.1 से 0.2 जो पटरी पृष्ठ की दशा पर निर्भर करता है ।"
Adiabatic Compression,रुध्दोष्म संपीड़न,संपीड़न का एक प्रक्रम जिसमें ऊष्मा निकाय परिसीमा के आर पार नहीं जाती है ।
Adiabatic expansion,रुध्दोष्म प्रसरण,प्रसरण का एक प्रक्रम जिसमें ऊष्मा निकाय परिसीमा के आर पार नहीं जाती है ।
Adiabatic flow,रुध्दोष्म प्रवाह,"वह तरल-प्रवाह, जिसमें ऊष्मांतरण नहीं होता है ।"
Adjustable pitch propeller,समायोज्य अंतराल नोदक,"इस प्रकार के नोदक के फलकों के अन्तराल को भूतल पर समायोजित किया जाता है, उडान के समय नहीं ।"
Adjusting Rod,समायोजी दण्ड,"एक प्रकार का दण्ड, जिसमें प्यूजी या बैरल आर्बर को संलग्न करने के लिये समायोज्य क्लैम्प लगा होता है तथा उसमें एक सर्पी-भार लगा होता है । इस भार की सहायता से मुख्य स्प्रिंग द्वारा लगाये गये कर्षण को संतुलित किया जाता है । इस प्रकार इसके कर्षण का परीक्षण किया जाता है ।"
Adjusting Screw,समायोजी पेंच,"किसी उपकरण में लगा विशेष पेंच, जिसमें प्राय: अतिसूक्ष्म 11चूड़ियां बनी होती है । इसकी सहायता से उपकरण के अपेक्षित अवयव को दूसरे अवयव के सापेक्ष गति देकर फोकस, तल एवं तनाव को समायोजित करते हैं ।"
Adustment Strips,समायोजन पट्टियां,धातु की बनी पट्टियां जिनका उपयोग सर्पी पृष्टों पर लगे धारक-भारों के परिशुद्ध सम्पर्क को सही सही समायोजित करने के लिये किया जाता है । समायोजी पेचों की सहायता से पट्टियों पर दाब देकर अपेक्षित परिशुद्ध सम्पर्क प्राप्त किया जाता है ।
Admission,प्रवेश,"किसी भी अंतर्दहन या भाप इंजन के कार्यकारी चक्र में बह क्षण, जब अंतर्गम वाल्व सिलिंडर में कार्यकारी तरल को प्रवेश कराता है ।"
Admission Corner,प्रवेश कोना,"सूचक-आरेख पर निर्मित कोना, जो सिजिंडर में कार्यकारी तरल-प्रवेश के अनुरुप होता है ।"
Admission line,प्रवेश रेखा,"सूचक आरेख की पार्श्व, जो इंजन सिलिंडर में प्रवेश कर रही भाप की वास्तविक दशा दर्शाती है ।"
Admission port,प्रवेश व्दारक (पोर्ट),"वह द्वार, जिससे होकर भाप या दहनीय तरल इंजन सिलिंडर में प्रवेश करता है ।"
Advance,अग्रता,"अंतर्दहन इंजन में प्रज्वलन काल को बदलना, ताकि चिंगारी को सिलिंडर में पहले से जल्दी भेजा जा सके"
Advance of Spark,चिंगारी-अग्रता,अन्तर्दहन इंजन के प्रज्वलन तंत्र में संपर्क-विच्छेदक को इस प्रकार समायोजित करते हैं ताकि संपीड़न स्ट्रोक में चिंगारी चार्ज को समय से पहिले प्रज्वलित कर सके। अर्न्तदहन इंजन में चिंगारी को अग्रता प्रदान करने से अग्रिम प्रज्वलन होता है।
Aero-engine,विमान-इंजन,वायुयान नोदन के लिये विशेष रुप से अभिकल्पित इंजन । पिस्टन-इंजन प्ररूप और गैस टर्वाइन प्ररूप इसके अन्तर्गत आते हैं ।
Agitator,विलोडक,"एक यांत्रिक विलोडक, जिसका प्रयोग कंक्रीट स्थिरण, कोयला या बालू को छाटने, गलित धातुओं को मिलाने या काष्ट तंतु को अंतग्रंथित करने, फ्रेम पर तरल कागज की लुगदी को हिलाने आदि, के लिये किया जाता है।"
Air bearing,वायु बेयरिंग,इस प्रकार की बियरिगों में स्नेहक के स्थान पर संपीडित वायु का इस्तेमाल होता है जिसकी वजह से स्थिर एवं चल पृष्ठों के बीच घर्षण नगण्य होता है इनका प्रयोग प्रायः लघु उपयंत्रों जैसे घूर्णाक्ष स्थापी एवं कभी-2 बड़े अपस्करों जैसे वात-सुरंग संतुलन में होता है।
Air brake,वायुब्रेक,"वायु प्रचलित यांत्रिक ब्रेक, जिसका उपयोग रेल पथ-संकर्षण में
किया जाता है ।"
Air chuck,वायु चक,मशीन अवयवों को पकड़ने का वायु प्रचालित चक । जिसमें यांत्रिक सुरक्षा युक्ति लगी होती है जो वायु दाब की विफलता को रोकती है ।
Air Compressor,दायु संपीडित्र,"वायु संपीड़क मशीन, इसमें वायु निम्नदाब पर प्रवेश करती है तथा
संपीडित होने के पश्चात उच्च दाब पर निर्गत होती है इस उच्च दाब पर निर्गत वायु संवातन या शक्ति स्त्रोत के रुप में उपयोग में लाई जाती है । यह मशीन प्रत्यावर्ती, घूर्णी या पंखे के प्ररुप की हो सकती है ।"
Air cooling,वायु शीतन,"ठंडा करने का एक प्रक्रम, जिसमें शीतन वायु द्वारा होता है । अन्तदर्हन इंजन के सिलिंडर को वायु द्वारा ठंडा किया जाता है इसके लिये सिलिंडर पर फिन पंख बनाये जाते हैं ताकि ऊष्मातरण के लिये पृष्ठ-क्षेत्रफल बढ़ जाता है ।"
Air cushion,वायु कुशन,"उच्चाल एकल-क्रिय भाप इंजन केपिस्टन की दूसरी ओर संपीडित
वायु की कुशन । इसके दो उपयोग है- एक सिलिंडर के विमोचन सिरे पर धक्कों को अवशोषित करता है- दूसरे इंजन को निश्चालय स्थिति से गुजरने में सहायता करता है ।"
Air Cushion Vehicle,वायु कुशन वाहन,"एक प्रकार का विमान, जो जल या भूतल के ऊपर वायु कुशन पर चलता है ।"
Air Dashpot,वायु अवमंदक पात्र,"एक उपयन्त्र, जिसमें सिलिंडर के अन्दर ढीला पिस्टन लगा होता है जिसकी वजह से कम संपीडित वायु पिस्टन के चारो ओर से निकलती है । इस प्रकार संकेतक की गति को मंद करता है । इसका उपयोग चल-लोह उपयंत्र उपस्करों में किया जाता है ।"
Air Drill,वायु बरमा,एक संदोली बरमा । इसे संपीडित वायु द्वारा प्रचालित किया जाता है।
Air ejector,वायु मिष्कासक,एक प्रकार का वायु पंप । इसमें उच्च वेग वाली भाप जैट की सहायता से आंशिक निर्वात बना रहता है जिसकी वजह से वायु अन्दर आ जाती है। इस प्रकार यह इस चूषित वायु को वायुमंडलीय दाब पर निकाल देता है।
Air Engine,वायु इंजन,"भाप इंजन, जिसमें वायु कार्यकारी पदार्थ के रुप में प्रयुक्त की जाती है । इसका उपयोग लघु शक्ति में किया जाता है । भारी शक्ति में इसका उपयोग सम्भव नहीं है ।"
Air Hammer,वातिल घन,"द्वि-क्रिय शक्ति घन, जिसका इस्तेमाल पात-फोर्जन में भारी फोर्जित वस्तुओं के अपरिष्कृत उत्पादन के लिये किया जाता है ।"
Air injection,वायु अन्तः क्षेपृण,इस व्यवस्था में संपीडन स्ट्रोक के अन्त में तेल को उच्च दाब वायु के द्वारा इंजन सिलिच्डर में अन्तः क्षेपित करते हैं ।
Airless solid injection,वायुहीन अन्तः क्षेपण,इसमें द्रव तेल को बिना किसी वाह्य उपकरण के अन्तः क्षेपित किया जाता है।
Air lift pump,वायु उत्थापक पम्प,यह एक ऐसा पम्प है जिसमें जल को उठाने के लिये सम्पीड़ित वायु का प्रयोग होता है ।
Air meter,वायु-मापी,गैस प्रवाह की दर मापने का उपकरण ।
Air pockets,वायु गुहिकायें/पाकेट,"नोदकं के अन्दर उत्पन्न बुलबुलों को वायु गुहिकायें कहते हैं। इनके
उत्पन्न होने से भ्रमिल निर्मित हो जाते हैं ।"
Air preheater,वायु पूर्व-तापक,इकॉनोमाइजर/मितोपयोजित्र के बाद भी गैसों में कुछ गर्मी बाकी रह जाती है । इसका उपयोग बार्येलर में प्रयुक्त होने वाली वायु को गर्म करने में होता है ।
Air pressure Reducing Valve,वायु दाब न्यूनक वाल्व,यह वाल्व वायु को उच्च दाब पर अन्तर्गम पर अन्दर लेता है और इसे निर्गम पर निम्न दाब पर प्रदान करता है।
Air pump,वायु पम्प,"(ए) पम्प या अन्य युक्ति, जो वायु को एक स्थान से दूसरे स्थान पर स्थानांतरण करने के लिये प्रयुक्त होती है।
(बी) निर्वात पम्प, जो तन्त्र निम्न दाब! वाली बाजू पर दाब को कम करता है ।"
Air-speed Indicator,वायु-चाल सूचक,"उपयंत्र, जो वायु मे विमान की चाल को दर्शाता है । इसकी पठन
आमतौर पर उपयंत्र-त्रुटि एवं संपीड्यता त्रुटे-संशोधन पर निर्भर करती है।"
Air standard cycle,वायु मानक चक्र,"मानक चक्र, जो विभिन्न अन्तर्दहन इंजनों की आपेक्षिक दक्षताओं का आकलन करने तथा निष्पादनों की तुलना करने के लिए होती है । इस चक्र में कार्यकारी ईधन के रुप में वायु का प्रयोग किया जाता है ।"
Air standard efficiency,वायु मानक दक्षता,उपयुक्त वायु मानक-चक्र पर कार्य कर रहे अंतर्दहन इंजन की ऊष्मीय दक्षता ।
Air starting valve,वायु प्रवर्तक वाल्व,डीजल इंजन में एक छोटा पिस्टन वालव । यह कैम शाफ्ट द्वारा चलता है तथा कार्यकारी सिलिंडर में प्रवर्तक वायु को प्रवेश करने वाले मुख्य वाल्व को प्रचालित करता है ।
Air valve,वायु वाल्व,"(ए) वाल्व, जो वायु-पथ को नियंत्रित करने के लिये होता है ।
(बी) पाइप-लाइन में उच्चतम बिन्दु पर स्थित वाल्व, जो पाइप में फंसी एकत्रित वायु को बाहर निकालता है ।"
Air vessel,वायु पात्र,"पात्र, जिसमें वायु भरी होती है, प्रत्यावर्ती जल-पंप की प्रदान-पार्श्व पर लगा होता है । इसका मुख्य कार्य :--
(ए) स्पंदी निस्सरण को सम करना या।
(बी) लम्बी पाइप-लाइन में प्रवाह को सम करना है ।"
Alarum (clock),अलारम (घन्टा),"एक प्रकार का घंटा, जो पूर्व-निर्धारित समय पर घंटी या घंटा खोल को बजाता है ।"
Alighting gear,अवतरण यंत्रावली,"विमान में प्रयुक्त एक यंत्रावली, जो विमान को जमीन या जल पर टेक प्रदान करती हैं तथा अवतरण के समय संभावित धक्‍कों को अवशोषित कर लेती है, भूतल-हवाई जहाज की सभी अधो-यंत्रावलियाँ इसके अन्तर्गत आती है ।"
Alignment,संरेखण,"एक रेखा में मिलाना । जैसे खराद के केन्द्र, इंजन क्रंक शाफ्ट की
बेयरिग के केन्द्र, और शैफ्ट बेयरिग की अक्षीय अविच्छिन्नता ।"
Allowance,छट,विमाओं में प्र॑दिष्ट अन्तर ताक मिलन के समय दो अवयवों छिद्र और मेलक शाफ्ट-के मध्य अपेक्षित प्रकार की फिट दी जा सके । अवकाश फिट में इसे धनात्मक छूट और बाधा-फिट में इसे ऋणात्मक छूट कहते है ।
Alternate cone,एकान्तर शंकु,"दो समान शंकु, जो समांतर शैफ्टों पर इस प्रकार लगे रहते हैं ताकि उनके आधार एक दूसरे के विपरीत दिशा में रहे । इनका मुख्य कार्य विस्थापक-पट्टे की सहायता से चाल-परिवर्तन करना है।"
Amplifier,प्रवर्धक,"युक्ति, जिसमें निवेश द्रवीय, वातिल या वैद्युत माध्यमों के द्वारा स्थानीय शक्ति-स्त्रोत को नियंत्रित करता है ताकि निवेश से अधिक निर्गम पैदा हो सके ।"
Amplitude,आयाम,आवर्ती रुप से बदलती राशि का शिखर (उच्चतम) मान ।
Amplitude specturm,आयाम स्पैक्ट्रम,"प्रत्येक आवृत्ति पर कंपन के घटकों के आयामों के मान, जो आवृत्ति के क्रम के अनुसार रखे जाते हैं । शून्य आयाम पर इसे रेखा-स्पैक्टम कहते है और कंपन रुक जाती है । और जब कंपन रुक नहीं पाती है तो इसे “सतत स्पैक्ट्रम”'कहते हैं ।"
Anemometer,वायुवेगमापी,"एक प्रकार का उपयंत्र, जो प्रायः यांत्रिक या वैद्युत विधियों द्वारा गेस की प्रवाह दर या वात की दिशा तथा वेग को पंजीबद्ध करता तथा मापता है ।"
Aneroid Barometer,नेरायड बैरोमीटर,"एक प्रकार का उपयंत्र, प्रायः सुवाहय, जो वायुमंडलीय दाबान्तर को रिकार्ड करता तथा तुंगता को निर्धारित करता है ।"
Angle bearing,कोण बेयरिग,"एक प्रकार की शैफ्ट बेयरिंग, जिसमें टोपी तथा आधार के मध्य जोड़ को किसी कोण पर स्थापित किया जाता है न कि भार-दिशा के अभिलम्ब पर ।"
Angle Bending Machine,कोण बंकन मशीन,"मशीन, जो रोल की सहायता से छड़ों को विभिन्न प्रकार के वक्रों में मोड़ती है या दावित्रो में दंड़ों को कोणीय रुप में भींचती है ।"
Angle cutter,कोण भ्रमिकर्तक,"टप, रीमर आदि पर नाली बनाने के लिये एक प्रकार का मिलिंग कर्तक ।"
Angle gearing,कोण गरारी निकाय,"बेवेल गरारियों का अभिविन्यास, जिसमें चालक शैपर दूसरे शैफ्ट को, जो उसके साथ समकोण के अलावा अन्य कोण पर स्थित होती है, चलाती है । इसके लिये दोनों के मध्य में एक तीसरी माइटर गरारी और लगानी पड़ती है ।"
Angle of flexure,आनम्यता कोण,वह कोण जिस पर ऐंठन द्वारा शैफ्ट का कोणीय विक्षेपन होता है ।
Angle of Inclination,नति कोण,"(ए) वह कोण, जिसे पेंच की चूड़ी अपने अक्ष के साथ बनाती है ।
(बी) क्षेतिज समतल के साथ बना कोण ।"
Angle of obliquity,तिर्यकता कोण,सम्पर्क में दो गियर-दाँतो के मध्य बल की दिशा का उनके उभयनिष्ठ स्पर्शी की दिशा से विचलन ।
Angle of Relief,अवकाश-कोण,कर्तन औजार का निचला हिस्सा या फ्लेंको फलक और काटे जाने वाले पदार्थ की पृष्ठ के बीच का कोण ।
Angle of Thread,चूड़ी कोण,पेंच-चूड़ी के फ़रैंको के मध्य का कोण जिसे अक्षीय समतल में मापा जाता है ।
Angle of Twist,मरोड़-कोण,"वह कोण, जिस पर बलापूर्ण शाफ्ट के एक परिच्छेद को उसी शाफ्ट के अन्य परिच्छेद क्रे सापेक्ष मरोड़ता है ।"
Angle of upset,उलटाव कोण,"वह कोण, जिस पर सुवाहूय-प्ररुप संतुलन-क्रैन अपने भार के साथ उलट जाती है ।"
Angle Valve,कोण-वाल्व,"अधोवर्ती रोध वाल्व, इसका केस गोलाकार होता है । दण्ड का अक्ष केस के एक सिरे के साथ रेखा में तथा दूसरे सिरे के साथ समकोण पर होता है । इसे तिर्यक वाल्व भी कहते है ।"
Angular acceleration,कोणीय त्वरण,घूर्णी वेग में वृद्धि की दर को कोणीय त्वरण कहते है । आमतौर पर इसे रेडियन प्रति सैकिंड प्रति सैकिंड से प्रदर्शित करते हैं ।
Angular Advance,कोणीय अग्रता,"भाप इंजन में वाल्व यंत्रावाली में वह कोण, जिसे उत्केन्द्रक शीव का केन्द्र उस रेखा के साथ बनाता है जिसे क्रैंक पिन के 90 अंश अग्रता पर स्थापित किया जाता है । इसका परिमाण अग्रता तथा बाहरी चढाव पर निर्भर करता है।"
Angular cutter,कोणीय भ्रमि कर्तक,"एक प्रकार का मिलिंग कर्तक, जिसमें कर्तक फलक कर्तक के अक्ष के साथ कोण बनाता है ।"
Annular seating,वलयाकार सीट,पम्प में प्रयुक्त वाल्व के लिये वल्याकार सीट ।
Annular valve,वलयाकार वाल्व,"एक प्रकार का वालव, जिसमें संकेन्द्रिक छिद्र पर वर्तुल चक्रिका सीट होती है ।"
Annular wheel,वलयाकार गरारी,"एक प्रकार का दॉत-पहिया, जिसमें दॉत आंतरिक व्यास पर लगे होते हैं । इसे आन्तरिक पहिया भी कहते हैं । यह हमेशा उसी दिशा में घूमता है जिसमें इसकी पिनियन घूमती है ।"
Anti-friction Bearing,घर्षण-रोधी बेयरिंग,"बेयरिग, जिसमें घर्षण को कम करने के लिये विशेष प्रकार के माध्यमों का प्रयोग किया जाता है जैसे घूर्णी शाफ्ट को आलम्ब देने के लिये रोलर का प्रयोग । विशेष धातुयें प्लैसिटक्स पॉलियूरेथिन रबड़ एवं अन्य जटिल कम्पाउंड का भी प्रायः शुद्ध रूप में इस्तेमाल होता है या मुख्य बेयरिग बुश के पदार्थ में इनको संसिक्त कर दिया जाता है ।"
Anti-friction Metal,घर्षण रोधी धातु,वह मिश्रधातु जिसमें 50 प्रतिशत से अधिक टिन होता है । पहले इस शब्द का प्रयोग वाइट मैटल के लिये किया जाता था लेकिन अब अनेक ऐसी धातुओं के लिये इस शब्द का प्रयोग किया जाता है जो बेयरिंग के लिये उचित है ।
Anti-friction Roller,घर्षण रोधी रोलर,"चल रोलर, जो घूर्णी तर्कु या शाफ्ट का दाब धारण करते हैं ।"
Antiphase,प्रतिफेज,जब फेज कोण में अन्तर 𝜋 का होता है ।
Anti-resonance,प्रति अनुवाद,बाहर से अनुप्रयुक्त उत्तेजन की आवृत्ति में लघु परिवर्तन से यांत्रिक तंत्र की विशिष्ट अनुक्रिया के आयाम में वृद्धि का होना ।
Anti-static beiting,प्रति-स्थेतिक पट्टा,"पट्टा, जिसका घर्षण गुणांक उच्च चालक संकर्षण फलकापर अत्यधिक होता है । यह फलक रोयें के साथ अड़ता नहीं है ।"
Anvil,निहाई,ढलवां या पिटवां लोहे का एक भार ब्लॉक कभी-कभी उसका फलक इस्पात का बना होता है । फोर्जन के समय कार्य को उसके ऊपर रखा जाता है ।
Aperiodic,अनावर्ती,जिसको प्राकृतिक आवृत्ति नहीं है । जो किसी एक आवृत्ति पर अनुनादी नहीं है ।
Arboring,आर्बरन,"चौड़े फलकदार कर्तक, जो आर्बर पर आड़े तरीके से चढा होता है, द्वार सपाट बेयरिग फलक का पश्चकर्तन करना ताकि अनुलग्नक काबलों के ढिबरी तथा वाशरों के लिये स्थान बन जाये ।"
Archimedes Principle,आर्कमीडीज का सिद्धांत,“जब कोई पिण्ड किसी तरल में अंशतः या पूर्णतः निमज्जित किया जाता है तो वह एक बल के द्वारा उत्प्लावित होता है। यह बल पिण्ड के द्वार विस्थापित तरल के भार के बराबर होता है । ”
Arch of approach,उपगमचाप,"गरारी के अन्तराल वृत पर वह चाप, जिस पर दो दांते संपर्क में होते हैं बे अंतराल बिन्दु की ओर पहुंच रहे होते हैं ।"
Arc of contact,संपर्क चाप,"गरारी के अन्तराल वृत पर वह चाप, जिस पर दो दंत संपर्क में होते हैं ।"
Arc of recess,उपगमन-चाप,"गरारी के अन्तराल वृत पर वह चाप, जिस पर दो दंत संपर्क में हैं और वे अंतण्ल बिन्दु से पीछे हट रहे हैं ।"
Arc thickness,चाप मोटाई,जीवा-एडेण्डम एवं दंत केन्द्र रेखा की सीध में मापित एडेण्डम के मध्य अन्तर ।
Assembly shop,एसेम्बली शॉप,विभिन्न कार्यशालाओं से निर्मित होकर वस्तुएं इस शाला में लाई जाती हैं और यहां पर उन वस्तुओं को समन्वायोजित करके अन्तिम रूप दिय़ा जाता है ।
Automatic Centre punch,स्वतः केन्द्र-पंच,इस केन्द्र पंच के शीर्ष में स्प्रिंग भारित घन लगा होता है । पंच के नुकीले सिरे को अपेक्षित स्थान पर रखकर तथा हैंडल को दबाकर स्प्रिंग को छोड़ देते हैं इससे घन के प्रघात से कार्य पर चिन्ह बन जाता है
Axial flow,अक्षीय प्रवाह,शाफ्ट के अक्ष के समान्तर प्रवाह ।
Axial flow turbine,अक्षीय प्रवाह टरबाइन,"वह टरबाइन, जिसमें जल वेन के अन्दर शैफ्ट के समान्तर प्रवाहित होता है ।"
Axial thrust,अक्षीय प्रणोद,शाफ्ट के अक्ष के समान्तर बल ।
backlash,पिच्छट,"यंत्रावली का एक अवयव अपनी गति दूसरे अवयव को सम्प्रेषित करने से पहले जितनी दूरी चलता हैं वह दूरी पिच्छट कहलाती है । गतिमान अवयवे में यह मात्रा व्यर्थ गति मानी जाती है, उदाहरणार्थ काबले और ढिबारी के मध्य या गरारियों के मेली दांतो के मध्य ।"
back rest,पश्चटेक/पश्चाधार,"खराद मशीन में प्रयुक्त निर्देशिका, जो सर्पी-टेक में लगी होती है । खरादन के समय औजार-दाब के विरुद्ध जॉब को टेक प्रदान करता हैं। जब यह निर्देशिका औजार का अनुसरण करती है तो इसे अनुग टेक कहते है।"
Balance Piston,संतुलक पिस्टन,यह पिस्टन बहु-पद पम्प की शाफ्ट पर लगा होता है इसका उपयोग निरुपरण तथा चूषण के मध्य प्रणोद में अन्तर को समाप्त करने के लिये किया जाता है ।
Ballistics,प्राक्षेपिकी,"विज्ञान को एक शाखा, जिसमें प्रक्षेप-पथादि संबंधी अध्ययन किया जाता है।"
Basic Size,मूल साइज/मूल आमाप,"सही अनुमानिक आमाप, जिससे सभी सीमक परिवर्तन किये जाते हैं । इसी के आधार पर ही आमाप की सीमांए एवं अभिकल्प आमाप निर्धारित होते है ।"
Bearing housing,बियरिग धारक,इंजन या पम्प का कह हिस्सा जिसमें इंजन/पम्प बियरिग परिबद्ध रहती हैं ।
Battery ignition system,बैटरी प्रज्जवलन तंत्र,इस प्रकार या पम्प का वह हिस्सा जिसमें इंजन/पम्प बियरिग परिबद्ध एहती हैं।
Bevel gear,बेवेल गियर,"वह गियर, जो दो ऐसे शेफ्टो को संयोजित करते हैं जिनके
केन्द्रीय अक्ष समतलीय हों परन्तु समान्तर न हों ।"
Bevel gearing,बेवेल गियरन,"बेवेल गरारियों का विन्यास, जिसकी सहायता से गति एक शाफ्ट पर संचारित की जाती है इन शाफ्टों के अक्ष एक दूसरे को किसी भी दातेदार पहिया, जोशंक्वाकार छित्रक के आकार का होता है । एक दूसरे"
