English,Hindi
august,प्रतापी;बड़ा;महान
aunt,चाची;मामी;मौसी;फूफी
auntie,चाची;मामी;मौसी;फूफी
auspices,शकुन;शरण;आश्रय
auspicious,शुभ;अच्छा;धन्य
austere,कठिन;कठोर;तीक्ष्ण;कट्टर;कर्कश
austerity,कठोर नियम;तपस्या;कठिनता
authentic,असली;सच्चा;प्रामाणिक;यथार्थ
authenticity,प्रामाणिकता;सच्चाई;सत्यता
author,लेखक;ग्रन्थकर्ता;रचयिता
authoritative,आधिकारिक;शासनानुरूप;प्रामाणिक
authority,अधिकार;प्रभुत्व;प्रभाव;शक्ति
autobiography,आत्मकथा;स्ववृत्तान्त
autocracy,निरंकुशता;स्वेच्छाचारी
autocratic,निरंकुश
autograph,हस्ताक्षर;स्वहस्त-लेख
automatic,स्वचालित;स्वयंगतिशील
automobile,मोटर-गाड़ी
autonomy,स्वराज्य;स्वत्व अधिकार
autumn,शरद ऋतु;पतझड़;पतनकाल
auxiliary,सहायक;सहकारी;सहायक
available,प्राप्य;लाभदायक;फलदायक
avarice,लोभ;लालच
