English,Hindi
Boring,प्रवेधन
boring head,प्रवेधन-शीर्ष
Boring tool holder,प्रवेधन औजार धारक
Bottom clearance (Ingears),तल अवकाश
Brake power,ब्रैक शक्ति
Breast wheel,मध्याहत पहिया
Broach,ब्रोच
"breach, pull",कर्ष-ब्रोच
"broach, push",धकेल ब्रोच
Broaching,ब्रोचन
Broaching machine,ब्रोच मशीन
Brushing,ब्रशीकरण
Buff,बफ
Buffing,बफकरण
Buffing machine,बफ मशीन
Buoyancy,उत्प्लावकता
By products,उपजात
Calipers,केलिपर्स
"Calipers, gear teeth",गरारीदंत कैलिपर्स
"Callipers, Hermaphorodite",विषम पाद कैलिपर्स
"Calipers, inside",आंतरिक कैलिपर्स
Cam,कैम
Cam chuck,कैम चक
"Cam, cylinder",बेलन कैम
"Cam, edge or radial",त्रिज्य कैम
"Cam, flat",सपाट कैम
Cam follower,कैम अनुगामी
Cam shaft,कैम शौैफ्ट
Carpentry shop,काष्ठ शाला
Carriage spring,यान कमानी
Casing,कोष (पम्प)
Cavitation,कोटरण
Cavities,कोटरिकारयें
"Centre, bull",बृहत केन्द्रक
Centre Cross,अनुप्रस्थ केन्द्रक
"Centre, dead",अचल केन्द्रक
Centre distance (Gear),केन्द्र दूरी (गरारी )
Centre gauge,केन्द्रक प्रमापी
"Centre, live",चल केन्द्रक
Centre of Buoyancy,उत्प्नावकता केन्द्र
Centre of Pressure,दाब्र केन्द्र
Centre punch,केन्द्र-पंच
Centrifugal clutch,अभिकेन्द्री ग्राभ
Centrifugal head,अपकेन्द्री दाबोच्चता
Centrifugal pump,अपकेन्द्री पम्प
Chaser,"चूड़ी कर्तक,चेजर"
Chasing,"चूड़ी-कर्तन,चेजन"
Chasing dial,चेजन डायल
Chip,"छीलन,चिप"
Chip breaker,"छीलन,चिप खण्डक"
Chipping,संछीलन
Chisel,छैनी
"Chisel, cape",कैप छैनी
"Chisel, cold",अताप छैनी
"Chisel, round",गोल छैनी
Chuck,चक
"Chuck, collet",कालेट चक
"Chuck, cup",चषक चक
"Chuck, draw",कर्षचक
Chuck driver,चालक चक
"Chuck, driving",चालन चक
Chuck electromagnetic,विद्युत-चुम्बकीय चक
"Chuck, expanding",प्रसारी चक
"Chuck, four jaw Independent",चार-जबड़ा स्वतंत्र चक
"Chuck, oval",अण्डाकार चक
"Chuck, permanent magnetic",स्थायी-चुम्बकीय चक
"Chuck, self centering",स्वतः केन्द्रीकरण चक
"Chuck, vacuum",निर्वातचक
Chucking,चकीकरण
Chucking machine,चक-मशीन
Circular Pitch,वृतीय अन्तराल
Climb cutting or climb milling,आरोह भ्रमिकर्तन
Clamp,शिकंजा
Clutch,"ग्राम,क्लच"
"Clutch, Cone","शंकु क्लच,शंकुग्राभ"
"Clutch, disc",चक्रिका क्लच
"Clutch, dog","कुत्ता ग्राभ,डॉग क्लच"
"Clutch, fluid",तरल ग्राभ
"Clutch, jaw",जबड़ा ग्राभ
"Clutch, magnetic",चुम्बकीय ग्राभ
"Clutch, mercury",पारा ग्राभ
"Clutch, split ring",विपाठित वलय ग्राभ
Coefficient of Contraction (fluid),संकुचन गुणांक (तरल)
Coefficient of discharge,निस्सरण गुणांक
Coefficient of Performance (Refrigerator),निष्पादन गुणांक (प्रशीतक)
Coefficient of Velocity,वेग गुणांक
Cochesion,संसंजन
Cold forging,अताप फोर्जन
Common Drive method,(सामूहिक चालन विधि)
Compressibility,सम्पीड्यता
Coolant,शीतक द्रव्य
Copying carriage,"नकल यान,प्रतिकृति यान"
Copying machine,"प्रतिकृति मशीन,नकल मशीन"
Cotter,कॉटर
Cotter pin,कॉटर पिन
Counter bore,(अ) प्रतिवेधक
Counter boring,प्रतिवेधन
Counter current Condenser,प्रतिधारा द्रवपित्र
Countershaft,प्रतिशेफ्ट
Counter sunk,शंकुखात
Counter sinking,शंकु खनन
Crane,क्रेन
"Crane, balance",संतुलन क्रेन
"Crane, Cantilever",प्रास क्रेन
"Crame, derricing jib",डैरिक जिब क्रेन
"Crane, floating",प्लवमान क्रेन
"Crane, Gantry",गऱ्सी क्रेन
"Crane, Goliath",गोलियथ क्रेन
"Crane, Hercules",हरकूलीज क्रेन
"Crane, horizontal",क्षैतिज क्रेन
"Crane, hydraulic","द्रवीय क्रेन,द्रवचालित क्रेन"
"Crane, jib",जिब क्रेन
"Crane, level buffing",तल प्रतिवातक क्रेन
"Crane, overhead travelling",शिरोपरि चल क्रेन
"Crane, platform",प्लेटफार्म क्रेन
"Crane, portal jib",सुवाघ जिब क्रेन
"Crane, post",स्तम्भ क्रेन
"Crane, rope",रजु क्रेन
"Crane, steam",भाप चलित क्रेन
"Crane, Titan",टाइटन क्रेन
"Crane, Tower",टावर क्रेन
"Crane, Travelling Jib",चल जिब क्रेन
"Crane, vertical",उदग्र क्रेन
"Crane, well",कूप क्रेन
Crest-Sill,शिखर-सिल
Crossed Belt Drive,क्रॉस पट्टा चालन
Cross Rail,अनुप्रस्थ पटरी
Crowbar,सब्बल
Cup wheel,चषक पहिया
Curling tool,वलयक ओजार
Cutting angle,कर्तन कोण
Datum head,स्थितिज-दाखोच्चता
Datum level,निर्देश स्तर
Dead axle,"अचल धुरा,अचल धुरी"
"Dead Centre, inner (Top dead Centre)",अन्तः निश्चालय स्थिति
"dead Centre, outer",वाह्य निश्चालय स्थिति
Dead weight safety valve,अचल भार सुरक्षा वाल्व
Dedendum,वियोज्य
Degree of Superheat,अतिताप मात्रा
Delivery head,प्रदायी दाबोच्चता
Dial feed,डायल प्रभरण
Diametral Pitch,व्यासीय अन्तराल
Diagram factor,आरेख गुणक
Die,"डाई,ठप्पा"
"Die, air bend",वायु-मोड़ डाई
"Die, blanking,",ब्लैंक-डाई
"Die, blasted:",बालू प्रधमित डाई
"Die, bolt",काबला-डाई
"Die, buldging",उत्तलन डाई
"Die, coining",मुद्रा-डाई
"Die, cupping",चषकन डाई
"Die, curling",वलयक-डांई
"Die, heading",शीर्षीकरण डाई
"Die, index","अनुभाजक डाई,अनुभाजक ठप्पा"
"Die, magnetic",चुम्बकीय डाई
"Die, perforating",छिद्रक डाई
"Die, progressive",प्रगामी डाई
"Die, reducing","तनुकारी डाई,तनुकारीठप्या"
"Die, riveting",रिबैटन डाई
Die Shearing,कर्तन डाई
Die sinking section,डाई निर्माण अनुभाग
"Die, threading",चूड़ी कर्तन डाई
Die-casting,डाई-ढलाई
Die chaser,डाई चेजर
Die head or holder,डाई-धारक
Discharge,निस्सरण
Dismantling section,विघटन कक्ष
Dividing head (Indexing head),अनुभाजक शीर्ष
Double acting,द्वि-क्रिय
Double ended grinder,द्विमुखी अपघर्षित्र
Double helical gear,द्वि-कुण्डलित गियर
Double suction,उभय-चूषण पंप
Draught tube,प्रवात-नली
Drift,गुल्ली
Drift hole,ड्फ्टि छिद्र
Drill,बसमा
"Drill, Centre",केन्द्रक बरमा
Drill drift,बरमा गुल्ली
Drilling,वेधन (खनन)
"Drilling m,c, bench",बैंच बरमा मशीन
"Drilling m,c, gang",समूह बरमा मशीन
"Drilling m,c, Portable",सुवाह्य बरमा मशीन
"Drilling, up-side-down",विलोम बरमाई
Drowned orifice,निमज्जित विवर
Dry bulb temp.(dbt),(सूख्रा ब्रल्ब्र ताप )
Dryness fraction,शुष्कता अंश
Dry sand mould,अनार्द्रबालू सांचा
Dry sump system,बाहय निगर्त विधि
Dynamometer,"डायनामोमीटर,शक्ति मापित्र"
Eccentric Bolt,उत्केन्द्रक बोल्ट
Eccentric Box,"उत्केन्द्रक बॉक्स,पेटी"
Eccentric Circle,उत्केन्द्रक चक्र
Eccentric Gear,उत्केन्द्रक-यंत्रावली
Eccentricity,उत्केन्द्रता
Eccentric key,उत्केन्द्रक चाबी
Eccentric Rod,उत्केन्द्रक दण्ड
Eccentric Sheave,उत्केन्द्रक चक्रिका
Eccentric strap,उत्केन्द्रक-पट्टक
Eccentric-throw,उत्केन्द्री-विगियरण
Economizer,"मितोपयोजित्र,इकानोमाइजर"
Effective head,प्रभावी दाबोच्चता
Effective section,प्रभावी-परिच्छेद
Ejector,"निष्कासित,निष्कासक"
Ejector condenser,निष्कासक द्रवणित्र
Elastic Fluid,प्रत्यास्थ तरल
Elasticity,प्रत्यास्थता
Elastic limit,प्रत्यास्थ सीमा
Elastic strain,प्रत्यास्थ-विकृति
Elastic strength,प्रत्यास्थ सामर्थ्य
Elbow,कोहिनी
Elbow connector,कोहिनी जोड़
Elbow spring,कोहिनी स्प्रिंग
Electro-Brassing,विद्युत-ब्रासन
Electro-Calorimetry,विद्युत-ऊष्मामिती
Electroplating shop,विद्युत लेपन शाला
Elevator,उत्थापक
Elliptical Gear,दीर्घ-वृत्तीय गियर
Elliptic spring,दीर्घ-वृत्ताकार स्प्रिंग
Embossing,सम्मुद्रण
Emergency Brake,आपातकालीन ब्रेक
Emery,एमरी
Emery Buff,एमरी बफ
Emery Grinder,एमरी अपघर्षित्र
Emery Paper,एमरी कागज
Emery Paste,एमरी पेस्ट
Emery wheel,"एमरी-पट्टिया,चक्र"
Enamelling,"एनेमलन,एनेमल लेपन"
Endless Belt,सिराहीन पट्टा
Endless Chain,सिराहीन चेन
Endless Rope,सिराहीन रस्सा
Endless saw Band saw,सिराहीन पट्टा आरी
End Measurement,सिरा मापन
End mill,सिरा-भ्रमिकर्तक
End Thrust Axial Thrust,अक्षीय-प्रणोद
Endurance-limit,सहन-सीमा
Energy of Rotation,घूर्णन-ऊर्जा
Engine Indicator,इंजिन सूचक
Engine Pit,इंजन गर्त
Engraving,उत्कीर्णन
Engraving Machine,उत्कीर्णन यन्त्र
Entropy,एन्ट्रोपी
Epicyclic Gear Trian,अधिवक्रिक-गियरमाला
Epicycloid,अधिचक्रज
Equation of Continuity,सातत्य का समीकरण
Erecting section,जउन्निर्माण कक्ष
Erection,"जन्निर्माण,प्रतिष्ठापन,जोड़ना"
Erg,अर्ग
Erosion,अपरदन
Escape velocity,पलायन-वेग
Escape wheel,विलगन-चक्र
Etching,निक्षारण
Evaporation,वाष्पन
Evaporative Condenser,वाष्पनिक द्रवणित्र
Exhaust,रेचन
Exhaust Fan,रेचन-पंखा
Exhaust Iniection,रेचन अन्तः क्षेपक
Exhaustlap inside lap,"रेचक चढ़ाव, अन्तः चढ़ाव"
Exhaust pipe,रेचन-पाइप
Exhaust Port,रेचन-द्वार
Exhaust steam,रेचित-भाप
Exhaust stroke,रेचन-स्ट्रोक
Exhaust valve,रेचन-वाल्व
Expansion-curve,प्रसार वक्र
Expansion joint,प्रसारी-जोड़
Expansion valve,प्रसार वाल्व
External combustion  Engine,बहिर्दहन-इंजन
External work of vaporization,वाष्पन का बाह्य कार्य
Extraction of Metals,धातु निष्कर्षण
Extrusion,बहिर्वेधन
Eye,"छिद्र, गवाक्षिका, बलय, अक्षि"
Eye Bar,वलय-शलाखा
Evye-bolt,अक्षि काबला
Face,फलक
Face Cutter,फलक-भ्रमिकर्तक
Face lathe,फलकन खराद
Face Mark,फलक-चिन्ह
"Face plate, (Face Chuck)","फलक पट्टिका,फलक प्लेट"
"Face plate, indexing",अनुभाजक फलक प्लेट
Face width,फलक चोड़ाई
Facing,"(ए) फलकन, (बी) फलक"
Facing machine,फलकन मशीन
Facing sand,फलकन बालू
Facing Tool,फलकन औजार
Failure,विफलता
Fall and Tackle,फाल ओर टेकल
False Face,नकली फलक
Fang Bolt,दन्त काबला
Fast and loose Pulley,बद्ध और अबद्ध पुली
Fast eoupling,दृढ़ युग्मक
Fastenings,बंधक
Fast head,अचल शीर्ष
Fast Head stock,बद्ध हैडस्टॉक
Fast Pulley,बद्ध पुली
"Fatigue limit ,Fatigue strength","श्रांति सीमा,श्रांति सार्मथ्य"
Fatigue-testing Machine,श्रांति परीक्षण मशीन
Faying Face or surface,विरचित पृष्ठ
Feathering Paddle,पंखदार पैडल
Feed,प्रभरण
Feed check valve,प्रभरण निरोध वाल्व
Feed cutter,चारा कर्तक
Feeder,प्रभरक
Feed gear,प्रभरण गरारी
Feed fingers,प्रभरण अगुंली
Feed Mechanism,प्रभरण यंत्रावली
"Feed, radial",त्रिज्य प्रभरण
Feed Rod or lead screw,प्रभरण दंड या अग्रण पेंच
Feed screw,प्रभरण पेंच
Feed spindle or shaft,प्रभरण तर्कु या शाफ्ट
Feed Water,प्रभरण जल
Feed water Filter,प्रभरण जल छन्नक
Feed water Heater,प्रभरण जल तापक
Feed Water Valve or Cock,प्रभरण जल वाल्व या कॉक
Feeler,फीलर
"Felt, Paper",कागजो-नमदा
Felt wheel,नमदा चक्र
Female,मादा
Female thread,आन्तरिक चूड़ी
Fence,"फेन्स,बाड़"
Fencing-In,अन्त : बाड़
Fender,रक्षिका
Ferro Manganese,फैरो मैगनीज
Ferrule,फैरुल
Fettle,फेटल
File,रेती
File Card,रेती बुरुश
"Fite, Crossing",क्रॉस-रेती
"File, hard",रेतन-कठोर
"File, Needle",सूची-रेती
"File, rotary",घूर्णी रेती
"Filing, draw",कर्ष रेतन
Filing Machine,रेतन मशीन
Filiet,फिलेट
Fin,फिन
Fin,पंख
Fire bar,अग्नि छड़
Fire clay,अग्नि सह मृत्तिका
Fire Door,अग्नि ह्वार
Fire tube boiler,अग्नि नलिका बॉयलर
Fit,फिट
"Fit, clearance",अदकाश फिट
"Fit, compound",संयुक्त फिट
"Fit, force",बल-फिट
"Fit, free","मुक्त फिट,मुक्त अन्वायोजन ."
"fit, interference",व्यतिकरण फिट
"fit, loose","श्लघ फिट,श्लघ अन्वायोजन"
"fit, medium",मध्यम फिट
"fit, tight (slight negative fit)","संकृष्ट फिट, अन्वायोजन (तनिक ऋणात्मक फिट)"
Fitting shop,फिटिंग शाला
"Fit, Transition","संक्रमण फिट,संक्रमण अन्वायोजन"
"fit, wringing (zero to negative allowance)",ससंजन फिट (शून्य से ऋृणात्मक छूट)
Fixture,"स्थायिक,फिकचर"
Flame cutting,ज्वाला कर्तन
Flame hardening,ज्वाला कठोरीकरण
Flange,फ्लैंज
Flank,पार्श्व
Flash,अतिरेक
Flash Point,स्फुरांक
Flask,"सांचा पेटी, फ्लास्क"
"Flask, snap","स्रैप सांचापेटी, फ्लास्क"
Flat forging,सपाट फोर्जन
Flatter,चिपिटक
Flinger,फिलंजर
Floor moulding,धरातल संचकन
Flue,"धूम्रपथ,फ्लू"
Fluid,तरल
Fluid Mechanics,तरल-यांत्रिकी
Fluid Pressure,तरल-दाब
Fluted reamer,"अधिछिद्रक,रीमर"
Flux,गालक
Follow board,प्रतिरुपधारी पटल
follower rest,अनुगामी टेक
Foot valve,फुट वालव
Forced draught,प्रणोदित प्रवात
Force pump,बल पम्प
Forebay,अग्रतल
Forge,"फोर्ज, भट्टी"
Forging heat,फोर्जन ऊष्मा
Forging machine,फोर्जन मशीन
Forgings,फोर्जन
"Forgings, upset",अपसेट फोर्जन
Form grinding,प्ररुप अपघर्षण
Form turning,प्ररूप खरादन
Foundation bolt,नींव काबला
Foundry shop,ढलाई शाला
Francis Turbine,फ्रांसिस टरबाइन
Frictional adiabatic flow,घर्षण युक्त रूदोष्म प्रवाह
Frictional damper,घर्षणी अवमंदक
Friction gear,घर्षण-गियर
Frost,तुषार
Fuel Pump,ईधन पम्प
Fuel sensitivity,ईधन सुग्राह्यता
Full annealing,पूर्ण अनीलन
Fuller,फुलर
Fullering,फुलरन
Fultering tool,फुलरन औजार
Full shroyd (gear),पूर्ण परिच्छेद (गरारी)
Furnace,भट्टी
"Furnace, blast","वात्या भट्टी,धमन भट्टी"
Fusible Plug,संगलनीय प्लग
Gagger,गैजर
Galvanized Iron,जस्तेदार लोह
Gang Die,समूह ठप्पा
Gang Drill,समूह बरमा
Gang Edging Machine,समूह कोर कर्तन भशीन
Gang Mill,समूह आरा मशीन
Gang Milling,समूह भ्रमिकर्तन
Gang mould,समूह सांचा
Gang saw,आरा-पुंज
Gang Tool,औजार समूह
Ganister,गैनिस्टर
Gantry Crane,गन्त्री क्रेन
Gases,गैस
Gash,गैश
Gasket,गैसकेट
"Gauge, boring bar cutter",प्रवेधन दण्ड कर्तक प्रमापी
"Gauge, Depth",गभीरता-प्रमापी
"Gauge, drill",बरमा-प्रमापी
"Gauge, feeler or thickness",फीलर प्रमापी
"Gauge, flush-pin",सपाट-पिन प्रमापी
"Gauge, plug","डाट प्रमापी,प्लग प्रमापी"
Gauge pressure,प्रमापी दाब
Gauging,घ्रमापन
"Gauge, working",कार्यकारी प्रमापी
"Gauge, wire",तार-प्रमापी
"Gauging, air",वायु-प्रमापन
"Gauging, indicating",सूचक-प्रमापी
"Gauge, ring",वलय-प्रमापी
"Gauge, Screw thread pitch",पेंंच चूड़ी अन्तराल प्रमापी
"Gauge, snap",स्नैप-प्रमापी
"Gauge, taper",टेपर प्रमाप
Gear,"गरारी,गियर"
"Gear, annular",वलयाकार गरारी
"Bear, bevel",बेवेल गरारी
gear-box,गियर-बॉक्स
gear case,गरारी आवरक
gear cluster,गरारी-गुच्छ
gear cutters,गरारी कर्तक
gear cutting machine,गरारी कर्तन मशीन
"gear, differential",विभेदी गरारी
Gear drive,गियर चालन
Geared headstock,गियरित हैडस्टॉक
geared lathe,गियरित खराद
gear grinding machine,गरारी अपर्घषण मशीन
gearing,गियरन या गियर निकाय
gearing down,गियर-मंदन
gearing up,गियर वर्धन
gear miller,गियर भ्रमिकर्तक
Gear pump,गिर पम्प
Gland follower,ग्लैंड अनुगामी
Gland sealing line,ग्लैंड सील-लाइन
Gravity lubricator,गुरुत्व स्नेहक
Grease lubricator,ग्रीज स्नेहक
Gross head,सकल दाबोच्चता
Guide vanes,निर्देश फलक
Hammer Blow,घनाघात
Head race,आवाही कुल्या
Heat treatment section,ऊष्मा उपचार अनुभाग
Heavy force & shrink fit,भारी बल एवं संकुचन फिट (बहुत अधिक ऋणात्मक छूट)
Helical gear,कुण्डलित गियर
Hit and miss governing,हिट तथा मिस अधि-नियंत्रण
Hydraulic accumulator,द्रवचालित संचायक
Hydraulic Crane,द्रवचालित क्रेन
Hydraulic efficiency,जलीय दक्षता
Hydraulic Intensifier,द्रवचालित तीव्रक
Hydraulic jack,द्रवचालित जेक
Hydraulic lift,द्रवचालित लिफ्ट
Hydraulic machines,द्रवचालित मशीने
Hydraulic Press,द्रवचालित प्रेस
Hydraulic Prime mover,द्रवचालित आदि चालक
Hydrocone,जल शंकु
Hydro dynamics,द्रव-गतिकी
Hydro mechanics,द्रव यांत्रिकी
Hydrostatics,द्रवस्थेतिकी
Hyperboli compression,अतिपरवलयिक संपीडन
Impact extrusion,संघट्ट बहिर्वेधन
Impeller,प्रणोदक
Impulse Turbine,आवेग टरबाइन
In board,अन्तःमुखी
Indicated power,सूचित शक्ति
Indivisual Drive Method,पृथक चालन विधि
Induced draught,प्रेरित प्रवात
Inspection Department,निरीक्षण अनुभाग
Internal energy of Vaporization,वाष्पन की आन्तरिक ऊष्मा
Internal gear,आन्तरिक गियर
Interstage diaphragm,अन्तरापंदीय मध्यपट
Jet condenser,जेट द्रवणित्र
Jet pump,जैट पम्प
Jig,जिग
Kaplan Turbine,कैप्लन टरबाइन
Knocking,अभिहनन
Labyrinth packing or seal,लेबिरिथ पैकिंग
Lag,"(क) पकश्चता, (ख) ताप-रोधन"
Laminates,पटल
Laminated spring = leaf spring,"पत्ती कमानी,पत्ती स्प्रिंग"
Landing gear,अवतरण-यंत्रावली
Lantern ring,लैंटर्न वलय
Lap,"(क) चढाव, (च) लैप"
Lap joint,चढ़ाव जोड़
Lapping,लैपकरण
Lapping Machine,लैपकरण मशीन
Latent heat,गुप्त ऊष्मा
Lathe,खराद
Lathe bearer,खराद-धारक
Lathe bed,खराद-मंच
Lathe careier,"खराद वाहक,खराद कैरियर"
Lathe Centre,खराद-केन्द्रक
Lathe centre grinder,लैथ केन्द्रक-अपघर्षित्र
Lathe cheek,खराद कपोल
Lathe chuck,खराद चक्र
Lathe head,खराद-शीर्ष
Lathe planer,खराद समतलक
Lathe saddle,खराद-काठी
Lathe shears,खराद-शियर्स
Lathe standard,खराद पाद
Lathe tool,खराद औजार
Lathe work,खराद-कार्य
Lay shaft,सहायक शाफ्ट
Laying out,अभिन्यासन
Lay out man,अभिन्यास-कार्मिक
Lead,अग्रता
Lead angle,अग्रता कोण
lead line,अग्रता रेखा
Lead of valve,बाल्व-अग्रता
Lead screw,अग्रण-पेंच
Leading axle,अग्र धुरी
Leading springs,अग्र स्प्रिंग
Leaf,पत्ती
leaf spring = Laminated spring,"पत्ती कमानी,पत्ती स्प्रिंग"
leak off,अपक्षरण
left hand drill,वामहस्थ बरमा
left-hand engine,वामावर्त इंजन
left-hand screw,वामावर्त पेंच
left-hand thread,वामावर्त चूड़ी
Left-hand tool,वामहस्त ओजार
left-hand twist drill,वामहस्त मरोड-बरमा
lever chuck,लीवर चक
lever jack,लीवर जेक
lever safety valve,लीवर सुरक्षा वाल्व
Lubricant,स्नेहक द्रव्य
Machine Shop,"मशीन शाला,मशीन शॉप"
Made Circuit,तैयार परिपथ
Magazine Fuse,मेगजीन फ्यूज
Magnet Coil,"चुम्बक कॉयल,कुण्डली"
Magnet Core,चुम्बक क्रोड
Magneto ignition system,मैगनेटो प्रन्ज्चलन तंत्र
Magnet wire,चुम्बक तार
Magnetic Attraction,चुम्बकीय आकर्षण
Magnetic Cross Flux,चुम्बकीय क्रॉस फ्लक्स
Magnetic Helix,चुम्बकीय कुण्डलिनी
Magnetic key,चुम्बकीय चाबी
Magnetic shield,चुम्बकीय आवरण
Magnetic shunt,चुम्बकीय शंट
Magnetizing current of Transformer,ट्रांसफार्मर की चुम्बकन धारा
Magneto Ignition,मैगनिटो प्रज्वलन
Mains,"(1) मुख्य तार (विद्युत) , (2) मुख्यनल (जल)"
Maintenance workshop,अनुरक्षण कार्यशाला
Main shaft,मुख्य शॉफ्ट
Make impulse,प्रणोद-संपर्क
"Mandrel, expanding",प्रसारी मैंड्रल
Manual Remote control switch Boards,हस्तप्रचालित रिमोट नियंत्रण स्विच बोर्ड
Manual Repeater,हस्तप्रचालित पुनरावर्तक
Master gauge,महा प्रमापी
Master Oscillator,"मुख्य आस्सीलेटर,दोलित्र"
Master switch,मुख्य स्विच
Maximum starting current,अधिकतम प्रवर्तन धारा
Mean effective pressure,माध्य प्रभावी दाब
Mechanical characterisitc of Motor,मोटर की यांत्रिक अभिलक्षण
Mechanical circuit closer,यांत्रिक परिपथ बंधक
Mechanical efficiency,यांत्रिक दक्षता
Mechanical seal,यांत्रिक सील
Medium force fit,"मध्यम बलात्‌ फिट, अन्वायोजन"
Megger,मेगर
Megger Testing set,मेगर परीक्षण सैट
Megline,मेग लाइन
Megohm,मेग ओम
Megohmit,म्रेगओमिट
Melting section,गलन अनुभाग
Mercury switch,पारद-स्विच
Metallic Packing,धातुक पैकिंग
Milling,भ्रमि कर्तन
Milling cutter,भ्रमि कर्तक
Milling Machine,भ्रमिकर्तन मशीन
Mitre gear,माइटर गरारी
Mixed flow pump,मिश्र प्रवाह पम्प
Mixed flow turbine,मिश्रित प्रवाह टरबाइन
Module,मॉड्यूल
Moulding section,सांचा उपशाला
Mouth piece,मुखिका
