English,Hindi
"In this postcard sketch, Nandalal Bose has depicted a landscape surrounded by mountains and shrubbery, in soft, loose strokes of the brush. He has studied the forms in a minimalist manner, sparing much detail in the image.","इस पोस्टकार्ड रेखाचित्र में, नंदलाल बोस ने कूँची की मृदु, ढीली रेखाओं में पहाड़ों और झाड़ियों से घिरे एक भूदृश्य को चित्रित किया है। उन्होंने छवि में बहुत अधिक विवरण न देते हुए, न्यूनतम तरीके से रूपों का अध्ययन किया है।"
"The sketch bears an inscription mentions, signed 'Nanda' and dated '30.12.44' in the English language. The sketch bears an inscription in English that reads, 'Rajgriha' (referring to the place) above the date.","इस रेखाचित्र में एक अभिलेख उल्लेखित है, जिसमें बंगाली में 'नंदा' हस्ताक्षरित है और अंग्रेज़ी भाषा में '30.12.44' दिनांकित किया गया है। इस रेखाचित्र में तारीख के ऊपर अंग्रेज़ी में एक अभिलेख है जिसे 'राजगृह' (उस स्थान को संदर्भित करता हुआ) पढ़ा जाता है।"
"The sketch has been swiftly executed in soft, loose brushstrokes that suggest the depth and light in the composition.","रेखाचित्र को वेगवत रूप से कूँची की मृदु, ढीली रेखाओं में निष्पादित किया गया है जो संरचना में गहराई और प्रकाश का आभास देती हैं।"
The great Indian artist Nandalal Bose was indefatigable in his sketching routines which formed an adjunct part of his daily life.,"नंदलाल अपनी रेखाचित्रण दिनचर्या में अथक थे, जो उनके रोजमर्रा के जीवन का एक सहायक हिस्सा बन गई थी।"
"Making instantaneous visual records of anything amusing happening in his surroundings or of social events, or observing the demeanor and mannerisms of people, the cattle and observing intently the ways of nature was inspiring and a source of delight for Nandalal.","अपने आस-पास या सामाजिक घटनाओं में होने वाली किसी भी मनोरंजक चीज़ का तात्कालिक दृश्य रिकॉर्ड बनाना, या लोगों एवं मवेशियों के व्यवहार और तौर-तरीकों का अवलोकन करना और एकाग्रचित होकर प्रकृति के तरीकों का अवलोकन करना, नंदलाल के लिए प्रेरणादायक और प्रसन्नता का एक स्रोत था।"
"In this, he has depicted a man holding a stick in his hand, rendered with light washes of ink delineating the contours of the figure.","इस रेखाचित्र में, उन्होंने एक आदमी को हाथ में छड़ी पकड़े हुए, स्याही के हल्के लेप से प्रतिपादित किया है जो उसकी रूपरेखा को निरुपित करता है।"
"This album of 53 works by Nandalal consists of detailed anatomical drawings, sketches of the muscular and skeletal structures of human beings - both male and female. He has here reproduced biological diagrams to understand the movement of the human body, making apparent the urge to ground his art in scientific rigour.","नंदलाल की 53 रचनाओं के इस एल्बम में विस्तृत शारीरिक आरेख, मानव (पुरुष और स्त्री दोनों) के मांसपेशीय और कंकाल तंत्र के रेखाचित्र शामिल हैं। अपनी कला को वैज्ञानिक आधार देने की तीव्र इच्छा को स्पष्ट करते हुए, उन्होंने यहाँ मानव शरीर की गतिविधियों को समझने के लिए जैविक आरेखों को पुनः प्रस्तुत किया है।"
The artist wanted to synthesise artistic visual expression with scientific fact and hence engaged with such minute attention to the form.,"कलाकार, कलात्मक दृश्य अभिव्यक्ति को वैज्ञानिक तथ्य के साथ संश्लेषित करना चाहते थे और इसी कारण उन्होंने रूप पर बहुत बारीकी से ध्यान दिया है ।"
"The National Gallery of Modern Art, New Delhi acquired the largest collection of 6744 artworks of Nandalal Bose from his family.","राष्ट्रीय आधुनिक कला संग्रहालय, नई दिल्ली ने नंदलाल बोस की 6744 कलाकृतियों का सबसे बड़ा संग्रह उनके परिवार से प्राप्त किया था।"
"This album of 49 works is a collection of ornamental design sketches by Nandalal executed during his various sojourns across the country. Most of these are motifs and ornamental designs he reproduced from myriad sources to enrich his artistic vocabulary, apart from some of his own compositions. An avid sketcher, he fervently recorded his surroundings wherever he went.","49 रचनाओं का यह एल्बम नंदलाल के देश भर में अपने विभिन्न अल्पवासों के दौरान निष्पादित किए गए सजावटी डिज़ाइन के रेखाचित्रों का एक संग्रह है। उनकी खुद की कुछ रचनाओं के अतिरिक्त, इनमें से अधिकांश ऐसे रूपांकन और सजावटी डिज़ाइन हैं जिन्हें उन्होंने अपने कलात्मक व्याकरण को समृद्ध करने के लिए, विभिन्न स्रोतों से पुन: प्रस्तुत किया था। आरेखण करने के शौकीन नंदलाल जहाँ भी जाते, बड़े ही उत्साह से अपने परिवेश को आरेखित किया करते थे।"
The underlying pencil shading suggests that it has been rendered over a frottage impression - the technique of rubbing pencil on paper placed over a textured surface to get an impression of the motif below.,अंतर्निहित पेंसिल छायांकन से पता चलता है कि इसे एक फ़्रॉटाज इंप्रेशन द्वारा प्रतिपादित किया गया है। इस तकनीक में नीचे के रूपांकन की छाप पाने के लिए एक बनावट वाली सतह के ऊपर कागज़ को रखकर उस पर पेंसिल को रगड़ा जाता है।
"Ramkinkar Baij’s artistic temperament was defined at Santiniketan, an art institution known for providing an informed western modernistic environment to the students. Baij was immensely influenced by his austere surroundings, the ordinary people and nature that became the subject matter for painting and sculpture.","रामकिंकर बैज का कलात्मक मिजाज़ शांति निकेतन में निर्दिष्ट हुआ / के कलात्मक मिजाज़ को शांति निकेतन में दिशा मिली, एक ऐसा कला संस्थान जो विद्यार्थियों को सुविज्ञ पश्चिमी आधुनिकतावादी वातावरण प्रदान करने के लिए प्रसिद्ध है। बैज अपने साधारण परिवेश, सामान्य लोगों और प्रकृति से बेहद प्रभावित थे जो उनकी चित्रकला एवं शिल्पकला के विषय भी बनें।"
The brisk and free flow of lines defines the contours of the body and accentuates the rhythm and movement in the form.,रेखाओं का तीव्र और मुक्त प्रवाह शरीर की रूपरेखा को परिभाषित करता है और रूप में लय और गति को बढ़ाता है।
The sketch portrays Nandalal's impulse to imitate the motif in its original form to enrich his knowledge of design and ornamental work.,यह रेखाचित्र नंदलाल के डिज़ाइन और सजावटी कार्यों के अपने ज्ञान को समृद्ध करने के लिए रूपांकन के असली रूप की हूबहू प्रस्तुति करने के आवेग को चित्रित करता है।
This album of over 300 works is a large collection of sketches by Nandalal executed during his various sojourns across the country.,300 से अधिक रचनाओं का यह एल्बम नंदलाल के देश भर में विभिन्न अल्पवासों के दौरान निष्पादित किए गए सजावटी डिज़ाइन के रेखाचित्रों का एक संग्रह है।
He often made records of the decorative carvings on historical buildings as Nandalal had a deep appreciation for the rich sculptural and architectural productions of ancient and medieval India and frequently incorporated elements from them into his works.,नंदलाल अक्सर ऐतिहासिक इमारतों की सजावटी नक्काशी को चित्रित करते थे क्योंकि वे प्राचीन और मध्यकालीन भारत की समृद्ध मूर्तिकला और वास्तुशिल्पीय रचनाओं के गहन प्रशंसक थे और अक्सर अपनी रचनाओं में इनके तत्वों को शामिल किया करते थे।
"Nandalal undertook extensive studies to comprehend the diversity in form, essence and treatment that was employed through the centuries by artisans in the Indian classical art, the folk arts and temple architecture. His rich insights of the native art practices allowed him to experiment and blend with ease and spontaneity the elements of each in an astonishingly free manner.","कलाकारों द्वारा भारतीय शास्त्रीय कला, लोक कला और मंदिर की वास्तुकला में सदियों से उपयोग में लाई गई आकृति, भाव और निरूपण की विविधता को समझने के लिए नंदलाल ने गहरा अध्ययन किया। स्वदेशी कला पद्धतियों को लेकर उनकी सूक्ष्म समझ ने उन्हें एक अद्भुत स्वतंत्र तरीके से, प्रत्येक कला के तत्वों के साथ प्रयोग करने और उन्हें एक दूसरे के साथ सरलता और सहजता से मिश्रित करने में मदद की।"
"In this sketch, the artist has depicted rough scribbles, rendered with fluid, fine lines of pencil delineating the form.","कलाकार ने पेंसिल की अपरिष्कृत प्रवाही, महीन रेखाओं को घसीटकर इस रेखाचित्र को बनाया है, जो रूप को चित्रित करती हैं।"
The painting also bears the artist's personal seal in red.,इस चित्रकारी पर कलाकर की लाल रंग की निजी मुहर भी है।
This painting belongs to a series of monochromatic ink and watercolour paintings inspired by the Sumi-e Japanese technique the artist employed in the last phase of his life. The subject here is 'Hills' executed from his memory and experiences.,"यह चित्रकारी सुमी-ए-जापानी तकनीक से प्रेरित एकरंगी स्याही और जलरंगीय चित्रकारियों की शृंखला से है, जिसका उपयोग चित्रकार ने अपने जीवन के अंतिम पड़ाव में किया था। इसका विषय 'हिल्ज़' है जिसे उन्होंने अपनी स्मृति और अनुभवों से निष्पादित किया है।"
The artist has depicted a hill rendered in a few brush strokes with mere dabs and dashes of ink.,चित्रकार ने कूँची की कुछ रेखाओं की मदद से केवल स्याही की थपकियों और छींटों के साथ एक पहाड़ी को प्रतिपादित किया है।
1. This painting belongs to a series of monochromatic ink paintings by Upendra Maharathi. These compositions were stripped to the bare minimum where only a few strokes of ink were employed to create natural forms in an effortless approach. The artist has depicted a bird with a range of strokes in tonal variations capturing the rhythm and details of the image.,"यह चित्रकारी उपेंद्र महारथी की एकरंगी स्याही चित्रकारियों की शृंखला से है। इन रचनाओं को न्यूनतम रूप से बनाया गया था, जहाँ सहजता से प्राकृतिक रूपों को बनाने के लिए स्याही की कुछ ही रेखाओं का उपयोग किया गया था। कलाकार ने एक पक्षी को रंग-संबंधी विविधताओं की कई रेखाओं की मदद से दर्शाया है जिसके ज़रिए उन्होंने छवि की लय और विवरण को कैद किया है।"
"The collection of NGMA has close to 390 artworks of Mukul Dey which include drawings, sketches and prints acquired by the museum from the artist's family and other private art collections. The artist's works include portraits and drawings of the renowned personalities of the time from diverse fields of politics, literature, science, education, and leading entrepreneurs, acquaintances, family members, and friends.","राष्ट्रीय आधुनिक कला संग्रहालय के संग्रह में मुकुल डे की करीब 390 कलाकृतियाँ हैं, जिसमें कलाकार के परिवार और अन्य निजी कला संग्रहों से प्राप्त, आरेख, रेखाचित्र और प्रिंट शामिल हैं। कलाकार की रचनाओं में, उस समय की राजनीति, साहित्य, विज्ञान, और शिक्षा जैसे विभिन्न क्षेत्रों की प्रसिद्ध हस्तियों, एवं प्रमुख उद्यमियों, परिचितों, परिवार के सदस्यों और दोस्तों के रूपचित्र और आरेख शामिल हैं।"
Upendra Maharathi made sketches of nature and people and used simple bold lines to capture any basic form.,"उपेंद्र महारथी प्रकृति और लोगों के रेखाचित्र बनाते थे और किसी भी सामान्य रूप को दर्शाने के लिए सादी, मोटी रेखाओं का उपयोग करते थे।"
"In the above vibrant watercolour painting, the artist has rendered two bottle gourds attached to the stem. The composition is executed with dabs and dashes of colours, articulating the contours of the vegetables and bringing out the corporeality of form and substance.","जलरंगों से बनी इस जीवंत चित्रकारी में कलाकार ने डंठल से जुड़ी हुई दो लौकियों को चित्रित किया है। रचना के सुस्पष्ट निरूपण को रंगों की थपकियों और छींटों के साथ निष्पादित किया गया है, जो सब्ज़ियों की रूपरेखाओं को स्पष्ट करती हैं और उनके रूप एवं सत्व की भौतिकता को उभारती हैं।"
"The collection of his works in the NGMA has several of these paintings, where he depicts solitary mountains against a skyline in the background or a few brush strokes depicting birds.",इनमें से कई चित्रकारियाँ एनजीएमए में उनकी कृतियों के संग्रह में शामिल हैं। इनमें वीरान पहाड़ों को क्षितिज की पृष्ठभूमि के विपरीत चित्रित किया गया है अथवा कूँची की मात्र कुछ रेखाओं से ही पक्षियों का चित्रण किया गया है।
"This painting is signed and dated '3.4.61, Nanda' vertically in Bengali at the top right corner of the painting with a brush in black colour.","इस चित्रकारी के ऊपरी दाएँ कोने में लंबवत रूप से कूँची से काले रंग में बंगाली में '3.4.61, नंदा' दिनांकित और हस्ताक्षरित है।
(Bold and underlined parts change according to each entry)"
