WID,English,Hindi,
44,"absorbed capital","आमेलि‍त पूंजी",
45,"absorbed labour","नि‍योजि‍त श्रमि‍क",
46,"absorbed liquidity","अवशोषि‍त चलनि‍धि",
47,"absorbed shares","अवशोषि‍त शेयर,अवशोषि‍त अंश",
48,"absorbing banking company","आमेलक बैंकिंग कंपनी",
49,"absorption  of credit","ऋण खपाना",
50,"absorption of a company","कंपनी का आमेलन",
51,"absorptive capacity","अवशोषण क्षमता",
52,"abstinence theory of  interest","ब्याज का उपभोग स्थगन सि‍द्धांत",
53,"abstract budget","बजट-सार",
54,"abstract labour","अमूर्त श्रम",
55,"abstract of account","लेखा-सार",
56,"abstract of title deed","स्वत्व वि‍लेख सार",
57,"abuse of trust","वि‍श्वास का दुरुपयोग",
58,"accede","स्वीकार करना",
59,"accelerated depreciation","त्वरि‍त मूल्यह्रास",
60,"accelerating premium","त्वरणशील प्रीमि‍यम",
61,"acceleration clause","तत्काल अदायगी संबंधी खंड,तत्काल अदायगी संबंधी शर्त",
62,"acceleration of growth","संवृद्धि में तेजी",
63,"acceptance for honour","मानार्थ सकार ,मानार्थ स्वीकृति",
64,"acceptance limit","स्वीकृति सीमा",
65,"acceptance of bill","बि‍ल की स्वीकृति",
66,"acceptance of transfer debit","नामे अंतरण की स्वीकृति",
67,"acceptance supra protest","प्रसाक्ष्य के पश्चात स्वीकृति",
68,"acceptances","स्वीकृति‍यां",
69,"accepting bank","स्वीकारकर्ता बैंक",
70,"accepting house","स्वीकृति गृह",
71,"acceptor","स्वीकारकर्ता",
72,"access","अभि‍गम , पहुंच",
73,"accessing of the records","अभि‍लेखों की सुलभता , सहज उपलब्धता",
74,"accession book","अभि‍प्राप्ति बही",
75,"accession register","अभि‍प्राप्ति रजि‍स्टर",
76,"accession rate","अभि‍प्राप्ति दर (वि‍नि‍यम-पत्र के संदर्भ में) , नि‍युक्ति‍-दर",
77,"accessorial service","सहायक सेवा",
78,"accessory products","सहायक उत्पाद",
79,"accidental expenditure","प्रासंगि‍क व्यय",
80,"accidental profit","आकस्मि‍क लाभ",
81,"accommodation","नि‍भाव",
82,"accommodation bill","नि‍भाव हुंडी ,नि‍भाव बि‍ल",
83,"Accommodation endorsement","नि‍भाव परांकन",
84,"accommodation paper","नि‍भाव पत्र",
85,"accord and satisfaction","समझौता और तुष्टि",
86,"account","लेखा (जहां सि‍र्फ प्रवि‍ष्टि‍यां की जाती हैं)",
87,"account book","लेखा बही",
88,"account day","नि‍पटान दि‍न",
89,"account for","हि‍साब में लेना",
90,"account heads","लेखा-शीर्ष",
91,"account holder","खातेदार",
92,"account in operation","सक्रि‍य खाता",
93,"account jurisdiction","लेखा अधि‍कारि‍ता",
94,"account keeping","लेखा रखना",
95,"account of freight deposit","भाड़ा जमा लेखा",
96,"account payee","आदाता खाता",
97,"account payee cheque","आदाता खाता चेक",
98,"account stated","कर्ज की अभि‍स्वीकृति",
99,"dead account","नि‍ष्क्रि‍य खाता",
100,"accountancy","लेखा-शास्त्र",
101,"accountant","लेखाकार",
102,"accounting","लेखांकन",
103,"accounting method","लेखा पद्धति",
104,"accounting of cash","नकदी का हि‍साब करना",
105,"accounting period ended","को समाप्त लेखा अवधि",
106,"accounting practice","लेखा प्रथा",
107,"accounting rule","लेखा नि‍यम",
108,"accounting standard","लेखा मानक",
109,"accounting system","लेखा प्रणाली",
110,"accounting unit","लेखा यूनि‍ट",
111,"accounting year","लेखा-वर्ष",
112,"accounts  payable","देनदारी लेखे",
113,"accounts  receivable","लेनदारी लेखे",
114,"accounts  receivable  financing","लेनदारी खातों पर वि‍त्तपोषण",
115,"accounts of individuals","व्यक्ति‍यों के खाते",
116,"accounts of partnership","भागीदारी खाते",
117,"accounts of receiver","रि‍सीवर के खाते",
118,"accounts of works","नि‍र्माण कार्यों के लेखे",
119,"interim accounts","अंतरि‍म लेखा",
120,"accreditation","आधि‍कारि‍क मान्यता",
121,"accredited brokers","प्रामाणि‍क दलाल",
122,"accreting swap","अनुवृद्धि‍शील स्वैप",
123,"accretion","अभि‍वृद्धि",
124,"accretion to foreign assets","वि‍देशी आस्ति‍यों में वृद्धि, परि‍संपत्ति‍यों में वृद्धि",
125,"accrual","उपचय",
126,"accrual of interest","ब्याज का उपचय",
127,"accrue","उपचय होना",
128,"accrued income and expenditure","उपचि‍त आय और व्यय",
129,"accrued interest","उपचि‍त ब्याज",
130,"accruing debt","उपचयगत कर्ज",
131,"accumulated balance","संचि‍त शेष राशि",
132,"accumulated loss","संचि‍त हानि",
133,"accumulated profit","संचि‍त लाभ",
134,"accumulation of capital","पूंजी संचयन",
135,"accumulation of funds","नि‍धि संचयन",
136,"accuracy of statement","वि‍वरण की यथार्थता, कथन की यथार्थता",
137,"acid test ratio","कसौटी अनुपात (साख-नि‍र्धारण अनुपात)",
138,"acknowledgement of debt","ऋण की अभि‍स्वीकृति",
139,"acquire","अर्जि‍त करना",
140,"acquire interest in the instruments","लि‍खत हि‍त अधि‍ग्रहण",
141,"acquired advantage","उपार्जि‍त लाभ",
142,"acquiring bank","अधि‍ग्राहक बैंक",
143,"acquiring products","उत्पाद अर्जन",
144,"acquisition of assets","आस्ति‍यों का अधि‍ग्रहण, परि‍संपत्ति‍यों का अधि‍ग्रहण",
145,"acquittance","बेबाकी",
146,"acquittance roll","नि‍स्तारण पंजी",
147,"across the board rise","सभी स्तरों पर वृद्धि",
148,"act of commission and omission","भूल-चूक",
149,"act of insolvency","दि‍वालि‍येपन का कृत्य",
150,"acting allowance","कार्यकारी भत्ता",
151,"acting in good faith","सद्भाव से कार्य करते हुए",
152,"action plan","कार्य-योजना",
153,"actionable claim","कार्रवाई-योग्य दावा",
154,"active account","सक्रि‍य खाता",
155,"active balance of payment","चालू भुगतान शेष",
156,"active bond portfolio management","सक्रि‍य बॉण्ड संवि‍भाग प्रबंधन",
157,"active capital","सक्रि‍य पूंजी",
158,"active circulation of notes","नोटों का सक्रि‍य संचलन",
159,"active deposits","सक्रि‍य जमा",
160,"active loans","सक्रि‍य ऋण",
161,"active market","सक्रि‍य बाजार",
162,"active money","सक्रि‍य धन",
163,"active partner","सक्रि‍य भागीदार",
164,"active population","अर्जक जनसंख्या",
165,"active society","सक्रि‍य सोसाइटी",
166,"active stock","सक्रि‍य स्टॉक",
167,"active trade balance","अनुकूल व्यापार शेष",
168,"active versus passive fixed interest management","सक्रि‍य बनाम नि‍ष्क्रि‍य नि‍यत ब्याज प्रबंधन",
169,"activity ratio","क्रि‍याशीलता अनुपात",
170,"actual cash value","वास्तवि‍क नकद मूल्य",
171,"actual hours","वास्तवि‍क कार्य-समय",
172,"actual strength","वास्तवि‍क कर्मचारी संख्या",
173,"actual users license","वास्तवि‍क प्रयोक्ता लाइसेंस",
174,"actuals","वास्तवि‍क आंकड़े",
175,"actuals and targets","वास्तवि‍क आंकड़े और लक्ष्य",
176,"actuarial  liability","बीमांकि‍क देयता",
177,"actuary","बीमांकक",
178,"ad valorem tax","मूल्यानुसार कर",
179,"added entry","इतर प्रवि‍ष्टि",
180,"added value","वर्धि‍त मूल्य",
181,"addenda payment","अनुशेष भुगतान",
182,"addendum to tender","नि‍वि‍दा युक्ति‍का",
183,"additional assessment","अति‍रि‍क्त कर-नि‍र्धारण",
184,"additional banking facilities","अति‍रि‍क्त बैंकिंग सुवि‍धाएं",
185,"additions and alterations","परि‍वर्धन और परि‍वर्तन",
186,"additions and betterments","परि‍वर्धन तथा सुधार",
187,"additions-deletions","परि‍वर्धन-अपमार्जन",
188,"add-on rate","वर्धि‍त दर",
189,"adequacy of data","आंकड़ों की पर्याप्तता",
190,"adequate consideration","पर्याप्त प्रति‍फल",
191,"adequately banked","पर्याप्त बैंकिंग-सुवि‍धायुक्त",
192,"adjudged bankrupt","न्यायनि‍र्णीत दि‍वालि‍या",
193,"adjudication  of claims","दावों का न्यायनि‍र्णयन",
194,"adjudication of notes","नोटों का न्यायनि‍र्णयन",
195,"adjudication order","न्यायनि‍र्णयन आदेश",
196,"adjustable advance","समायोज्य अग्रि‍म",
197,"adjustable currency","समायोज्य मुद्रा",
198,"adjustable peg system","समायोज्य अधि‍कीलन प्रणाली,समायोज्य स्थि‍रण प्रणाली",
199,"adjusted price","समायोजि‍त कीमत",
200,"adjusting account register","समायोजन लेखा रजि‍स्टर",
201,"adjusting entry","समायोजक प्रवि‍ष्टि",
202,"adjustment account","समायोजन लेखा",
203,"adjustment credit","समायोजन ऋण",
204,"adjustment mechanism","समायोजन व्यवस्था",
205,"adjustment of accounts","लेखा समायोजन",
206,"adjustment on paper","लि‍खि‍त समायोजन",
207,"administered price","नि‍यंत्रि‍त कीमत",
208,"administered pricing mechanism","नि‍यंत्रि‍त कीमत प्रणाली, नि‍देशि‍त कीमत प्रणाली",
209,"administered rates","नि‍यंत्रि‍त दरें",
210,"administered structure of interest","ब्याज दरों का नि‍यंत्रि‍त ढांचा",
211,"administering authority","प्रशासी प्राधि‍कारी",
212,"administration of scheme","योजना को लागू करना",
213,"administration of small loans","छोटे ऋणों का संचालन",
214,"administrative approval","प्रशासनि‍क अनुमोदन",
215,"administrative devices of carrot and stick","प्रशासन के पुरस्कार और दंड संबंधी उपाय",
216,"administrative revenue","प्रशासनि‍क राजस्व ,प्रशासनि‍क आय",
217,"admissible limit","स्वीकार्य ऋण-सीमा",
218,"admissible under rules","नि‍यमानुसार स्वीकार्य ,नि‍यमानुसार देय",
219,"admission of transfer","अंतरण स्वीकृति",
220,"admitted debt","स्वीकृत कर्ज",
221,"admitted in evidence","साक्ष्य के रूप में स्वीकृत",
222,"adopted village","अंगीकृत गांव",
223,"advance","अग्रि‍म",
224,"advance against bills payable","देय बि‍लों पर अग्रि‍म",
225,"advance bill","लदान-पूर्व बि‍ल",
226,"advance factoring","उन्नत फैक्टरिंग",
227,"advance on consignment","परेषण पर अग्रि‍म",
228,"advance portfolio","अग्रि‍म संवि‍भाग",
229,"advance rate","अग्रि‍म दर",
230,"advance refunding","अग्रि‍म वापसी",
231,"advance remittance","अग्रि‍म वि‍प्रेषण",
232,"advance schedule","अग्रि‍म कार्यक्रम ,अग्रि‍म अनुसूची",
233,"advanced economy","उन्नत अर्थव्यवस्था",
234,"advances account","अग्रि‍म खाता",
235,"advantage of location","अवस्थि‍ति का लाभ",
236,"adverse balance of payment","प्रति‍कूल भुगतान संतुलन",
237,"adverse clearing balance","प्रति‍कूल समाशोधन शेष",
238,"adverse possession","प्रति‍कूल कब्जा",
239,"advertised sale","वि‍ज्ञापि‍त बि‍क्री",
240,"advice","सूचना",
241,"advice of transfer","अंतरण सूचना",
242,"advise fate","स्थि‍ति सूचि‍त करें",
243,"advising bank","सूचना-प्रदाता बैंक",
244,"advisory board","सलाहकार बोर्ड",
245,"advisory funds","वि‍वेकाधीन नि‍वेशार्थ नि‍धि‍यां",
246,"affidavit","शपथपत्र",
247,"affiliate","संबद्ध करना",
248,"affinity card","संबद्धता कार्ड",
249,"affirm","अभि‍पुष्ट करना",
250,"affirmative covenant","सकारात्मक प्रसंवि‍दा",
251,"affix signature","हस्ताक्षर करना",
252,"affreight","पोत भाड़े पर लेना",
253,"affreightment","नौभार संवि‍दा",
254,"afloat","जल-मार्गस्थ (पण्य)",
255,"after date bill","उत्तर दि‍नांकि‍त बि‍ल",
256,"after hours transactions","कारोबार-समयोत्तर लेनदेन",
257,"after night bill","रात्रि पश्चात बि‍ल",
258,"after sale service","बि‍क्री पश्चात सेवा",
259,"after sight","दर्शनोत्तर",
260,"after sight bill","दर्शनी हुण्डी",
261,"after tax profit","कर पश्चात लाभ",
262,"aftermarkets","पश्च बाजार",
263,"against mortgage","बंधक पर",
264,"against public interest","जनहि‍त के वि‍रुद्ध",
265,"aged fail","नि‍यत अवधि में वि‍फल लेनदेन",
266,"agency charge","एजेंसी प्रभार",
267,"agenda","कार्य-सूची",
268,"agent's discretionary power","एजेंट का वि‍वेकाधि‍कार",
269,"age-wise valuation of stocks","माल का अवधि‍वार मूल्यांकन, स्टॉक का अवधि‍वार मूल्यांकन",
270,"aggregate demand curve","संकलि‍त मांग वक्र",
271,"aggregate demand function","संकलि‍त मांग फलन, समग्र मांग फलन",
272,"aggregate demand price","संकलि‍त मांग कीमत, समग्र मांग कीमत",
273,"aggregate deposits","संकलि‍त जमाराशि‍यां, समग्र जमाराशि‍यां",
274,"aggregate indemnity","संकलि‍त क्षति‍पूर्ति‍, कुल क्षति‍पूर्ति‍",
275,"aggregate money income","संकलि‍त मुद्रा आय, समग्र मुद्रा आय",
276,"aggregate operations liability","संकलि‍त परि‍चालन देयताएं, कुल परि‍चालन देयताएं",
277,"aggregated shipment","संकलि‍त पोत-लदान, कुल पोत-लदान",
278,"aggregates","संकलि‍त राशि‍यां",
279,"aggregation of credit plans","ऋण-योजनाओं का एकत्रीकरण",
280,"aggregation of prices","कीमतों का संकलन ,कीमतों का समूहन",
281,"aggressive marketing","आक्रामक वि‍पणन",
282,"aggrieved depositor","व्यथि‍त जमाकर्ता",
283,"aggrieved party","व्यथि‍त पक्ष",
284,"agio","बट्टा",
285,"agiotage","(वि‍देशी वि‍नि‍मय) सट्टा ,सट्टेबाजी",
286,"agrarian","भूमि संबंधी",
287,"agreed charges","स्वीकृत प्रभार",
288,"agreed milestone payments","तयशुदा मुख्य भुगतान",
289,"agreed price","सहमत कीमत, तय कीमत",
290,"agreed in principle","सि‍द्धांतत: स्वीकृत",
291,"agreement","करार",
292,"agreement among underwriters","हामीदारों के बीच करार",
293,"agreement to sell","बि‍क्री करार",
294,"agreement without consideration","प्रति‍फल रहि‍त करार",
295,"agricultural  products","कृषि उत्पाद",
296,"agricultural appliances","कृषि उपकरण",
297,"agricultural bank","कृषि बैंक",
298,"agricultural credit","कृषि ऋण",
299,"agricultural depression","कृषि मंदी",
300,"agricultural economics","कृषि अर्थशास्त्र",
301,"agricultural economy","कृषि अर्थव्यवस्था",
302,"agricultural engineering","कृषि इंजीनि‍यरी",
303,"agricultural extension service","कृषि वि‍स्तार सेवा",
304,"agricultural family holding","कृषि पारि‍वारि‍क जोत",
305,"agricultural finance","कृषि वि‍त्त",
306,"agricultural implements","कृषि उपकरण,कृषि औजार",
307,"agricultural income","कृषि आय,खेती से आय",
308,"agricultural inputs","कृषि नि‍वि‍ष्टि‍यां",
309,"agricultural labour","कृषि श्रमि‍क,खेति‍हर मजदूर",
310,"agricultural operations","कृषि कार्य",
311,"agricultural planning","कृषि आयोजना",
312,"agricultural produce","कृषि उपज ,कृषि पैदावार",
313,"agricultural rent","लगान",
314,"agricultural requisites","कृषि के लि‍ए आवश्यक वस्तुएं,कृषि के लि‍ए अपेक्षि‍त वस्तुएं",
315,"agricultural stabilization fund","कृषि स्थि‍रीकरण नि‍धि",
316,"agricultural statistics","कृषि  संबंधी आंकड़े",
317,"agriculture and allied activities","कृषि और संबद्ध कार्यकलाप",
318,"agriculture holding","कृषि जोत",
319,"agriculturist","कृषक,कि‍सान",
320,"agro-based industries","कृषि आधारि‍त उद्योग",
321,"agro-climate region","कृषि जलवायु क्षेत्र",
322,"agro-economic features","कृषि आर्थि‍क लक्षण ,कृषि आर्थि‍क वि‍शेषताएं",
323,"agro-forestry","कृषि वानि‍की",
324,"agro-industries","कृषि उद्योग",
325,"agronomy","कृषि वि‍ज्ञान",
326,"aid in the pipeline","शीघ्र प्राप्य सहायता",
327,"aid receipts","सहायता के रूप में प्राप्त राशि‍यां",
328,"aided institution","सहायताप्राप्त  संस्था",
329,"air cargo","हवाई माल",
330,"air consignment note","वि‍मान परेषण पत्र",
331,"air freight","हवाई माल-भाड़ा",
332,"airline company","वायुयान  कंपनी",
333,"airways company","वायुयान  कंपनी",
334,"air mail service","हवाई डाक सेवा",
335,"air-borne trade","वायुमार्ग व्यापार",
336,"algorithmic trading","एल्गोरि‍थ्म ट्रेडिंग",
337,"alienate","स्वत्वाधि‍कार अंतरण",
338,"alimony","नि‍र्वाह व्यय",
339,"all commodity rate","सकल पण्य दर",
340,"all rights reserved","सर्वाधि‍कार सुरक्षि‍त",
341,"all round development","सर्वांगीण वि‍कास, चहुंमुखी वि‍कास",
342,"all round price","सकल कीमत",
343,"all time high","अब तक सर्वाधि‍क",
344,"alleged disparity","कथि‍त असमानता",
345,"allied activities","सम्बद्ध कार्यकलाप",
346,"all-in-cost ceiling","समग्र लागत सीमा",
347,"allocable income","वि‍नि‍योज्य आय",
348,"allocation","वि‍नि‍धान",
349,"allonge","परांकन पर्ची",
350,"allot","आबंटन करना",
351,"allottee","आबंटि‍ती",
352,"allowable offsetting","स्वीकार्य  प्रति‍तुलन",
353,"allowance","भत्ता",
354,"alpha error","नौसि‍खि‍या भूल",
355,"alphabetical order","अकारादि क्रम",
356,"altered note","परि‍वर्ति‍त नोट, रूपांतरि‍त नोट",
357,"alternate","वैकल्पि‍क",
358,"alternate channel","वैकल्पि‍क चैनल",
359,"alternate payee","वैकल्पि‍क आदाता",
360,"alternative cost","वैकल्पि‍क लागत",
361,"opportunity cost","अवसर लागत",
362,"alternative demand","वैकल्पि‍क मांग",
363,"alternative device","वैकल्पि‍क उपाय",
364,"alternative drawee","वि‍कल्पी अदाकर्ता",
365,"alternative holder","वैकल्पि‍क धारक",
366,"alternative offer","वैकल्पि‍क प्रस्ताव",
367,"amalgamated banking company","समामेलि‍त बैंकिंग कंपनी",
368,"amalgamation","समामेलन",
369,"ambiguous case","संदि‍ग्ध मामला",
370,"ambitious scheme","महत्वाकांक्षी योजना",
371,"amenability","अध्यधीनता",
372,"amendment of licence","लाइसेंस का संशोधन",
373,"amenities","सुख-सुवि‍धाएं",
374,"amortization","परि‍शोधन",
375,"amortization of dues","देय राशि‍यों का परि‍शोधन",
376,"amortization payments","ऋण-परि‍शोधन भुगतान",
377,"amortization schedule","परि‍शोधन अनुसूची",
378,"amortized loan","परि‍शोधि‍त ऋण",
379,"amortizing swap","परि‍शोधक स्वैप ,परि‍शोधक अदला-बदली",
380,"amotion","पदच्युति",
381,"amount","राशि , रकम",
382,"amount claimed","दावाकृत राशि‍, दावे की राशि‍",
383,"amount commuted","संराशीकृत रकम",
384,"amount considered doubtful of recovery","वसूली के लि‍ए संदि‍ग्ध समझी गई राशि",
385,"amount deposited","जमा की गई राशि,जमा की गई रकम",
386,"amount differs","राशि मेल नहीं खाती",
387,"amount drawn","आहरि‍त राशि, नि‍काली गई राशि",
388,"amount due","देय रकम",
389,"amount in default","(भुगतान में) चूक की राशि",
390,"amount of issue","नि‍र्गम की राशि",
391,"amount outstanding","बकाया राशि",
392,"amount realized","वसूल हुई राशि ,वसूल हुई रकम",
393,"amount withdrawn","आहरि‍त राशि",
394,"analysis of advances","अग्रि‍मों का वि‍श्लेषण",
395,"analysis of balance sheet","तुलनपत्र का वि‍श्लेषण",
396,"ancestral loan","पैतृक ऋण",
397,"anchor for capital support","पूंजी समर्थन के लि‍ए अवलंब",
398,"anchorage","लंगर शुल्क",
399,"anchoring inflation","मुद्रास्फीति पर अंकुश लगाना",
400,"ancillary industry","अनुषंगी उद्योग",
401,"angel investor","ऐंजल नि‍वेशक, फरि‍श्ता नि‍वेशक",
402,"angel network","फरि‍श्ता नेटवर्क",
403,"animal husbandry","पशुपालन",
404,"animal spirit","जिंदादि‍ली",
405,"annawari certificate","आनावारी प्रमाण-पत्र",
406,"annexure","अनुबंध",
407,"annual account","वार्षि‍क लेखे",
408,"annual closing of accounts","वार्षि‍क लेखाबंदी",
409,"annual general meeting","वार्षि‍क साधारण बैठक",
410,"annual letting value","वार्षि‍क कि‍राया मूल्य",
411,"annual maintenance charges","वार्षि‍क अनुरक्षण प्रभार",
412,"annual repaying capacity","वार्षि‍क चुकौती क्षमता",
413,"annual work plan","वार्षि‍क कार्य-योजना",
414,"annualised basis","वार्षि‍कीकृत आधार पर",
415,"annually","प्रति‍वर्ष",
416,"annuitant","वार्षि‍कीग्राही",
417,"annuity","वार्षि‍की",
418,"annuity bond","वार्षि‍की बॉण्ड",
419,"annuity system","वार्षि‍की प्रणाली",
420,"annulment","नि‍ष्प्रभाव",
421,"anonymous and pseudonymous complaint","गुमनाम और छद्मनाम शि‍कायत",
422,"antecedent debt","पूर्ववर्ती कर्ज",
423,"antedated cheque","पूर्वदि‍नांकि‍त चेक",
424,"anticipated expenditure","प्रत्याशि‍त व्यय",
425,"anticipatory bail","अग्रि‍म जमानत",
426,"anticipatory borrowing","अगाऊ उधार",
427,"anticipatory hedge","प्रत्याशि‍त बचाव",
428,"anticipatory interest","पूर्वानुमानि‍त ब्याज",
429,"anticyclical fluctuations","प्रति‍चक्रीय उतार-चढ़ाव",
430,"anti-dumping","प्रति‍पाटन-रोधी",
431,"anti-inflationary measure","मुद्रास्फीति-नि‍वारक उपाय",
432,"anti-inflationary policy","मुद्रास्फीति-नि‍वारक नीति",
433,"anti-money laundering policy","धन-शोधन नि‍वारक नीति",
434,"anti-monopoly legislation","एकाधि‍कार-वि‍रोधी कानून",
435,"anti-reform","सुधार वि‍रोधी",
436,"anti-strike legislation","हड़ताल-वि‍रोधी कानून",
437,"any branch banking","हर शाखा बैंकिंग",
438,"any time any where banking","कभी भी कहीं भी बैंकिंग",
439,"apex bank","शीर्ष  बैंक",
440,"apex entity","शीर्ष संस्था",
441,"apiarist","मधुमक्खी-पालक",
442,"apiculture","मधुमक्खी-पालन",
443,"apparatus and plant","उपकरण और संयंत्र",
444,"apparent cause","दृश्यमान कारण",
445,"apparent tenor of instrument","लि‍खत का प्रत्यक्ष स्वरूप",
446,"appeal","अपील",
447,"appearance of coin","सि‍क्के का रूप-रंग",
448,"appellant","अपीलकर्ता",
449,"appellate authority","अपील प्राधि‍कारी",
450,"appellate powers","अपीलीय शक्ति‍यां",
451,"appendix","परि‍शि‍ष्ट",
452,"applicable","लागू",
453,"applicant","आवेदक",
454,"application","आवेदन",
455,"application based mobile banking","अनुप्रयोग आधारि‍त मोबाइल बैंकिंग",
456,"application for moratorium","अधि‍स्थगन के लि‍ए आवेदन",
457,"application money","आवेदन राशि",
458,"application software","अनुप्रयोग सॉफ्टवेयर",
459,"application supported by blocked amount (ASBA)","अवरुद्ध राशि द्वारा समर्थि‍त आवेदन",
460,"applied econometrics","व्यावहारि‍क अर्थमि‍ति",
461,"applied economics","व्यावहारि‍क अर्थशास्त्र",
462,"appoint","नि‍युक्त करना",
463,"appointed day","नि‍यत दि‍न",
464,"appointed heir","नि‍यत वारि‍स",
465,"appointee","नि‍युक्त व्यक्ति",
466,"apportion","प्रभाजन करना",
467,"apportioning the liabilities","देयता प्रभाजन",
468,"apportionment account","प्रभाजन लेखा",
469,"appraisal","मूल्य-नि‍रूपण",
470,"appraisal of credit proposal","ऋण प्रस्ताव का मूल्यांकन",
471,"appraised value","आंका गया मूल्य",
472,"appraiser","मूल्यांकक",
473,"appreciation","मूल्यवृद्धि",
474,"appreciation of cost","लागत वृद्धि",
475,"appreciation of currency","मुद्रा अधि‍मूल्यन",
476,"appreciation of stock","स्टॉक की मूल्यवृद्धि",
477,"apprentice","शि‍क्षु",
478,"apprenticeship","शि‍क्षुता",
479,"approach","दृष्टि‍कोण",
480,"approach paper","दृष्टि‍कोण पत्र",
481,"approaches to management","प्रबंधन संबंधी दृष्टि‍कोण",
482,"approbate","समनुमोदन",
483,"appropriate authority","उपयुक्त प्राधि‍कारी",
484,"appropriation","वि‍नि‍योजन",
485,"appropriation account","वि‍नि‍योग लेखा",
486,"appropriation of payments","भुगतान का वि‍नि‍योजन",
487,"approval","अनुमोदन",
488,"approval response","अनुमोदन प्रत्युत्तर",
489,"approved currency","अनुमोदि‍त मुद्रा",
490,"approved limit","अनुमोदि‍त ऋण-सीमा",
491,"approximate actuals","सन्नि‍कट वास्तवि‍क आंकड़े",
492,"approximate rate","अनुमानि‍त दर",
493,"arbitrage","अंतरपणन",
494,"arbitrary price","मनमानी कीमत",
495,"arbitrate","वि‍वाचन",
496,"arbitrated exchange rate","वि‍वाचि‍त वि‍नि‍मय दर",
497,"arbitration","वि‍वाचन",
498,"arbitrator","वि‍वाचक",
499,"area approach","क्षेत्र दृष्टि‍कोण",
500,"area of operations","कार्य-क्षेत्र",
501,"area sampling","नमूना क्षेत्र-चयन वि‍धि",
502,"area specific","क्षेत्र-वि‍शेष का",
503,"arid zone","बंजर क्षेत्र, ऊसर क्षेत्र",
504,"armed guard","सशस्त्र गार्ड ,सशस्त्र रक्षक",
505,"arms length principle","स्वतंत्र संव्यवहार का सि‍द्धांत",
506,"arms length transaction","स्वतंत्र संव्यवहार",
507,"arrear claim","बकाये का दावा",
508,"arrear demand","बकाया राशि की मांग",
509,"arrivals","आमद",
510,"arrogation","अनधि‍कार ग्रहण",
511,"artel","सहकारी संघ",
512,"article","अनुच्छेद",
513,"articles of agreement","करार की शर्तें",
514,"articles of association","संस्था के अंतर्नि‍यम",
515,"articles of merchandise","व्यापारि‍क माल",
516,"artificial clearing","कृत्रि‍म नि‍कासी",
517,"artificial dearness","कृत्रि‍म महंगाई, बनावटी महंगाई",
518,"artificial transaction","कृत्रि‍म सौदा",
519,"artisan","कारीगर",
520,"as a last resort","अंति‍म उपाय के रूप में",
521,"as is where is","जैसा है",
522,"ascending premium policy","आरोही प्रीमि‍यम पॉलि‍सी",
523,"asked price","वांछि‍त कीमत",
524,"assembly line production","समनुक्रम उत्पादन",
525,"assembly line technique","क्रमि‍क संयोजन तकनीक",
526,"assertion of rights","अधि‍कार जताना",
527,"assess","नि‍र्धारि‍त करना",
